block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,t0_first_e,t0_first_both,t0_first_count,pre_first_e,pre_first_both,pre_first_count,post_first_e,post_first_both,post_first_count,pre_domestic_cohort_count,pre_domestic_later_e,post_customer_submissions,post_mean_belief_d,final_belief_d,final_informed
main,unchanged,10,49,3,3,3,3,0,0,76,5,0,71,5,0,1,40,97,116,4,0,116,106,51,41,0.4396551724137931,0.4396551724137931,0.9137931034482759,0.7672413793103449,0.1810344827586207,0.05172413793103448,0.0,0.2696629213483146,4.75,0.3137254901960784,0.43137254901960786,0.62,0.28,0.6032194484903708,0.4723958019476634,0.6551724137931034,0.6551724137931034,0.5686274509803921,4.375,3.0,2925,460,0.1388888888888889,0.05555555555555555,36,0.12962962962962962,0.037037037037037035,54,0.22580645161290322,0.06451612903225806,62,45,0.022222222222222223,29,0.4261962402122776,0.43241474013898784,0.0
main,unchanged,11,49,0,0,0,1,1,2,77,7,2,68,5,3,2,49,101,126,6,3,124,116,68,60,0.5396825396825397,0.5483870967741935,0.9354838709677419,0.6774193548387096,0.1935483870967742,0.12903225806451613,0.015873015873015872,0.3333333333333333,4.035714285714286,0.27941176470588236,0.4117647058823529,0.6190476190476191,0.2857142857142857,0.6323784014566413,0.5376619126139752,0.6111111111111112,0.6048387096774194,0.5882352941176471,3.8979591836734695,3.0,2986,520,0.16666666666666666,0.047619047619047616,42,0.15625,0.078125,64,0.23333333333333334,0.18333333333333332,60,49,0.04081632653061224,40,0.4106058134434745,0.41312150822170823,0.0
main,unchanged,12,49,0,0,0,0,0,0,72,5,1,66,4,2,0,39,93,111,4,4,110,102,70,62,0.6306306306306306,0.6363636363636364,0.9272727272727272,0.7363636363636363,0.20909090909090908,0.05454545454545454,0.009009009009009009,0.5061728395061729,4.512195121951219,0.3,0.37142857142857144,0.6323529411764706,0.36764705882352944,0.6217529359071375,0.49080033725879235,0.6486486486486487,0.6454545454545455,0.6285714285714286,5.256410256410256,6.0,2475,484,0.1724137931034483,0.13793103448275862,29,0.175,0.1,40,0.22857142857142856,0.02857142857142857,70,29,0.13793103448275862,46,0.41506022814211935,0.416201737739227,0.0
main,unchanged,13,49,0,0,0,0,0,0,72,4,1,67,3,1,2,62,98,134,5,2,133,118,75,60,0.5597014925373134,0.5639097744360902,0.8872180451127819,0.6766917293233082,0.2781954887218045,0.045112781954887216,0.007462686567164179,0.35555555555555557,3.875,0.30666666666666664,0.4,0.6216216216216216,0.2972972972972973,0.611268133211165,0.5098660818020658,0.5373134328358209,0.5338345864661654,0.6,3.7580645161290325,3.0,2562,547,0.3888888888888889,0.0,36,0.33962264150943394,0.03773584905660377,53,0.2375,0.05,80,33,0.06060606060606061,43,0.4100455019701672,0.412504990553895,0.0
main,unchanged,14,49,1,1,1,2,0,1,71,7,0,64,6,1,1,49,96,120,5,2,120,113,69,62,0.575,0.575,0.9416666666666667,0.6833333333333333,0.225,0.09166666666666666,0.0,0.3780487804878049,4.258064516129032,0.2608695652173913,0.391304347826087,0.4852941176470588,0.27941176470588236,0.6096035216341413,0.5155328410150293,0.5916666666666667,0.5916666666666667,0.6086956521739131,4.489795918367347,3.0,2594,499,0.29411764705882354,0.11764705882352941,34,0.2727272727272727,0.07272727272727272,55,0.18461538461538463,0.1076923076923077,65,36,0.05555555555555555,39,0.40003248254158247,0.3967620785522428,0.0
main,unchanged,15,49,0,0,0,1,0,1,72,3,0,69,3,0,0,60,103,132,5,0,132,117,76,61,0.5757575757575758,0.5757575757575758,0.8863636363636364,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0,0.3333333333333333,3.75,0.2894736842105263,0.4342105263157895,0.5294117647058824,0.19117647058823528,0.6364628971780143,0.5108671360243249,0.5454545454545454,0.5454545454545454,0.5657894736842105,3.8666666666666667,3.0,2531,506,0.2727272727272727,0.06060606060606061,33,0.2727272727272727,0.07272727272727272,55,0.2727272727272727,0.1038961038961039,77,36,0.027777777777777776,46,0.41723986882955816,0.4200701044966782,0.0
main,unchanged,16,49,1,1,1,2,2,2,89,11,1,77,6,6,0,53,109,142,4,4,141,131,79,69,0.5563380281690141,0.5602836879432624,0.9290780141843972,0.7730496453900709,0.16312056737588654,0.06382978723404255,0.007042253521126761,0.43119266055045874,4.638297872340425,0.3291139240506329,0.4050632911392405,0.6805555555555556,0.3611111111111111,0.6610150398662731,0.47678788690085416,0.6267605633802817,0.624113475177305,0.5949367088607594,5.132075471698113,4.0,3152,607,0.19047619047619047,0.07142857142857142,42,0.16129032258064516,0.06451612903225806,62,0.16455696202531644,0.06329113924050633,79,48,0.08333333333333333,50,0.40833002378939187,0.4053937759291791,0.0
main,unchanged,17,49,2,2,2,3,0,1,81,5,1,75,5,0,1,62,103,143,3,0,142,132,73,63,0.5104895104895105,0.5140845070422535,0.9295774647887324,0.7183098591549296,0.23943661971830985,0.04225352112676056,0.006993006993006993,0.3235294117647059,4.454545454545454,0.273972602739726,0.4383561643835616,0.5633802816901409,0.28169014084507044,0.5907873788456711,0.5187447700661088,0.5664335664335665,0.5633802816901409,0.5616438356164384,4.983870967741935,3.0,3064,595,0.28888888888888886,0.044444444444444446,45,0.2878787878787879,0.030303030303030304,66,0.19736842105263158,0.05263157894736842,76,45,0.06666666666666667,35,0.3970288543684724,0.39022037347074456,0.0
main,unchanged,18,49,0,0,0,0,1,1,76,4,0,72,2,2,0,39,94,115,2,1,115,106,88,79,0.7652173913043478,0.7652173913043478,0.9217391304347826,0.6347826086956522,0.2956521739130435,0.06956521739130435,0.0,0.6301369863013698,4.021739130434782,0.22727272727272727,0.3181818181818182,0.5802469135802469,0.2962962962962963,0.6030303328487804,0.5074137392582719,0.6608695652173913,0.6608695652173913,0.6818181818181818,4.230769230769231,3.0,2698,522,0.3333333333333333,0.030303030303030304,33,0.3125,0.020833333333333332,48,0.2835820895522388,0.1044776119402985,67,32,0.03125,51,0.4273141166208909,0.4322008723235495,0.0
main,unchanged,19,49,1,1,1,2,0,1,73,3,0,70,2,1,0,46,97,119,1,3,119,106,92,79,0.773109243697479,0.773109243697479,0.8907563025210085,0.5966386554621849,0.2689075630252101,0.13445378151260504,0.0,0.6197183098591549,5.386363636363637,0.2391304347826087,0.33695652173913043,0.5280898876404494,0.29213483146067415,0.6064644550827889,0.5130756639912813,0.6134453781512605,0.6134453781512605,0.6630434782608695,4.195652173913044,3.0,2453,515,0.3448275862068966,0.13793103448275862,29,0.32653061224489793,0.10204081632653061,49,0.22857142857142856,0.15714285714285714,70,28,0.14285714285714285,56,0.4033058655362333,0.39896762349410886,0.0
