axis,mode,population,level,contrast,metric,mean,low,high,n
implementation,disabled,both_reachable,,highest_minus_lowest,first_both,0.0,0.0,0.0,2
implementation,disabled,both_reachable,,highest_minus_lowest,neither,0.0185185185185185,0.0,0.037037037037037,2
implementation,disabled,both_reachable,,highest_minus_lowest,d_to_e,-0.018518518518518545,-0.03703703703703709,0.0,2
implementation,disabled,both_reachable,,highest_minus_lowest,e_to_d,0.08333333333333334,0.05555555555555558,0.1111111111111111,2
implementation,disabled,both_reachable,,highest_minus_lowest,both_use,0.0648148148148148,0.055555555555555525,0.07407407407407407,2
implementation,disabled,both_reachable,,highest_minus_lowest,resolved,-0.04629629629629631,-0.1481481481481482,0.05555555555555558,2
implementation,disabled,both_reachable,,highest_minus_lowest,unresolved,0.046296296296296335,-0.05555555555555558,0.14814814814814825,2
implementation,disabled,both_reachable,,highest_minus_lowest,customer_route_success,0.045171624713958844,0.03999999999999998,0.05034324942791771,2
implementation,disabled,both_reachable,,highest_minus_lowest,customer_only_resolution,0.045171624713958844,0.03999999999999998,0.05034324942791771,2
implementation,disabled,both_reachable,,highest_minus_lowest,joint_resolution,0.0,0.0,0.0,2
implementation,disabled,both_reachable,,highest_minus_lowest,customer_user_any_resolution,0.029702517162471354,-0.020594965675057253,0.07999999999999996,2
implementation,disabled,both_reachable,,highest_minus_lowest,customer_unresolved,-0.029702517162471354,-0.07999999999999996,0.020594965675057253,2
implementation,disabled,both_reachable,,highest_minus_lowest,material_at_review,0.0217391304347826,0.0,0.0434782608695652,2
implementation,disabled,both_reachable,,highest_minus_lowest,standardized_no_material_score,0.004579194327225658,0.0025501725022328003,0.006608216152218516,2
implementation,disabled,both_reachable,,highest_minus_lowest,mechanical_material_increment,0.0,0.0,0.0,2
implementation,disabled,both_reachable,,highest_minus_lowest,mean_customer_merit,0.011519042490791442,0.0012074188184416634,0.02183066616314122,2
implementation,disabled,both_reachable,,highest_minus_lowest,mean_customer_dependence,0.00549933563605054,0.0033230828818565095,0.00767558839024457,2
implementation,full,all,,highest_minus_lowest,domestic_use,0.0036544850498339,-0.08571428571428574,0.09302325581395354,2
implementation,full,all,,highest_minus_lowest,customer_use,0.10365448504983388,0.09302325581395343,0.11428571428571432,2
implementation,full,all,,highest_minus_lowest,first_d,-0.07674418604651159,-0.2,0.04651162790697683,2
implementation,full,all,,highest_minus_lowest,first_e,0.05980066445182719,-0.023255813953488413,0.1428571428571428,2
implementation,full,all,,highest_minus_lowest,first_both,0.0,0.0,0.0,2
implementation,full,all,,highest_minus_lowest,neither,0.016943521594684402,-0.0232558139534883,0.0571428571428571,2
implementation,full,all,,highest_minus_lowest,d_to_e,0.0438538205980067,-0.028571428571428498,0.1162790697674419,2
implementation,full,all,,highest_minus_lowest,e_to_d,0.08039867109634555,0.0465116279069768,0.1142857142857143,2
implementation,full,all,,highest_minus_lowest,both_use,0.12425249169435218,0.08571428571428574,0.16279069767441862,2
implementation,full,all,,highest_minus_lowest,resolved,-0.024916943521594653,-0.1428571428571428,0.09302325581395349,2
implementation,full,all,,highest_minus_lowest,unresolved,0.02491694352159468,-0.09302325581395354,0.1428571428571429,2
implementation,full,all,,highest_minus_lowest,customer_route_success,0.03584628738262448,0.006864988558352408,0.06482758620689655,2
