period,population,cases,customer_users,domestic_use,customer_use,first_d,first_e,first_both,neither,d_to_e,e_to_d,both_use,resolved,unresolved,customer_route_success,customer_only_resolution,joint_resolution,customer_user_any_resolution,customer_unresolved,material_at_review,standardized_no_material_score,mechanical_material_increment,mean_customer_merit,mean_customer_dependence,seed,scenario,axis,level,mode
early,all,41,24,0.8536585365853658,0.5853658536585366,0.5853658536585366,0.4146341463414634,0.0,0.0,0.17073170731707318,0.2682926829268293,0.43902439024390244,0.4146341463414634,0.5853658536585366,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.24842936523083503,0.0,0.6168365300755734,0.49063570136279505,0,implementation_1_full,implementation,1,full
early,both_reachable,34,24,0.8235294117647058,0.7058823529411765,0.5,0.5,0.0,0.0,0.20588235294117646,0.3235294117647059,0.5294117647058824,0.4117647058823529,0.5882352941176471,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.24842936523083503,0.0,0.6168365300755734,0.49063570136279505,0,implementation_1_full,implementation,1,full
late,all,43,25,0.7441860465116279,0.5813953488372093,0.5348837209302325,0.4186046511627907,0.023255813953488372,0.023255813953488372,0.13953488372093023,0.18604651162790697,0.3488372093023256,0.5116279069767442,0.4883720930232558,0.32,0.32,0.0,0.56,0.44,0.0,0.24173713873862485,0.0,0.5973657095444227,0.4875252259477114,0,implementation_1_full,implementation,1,full
late,both_reachable,36,25,0.7222222222222222,0.6944444444444444,0.4722222222222222,0.5,0.027777777777777776,0.0,0.16666666666666666,0.2222222222222222,0.4166666666666667,0.5555555555555556,0.4444444444444444,0.32,0.32,0.0,0.56,0.44,0.0,0.24173713873862485,0.0,0.5973657095444227,0.4875252259477114,0,implementation_1_full,implementation,1,full
early,all,41,25,0.8536585365853658,0.6097560975609756,0.5853658536585366,0.4146341463414634,0.0,0.0,0.1951219512195122,0.2682926829268293,0.4634146341463415,0.4146341463414634,0.5853658536585366,0.24,0.2,0.04,0.32,0.68,0.0,0.25215917550855005,0.0,0.6258616936821491,0.4950102733082831,0,implementation_4_disabled,implementation,4,disabled
early,both_reachable,34,25,0.8235294117647058,0.7352941176470589,0.5,0.5,0.0,0.0,0.23529411764705882,0.3235294117647059,0.5588235294117647,0.38235294117647056,0.6176470588235294,0.24,0.2,0.04,0.32,0.68,0.0,0.25215917550855005,0.0,0.6258616936821491,0.4950102733082831,0,implementation_4_disabled,implementation,4,disabled
late,all,43,22,0.813953488372093,0.5116279069767442,0.627906976744186,0.3488372093023256,0.0,0.023255813953488372,0.16279069767441862,0.18604651162790697,0.3488372093023256,0.4186046511627907,0.5813953488372093,0.22727272727272727,0.22727272727272727,0.0,0.36363636363636365,0.6363636363636364,0.0,0.2430806901475173,0.0,0.6040486345368703,0.4892834884289448,0,implementation_4_disabled,implementation,4,disabled
late,both_reachable,36,22,0.8055555555555556,0.6111111111111112,0.5833333333333334,0.4166666666666667,0.0,0.0,0.19444444444444445,0.2222222222222222,0.4166666666666667,0.4444444444444444,0.5555555555555556,0.22727272727272727,0.22727272727272727,0.0,0.36363636363636365,0.6363636363636364,0.0,0.2430806901475173,0.0,0.6040486345368703,0.4892834884289448,0,implementation_4_disabled,implementation,4,disabled
early,all,41,25,0.8536585365853658,0.6097560975609756,0.5853658536585366,0.4146341463414634,0.0,0.0,0.1951219512195122,0.2682926829268293,0.4634146341463415,0.4146341463414634,0.5853658536585366,0.24,0.2,0.04,0.32,0.68,0.0,0.25215917550855005,0.0,0.6258616936821491,0.4950102733082831,0,implementation_4_objective,implementation,4,objective
early,both_reachable,34,25,0.8235294117647058,0.7352941176470589,0.5,0.5,0.0,0.0,0.23529411764705882,0.3235294117647059,0.5588235294117647,0.38235294117647056,0.6176470588235294,0.24,0.2,0.04,0.32,0.68,0.0,0.25215917550855005,0.0,0.6258616936821491,0.4950102733082831,0,implementation_4_objective,implementation,4,objective
