cohort,onset,followup,population,cases,domestic_users,customer_users,first_d,first_e,first_both,no_submission,domestic_use,customer_use,both_use,d_to_e,e_to_d,resolved,unresolved,customer_minus_domestic,scenario,seed
1,6,24,both_reachable,15,10,11,0.4,0.5333333333333333,0.0,0.06666666666666667,0.6666666666666666,0.7333333333333333,0.4666666666666667,0.2,0.26666666666666666,0.4,0.6,0.06666666666666665,no_outcomes,0
2,12,24,all,19,15,8,0.631578947368421,0.2631578947368421,0.05263157894736842,0.05263157894736842,0.7894736842105263,0.42105263157894735,0.2631578947368421,0.10526315789473684,0.10526315789473684,0.5789473684210527,0.42105263157894735,-0.368421052631579,no_outcomes,0
2,12,24,both_reachable,18,14,8,0.6111111111111112,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.7777777777777778,0.4444444444444444,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.6111111111111112,0.3888888888888889,-0.33333333333333337,no_outcomes,0
3,18,24,all,18,12,4,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.0,0.6111111111111112,0.3888888888888889,-0.4444444444444444,no_outcomes,0
3,18,24,both_reachable,11,8,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.7272727272727273,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.0,0.7272727272727273,0.2727272727272727,-0.36363636363636365,no_outcomes,0
4,24,24,all,19,11,10,0.5263157894736842,0.3684210526315789,0.0,0.10526315789473684,0.5789473684210527,0.5263157894736842,0.21052631578947367,0.15789473684210525,0.05263157894736842,0.3684210526315789,0.631578947368421,-0.052631578947368474,no_outcomes,0
4,24,24,both_reachable,16,9,10,0.5,0.4375,0.0,0.0625,0.5625,0.625,0.25,0.1875,0.0625,0.3125,0.6875,0.0625,no_outcomes,0
5,30,24,all,14,12,7,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.8571428571428571,0.5,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.5,0.5,-0.3571428571428571,no_outcomes,0
5,30,24,both_reachable,12,10,7,0.5,0.4166666666666667,0.0,0.08333333333333333,0.8333333333333334,0.5833333333333334,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,-0.25,no_outcomes,0
6,36,24,all,20,15,12,0.55,0.35,0.05,0.05,0.75,0.6,0.4,0.2,0.15,0.45,0.55,-0.15000000000000002,no_outcomes,0
6,36,24,both_reachable,19,15,12,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0,0.7894736842105263,0.631578947368421,0.42105263157894735,0.21052631578947367,0.15789473684210525,0.47368421052631576,0.5263157894736842,-0.1578947368421053,no_outcomes,0
7,42,24,all,23,16,11,0.5652173913043478,0.43478260869565216,0.0,0.0,0.6956521739130435,0.4782608695652174,0.17391304347826086,0.043478260869565216,0.13043478260869565,0.4782608695652174,0.5217391304347826,-0.21739130434782605,no_outcomes,0
7,42,24,both_reachable,17,10,11,0.4117647058823529,0.5882352941176471,0.0,0.0,0.5882352941176471,0.6470588235294118,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.5294117647058824,0.47058823529411764,0.05882352941176472,no_outcomes,0
0,0,24,all,24,20,13,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8333333333333334,0.5416666666666666,0.375,0.20833333333333334,0.16666666666666666,0.4166666666666667,0.5833333333333334,-0.29166666666666674,no_actions,0
0,0,24,both_reachable,19,15,13,0.5789473684210527,0.42105263157894735,0.0,0.0,0.7894736842105263,0.6842105263157895,0.47368421052631576,0.2631578947368421,0.21052631578947367,0.42105263157894735,0.5789473684210527,-0.10526315789473684,no_actions,0
1,6,24,all,17,14,11,0.47058823529411764,0.5294117647058824,0.0,0.0,0.8235294117647058,0.6470588235294118,0.47058823529411764,0.11764705882352941,0.35294117647058826,0.35294117647058826,0.6470588235294118,-0.17647058823529405,no_actions,0
1,6,24,both_reachable,15,12,11,0.4,0.6,0.0,0.0,0.8,0.7333333333333333,0.5333333333333333,0.13333333333333333,0.4,0.3333333333333333,0.6666666666666666,-0.06666666666666676,no_actions,0
2,12,24,all,19,18,7,0.7368421052631579,0.2631578947368421,0.0,0.0,0.9473684210526315,0.3684210526315789,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.631578947368421,0.3684210526315789,-0.5789473684210527,no_actions,0
2,12,24,both_reachable,18,17,7,0.7222222222222222,0.2777777777777778,0.0,0.0,0.9444444444444444,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.3333333333333333,-0.5555555555555556,no_actions,0
3,18,24,all,18,15,4,0.7777777777777778,0.16666666666666666,0.0,0.05555555555555555,0.8333333333333334,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.6111111111111112,0.3888888888888889,-0.6111111111111112,no_actions,0
3,18,24,both_reachable,11,9,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.8181818181818182,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.36363636363636365,-0.4545454545454546,no_actions,0
4,24,24,all,19,14,10,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0,0.7368421052631579,0.5263157894736842,0.2631578947368421,0.10526315789473684,0.10526315789473684,0.3684210526315789,0.631578947368421,-0.21052631578947367,no_actions,0
4,24,24,both_reachable,16,11,10,0.5,0.4375,0.0625,0.0,0.6875,0.625,0.3125,0.125,0.125,0.375,0.625,-0.0625,no_actions,0
5,30,24,all,14,12,8,0.5,0.42857142857142855,0.0,0.07142857142857142,0.8571428571428571,0.5714285714285714,0.5,0.14285714285714285,0.35714285714285715,0.5,0.5,-0.2857142857142857,no_actions,0
5,30,24,both_reachable,12,10,8,0.4166666666666667,0.5,0.0,0.08333333333333333,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.5,0.5,-0.16666666666666674,no_actions,0
6,36,24,all,20,14,14,0.4,0.5,0.05,0.05,0.7,0.7,0.45,0.15,0.25,0.4,0.6,0.0,no_actions,0
6,36,24,both_reachable,19,14,14,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.0,0.7368421052631579,0.7368421052631579,0.47368421052631576,0.15789473684210525,0.2631578947368421,0.42105263157894735,0.5789473684210527,0.0,no_actions,0
7,42,24,all,23,21,7,0.782608695652174,0.21739130434782608,0.0,0.0,0.9130434782608695,0.30434782608695654,0.21739130434782608,0.08695652173913043,0.13043478260869565,0.5217391304347826,0.4782608695652174,-0.608695652173913,no_actions,0
7,42,24,both_reachable,17,15,7,0.7058823529411765,0.29411764705882354,0.0,0.0,0.8823529411764706,0.4117647058823529,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.5882352941176471,0.4117647058823529,-0.47058823529411764,no_actions,0
0,0,24,all,24,20,12,0.625,0.3333333333333333,0.0,0.041666666666666664,0.8333333333333334,0.5,0.375,0.16666666666666666,0.20833333333333334,0.4166666666666667,0.5833333333333334,-0.33333333333333337,network_ws,0
0,0,24,both_reachable,19,16,12,0.5789473684210527,0.42105263157894735,0.0,0.0,0.8421052631578947,0.631578947368421,0.47368421052631576,0.21052631578947367,0.2631578947368421,0.42105263157894735,0.5789473684210527,-0.21052631578947367,network_ws,0
1,6,24,all,17,16,10,0.5882352941176471,0.4117647058823529,0.0,0.0,0.9411764705882353,0.5882352941176471,0.5294117647058824,0.17647058823529413,0.35294117647058826,0.47058823529411764,0.5294117647058824,-0.3529411764705882,network_ws,0
1,6,24,both_reachable,15,14,10,0.5333333333333333,0.4666666666666667,0.0,0.0,0.9333333333333333,0.6666666666666666,0.6,0.2,0.4,0.4666666666666667,0.5333333333333333,-0.2666666666666667,network_ws,0
