scenario,population,metric,comparison,n,mean,low,high
cost_low,both_reachable,first_e,early_level,2,0.48253676470588236,0.40625,0.5588235294117647
cost_low,both_reachable,first_e,late_level,2,0.5138888888888888,0.4722222222222222,0.5555555555555556
cost_low,both_reachable,first_e,late_minus_early,2,0.031352124183006536,-0.08660130718954251,0.14930555555555558
cost_low,both_reachable,first_both,early_level,2,0.03125,0.0,0.0625
cost_low,both_reachable,first_both,late_level,2,0.027777777777777766,0.0,0.05555555555555553
cost_low,both_reachable,first_both,late_minus_early,2,-0.003472222222222234,-0.0625,0.05555555555555553
cost_low,both_reachable,no_submission,early_level,2,0.0,0.0,0.0
cost_low,both_reachable,no_submission,late_level,2,0.0,0.0,0.0
cost_low,both_reachable,no_submission,late_minus_early,2,0.0,0.0,0.0
cost_low,both_reachable,d_to_e,early_level,2,0.24356617647058817,0.2058823529411764,0.28124999999999994
cost_low,both_reachable,d_to_e,late_level,2,0.25925925925925924,0.2222222222222222,0.2962962962962963
cost_low,both_reachable,d_to_e,late_minus_early,2,0.01569308278867107,0.015046296296296335,0.016339869281045805
cost_low,both_reachable,e_to_d,early_level,2,0.3777573529411764,0.34374999999999994,0.4117647058823529
cost_low,both_reachable,e_to_d,late_level,2,0.34259259259259256,0.2777777777777778,0.4074074074074074
cost_low,both_reachable,e_to_d,late_minus_early,2,-0.035164760348583846,-0.13398692810457513,0.06365740740740744
cost_low,both_reachable,resolved,early_level,2,0.43841911764705876,0.40625,0.4705882352941176
cost_low,both_reachable,resolved,late_level,2,0.537037037037037,0.5185185185185185,0.5555555555555556
cost_low,both_reachable,resolved,late_minus_early,2,0.09861791938997824,0.084967320261438,0.11226851851851849
cost_low,both_reachable,customer_minus_domestic,early_level,2,-0.13786764705882354,-0.18750000000000003,-0.08823529411764702
cost_low,both_reachable,customer_minus_domestic,late_level,2,-0.02777777777777772,-0.05555555555555553,9.046261682130905e-17
cost_low,both_reachable,customer_minus_domestic,late_minus_early,2,0.1100898692810458,0.03267973856209149,0.1875000000000001
customer_tight,all,domestic_use,early_level,2,0.8673054587688733,0.8536585365853658,0.8809523809523809
customer_tight,all,domestic_use,late_level,2,0.7578073089700996,0.7441860465116279,0.7714285714285715
customer_tight,all,domestic_use,late_minus_early,2,-0.1094981497987737,-0.10952380952380947,-0.10947249007373794
customer_tight,all,customer_use,early_level,2,0.5664924506387921,0.5476190476190477,0.5853658536585366
customer_tight,all,customer_use,late_level,2,0.604983388704319,0.5813953488372093,0.6285714285714286
customer_tight,all,customer_use,late_minus_early,2,0.038490938065526836,-0.003970504821327214,0.08095238095238089
customer_tight,all,first_d,early_level,2,0.6141114982578397,0.5853658536585366,0.6428571428571429
customer_tight,all,first_d,late_level,2,0.5531561461794019,0.5348837209302325,0.5714285714285714
customer_tight,all,first_d,late_minus_early,2,-0.060955352078437774,-0.07142857142857151,-0.05048213272830404
customer_tight,all,first_e,early_level,2,0.3858885017421603,0.35714285714285715,0.4146341463414634
customer_tight,all,first_e,late_level,2,0.40930232558139534,0.4,0.4186046511627907
customer_tight,all,first_e,late_minus_early,2,0.0234138238392351,0.003970504821327325,0.04285714285714287
customer_tight,all,first_both,early_level,2,0.0,0.0,0.0
customer_tight,all,first_both,late_level,2,0.011627906976744186,0.0,0.023255813953488372
customer_tight,all,first_both,late_minus_early,2,0.011627906976744186,0.0,0.023255813953488372
customer_tight,all,no_submission,early_level,2,0.0,0.0,0.0
customer_tight,all,no_submission,late_level,2,0.025913621262458456,0.023255813953488372,0.02857142857142854
customer_tight,all,no_submission,late_minus_early,2,0.025913621262458456,0.023255813953488372,0.02857142857142854
customer_tight,all,d_to_e,early_level,2,0.1806039488966318,0.17073170731707316,0.19047619047619047
customer_tight,all,d_to_e,late_level,2,0.1840531561461794,0.1395348837209302,0.22857142857142856
customer_tight,all,d_to_e,late_minus_early,2,0.003449207249547573,-0.031196823596142953,0.0380952380952381
customer_tight,all,e_to_d,early_level,2,0.25319396051103366,0.23809523809523808,0.26829268292682923
customer_tight,all,e_to_d,late_level,2,0.19302325581395346,0.18604651162790695,0.2
customer_tight,all,e_to_d,late_minus_early,2,-0.06017070469708018,-0.08224617129892228,-0.03809523809523807
customer_tight,all,resolved,early_level,2,0.4096980255516841,0.40476190476190477,0.4146341463414634
customer_tight,all,resolved,late_level,2,0.4415282392026578,0.37142857142857144,0.5116279069767442
customer_tight,all,resolved,late_minus_early,2,0.03183021365097374,-0.033333333333333326,0.09699376063528081
customer_tight,all,customer_minus_domestic,early_level,2,-0.30081300813008127,-0.3333333333333333,-0.26829268292682923
customer_tight,all,customer_minus_domestic,late_level,2,-0.15282392026578068,-0.1627906976744186,-0.1428571428571428
customer_tight,all,customer_minus_domestic,late_minus_early,2,0.1479890878643006,0.10550198525241064,0.19047619047619052
customer_tight,both_reachable,domestic_use,early_level,2,0.8336397058823529,0.8235294117647058,0.84375
customer_tight,both_reachable,domestic_use,late_level,2,0.712962962962963,0.7037037037037037,0.7222222222222222
customer_tight,both_reachable,domestic_use,late_minus_early,2,-0.12067674291938996,-0.14004629629629628,-0.10130718954248363
customer_tight,both_reachable,customer_use,early_level,2,0.7123161764705883,0.7058823529411765,0.71875
customer_tight,both_reachable,customer_use,late_level,2,0.7546296296296295,0.6944444444444444,0.8148148148148148
customer_tight,both_reachable,customer_use,late_minus_early,2,0.042313453159041337,-0.011437908496732097,0.09606481481481477
customer_tight,both_reachable,first_d,early_level,2,0.515625,0.5,0.53125
customer_tight,both_reachable,first_d,late_level,2,0.4583333333333333,0.4444444444444444,0.4722222222222222
customer_tight,both_reachable,first_d,late_minus_early,2,-0.057291666666666685,-0.08680555555555558,-0.02777777777777779
customer_tight,both_reachable,first_e,early_level,2,0.484375,0.46875,0.5
customer_tight,both_reachable,first_e,late_level,2,0.5092592592592593,0.5,0.5185185185185185
customer_tight,both_reachable,first_e,late_minus_early,2,0.024884259259259245,0.0,0.04976851851851849
customer_tight,both_reachable,first_both,early_level,2,0.0,0.0,0.0
customer_tight,both_reachable,first_both,late_level,2,0.013888888888888883,0.0,0.027777777777777766
customer_tight,both_reachable,first_both,late_minus_early,2,0.013888888888888883,0.0,0.027777777777777766
customer_tight,both_reachable,no_submission,early_level,2,0.0,0.0,0.0
customer_tight,both_reachable,no_submission,late_level,2,0.01851851851851851,0.0,0.03703703703703702
customer_tight,both_reachable,no_submission,late_minus_early,2,0.01851851851851851,0.0,0.03703703703703702
customer_tight,both_reachable,d_to_e,early_level,2,0.2279411764705882,0.20588235294117646,0.24999999999999997
customer_tight,both_reachable,d_to_e,late_level,2,0.23148148148148145,0.16666666666666663,0.2962962962962963
customer_tight,both_reachable,d_to_e,late_minus_early,2,0.0035403050108932382,-0.03921568627450983,0.04629629629629631
customer_tight,both_reachable,e_to_d,early_level,2,0.3180147058823529,0.31249999999999994,0.32352941176470584
customer_tight,both_reachable,e_to_d,late_level,2,0.24074074074074073,0.2222222222222222,0.25925925925925924
customer_tight,both_reachable,e_to_d,late_minus_early,2,-0.07727396514161217,-0.10130718954248363,-0.0532407407407407
customer_tight,both_reachable,resolved,early_level,2,0.4090073529411764,0.40625,0.41176470588235287
customer_tight,both_reachable,resolved,late_level,2,0.4444444444444444,0.3333333333333333,0.5555555555555556
customer_tight,both_reachable,resolved,late_minus_early,2,0.035437091503268014,-0.07291666666666669,0.14379084967320271
customer_tight,both_reachable,customer_minus_domestic,early_level,2,-0.1213235294117647,-0.125,-0.11764705882352941
customer_tight,both_reachable,customer_minus_domestic,late_level,2,0.041666666666666644,-0.027777777777777776,0.11111111111111106
customer_tight,both_reachable,customer_minus_domestic,late_minus_early,2,0.16299019607843135,0.08986928104575163,0.23611111111111105
domestic_tight,all,domestic_use,early_level,2,0.8551103368176538,0.8292682926829268,0.8809523809523809
domestic_tight,all,domestic_use,late_level,2,0.8212624584717608,0.813953488372093,0.8285714285714286
domestic_tight,all,domestic_use,late_minus_early,2,-0.033847878345893034,-0.052380952380952306,-0.015314804310833763
domestic_tight,all,customer_use,early_level,2,0.5554587688734031,0.4523809523809524,0.6585365853658537
domestic_tight,all,customer_use,late_level,2,0.613953488372093,0.6,0.627906976744186
domestic_tight,all,customer_use,late_minus_early,2,0.05849471949868998,-0.030629608621667637,0.1476190476190476
domestic_tight,all,first_d,early_level,2,0.662020905923345,0.6097560975609756,0.7142857142857143
domestic_tight,all,first_d,late_level,2,0.5049833887043189,0.42857142857142855,0.5813953488372093
domestic_tight,all,first_d,late_minus_early,2,-0.157037517219026,-0.28571428571428575,-0.02836074872376626
domestic_tight,all,first_e,early_level,2,0.33797909407665505,0.2857142857142857,0.3902439024390244
