scenario,seed,time,new_disputes,new_complaints,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
effect_0,3,49,0,0,0,89,6,0,0,6,89,83,83,83,0,0,0,0,6,1.0,1.0,,1.0,0.0,0.0
effect_0,4,49,0,0,0,102,99,0,0,99,102,3,3,3,0,0,0,0,99,1.0,1.0,,1.0,0.0,0.0
effect_0,5,49,0,0,0,96,95,0,0,95,96,1,1,1,0,0,0,0,95,1.0,1.0,,1.0,0.0,0.0
effect_0,6,49,0,0,0,94,87,0,0,87,94,7,7,7,0,0,0,0,87,1.0,1.0,,1.0,0.0,0.0
effect_0,7,49,0,0,0,93,85,0,0,85,93,8,8,8,0,0,0,0,85,1.0,1.0,,1.0,0.0,0.0
effect_0,8,49,0,0,0,99,96,0,0,96,99,3,3,3,0,0,0,0,96,1.0,1.0,,1.0,0.0,0.0
effect_0,9,49,0,0,0,102,98,0,0,98,102,4,4,4,0,0,0,0,98,1.0,1.0,,1.0,0.0,0.0
effect_0,10,49,0,0,0,97,91,0,0,91,97,6,6,6,0,0,0,0,91,1.0,1.0,,1.0,0.0,0.0
effect_0,11,49,0,0,0,85,83,0,0,83,85,2,2,2,0,0,0,0,83,1.0,1.0,,1.0,0.0,0.0
effect_0,12,49,0,0,0,102,97,0,0,97,102,5,5,5,0,0,0,0,97,1.0,1.0,,1.0,0.0,0.0
effect_0,13,49,0,0,0,96,94,0,0,94,96,2,2,2,0,0,0,0,94,1.0,1.0,,1.0,0.0,0.0
effect_0,14,49,0,0,0,93,89,0,0,89,93,4,4,4,0,0,0,0,89,1.0,1.0,,1.0,0.0,0.0
effect_0,15,49,0,0,0,97,16,0,0,16,97,81,81,81,0,0,0,0,16,1.0,1.0,,1.0,0.0,0.0
effect_0,16,49,0,0,0,85,72,0,0,72,85,13,13,13,0,0,0,0,72,1.0,1.0,,1.0,0.0,0.0
effect_0,17,49,0,0,0,96,88,0,0,88,96,8,8,8,0,0,0,0,88,1.0,1.0,,1.0,0.0,0.0
effect_0,18,49,0,0,0,87,81,0,0,81,87,6,6,6,0,0,0,0,81,1.0,1.0,,1.0,0.0,0.0
effect_0,19,49,0,0,0,102,102,0,0,102,102,0,0,0,0,0,0,0,102,1.0,1.0,,1.0,0.0,0.0
effect_low,0,49,0,0,0,83,0,0,18,18,101,83,83,83,0,0,0,0,18,0.8217821782178217,0.0,2.5555555555555554,1.0,0.0,0.0
effect_low,1,49,0,0,0,70,0,0,14,14,84,70,70,70,0,0,0,0,14,0.8333333333333334,0.0,3.2857142857142856,1.0,0.0,0.0
effect_low,2,49,0,0,0,45,0,0,47,47,92,45,45,45,0,0,0,0,47,0.4891304347826087,0.0,4.297872340425532,1.0,0.0,0.0
effect_low,3,49,0,0,0,84,0,0,5,5,89,84,84,84,0,0,0,0,5,0.9438202247191011,0.0,5.0,1.0,0.0,0.0
effect_low,4,49,0,0,0,35,0,0,67,67,102,35,35,35,0,0,0,0,67,0.3431372549019608,0.0,4.3283582089552235,1.0,0.0,0.0
effect_low,5,49,0,0,0,72,0,0,24,24,96,72,72,72,0,0,0,0,24,0.75,0.0,1.6666666666666667,1.0,0.0,0.0
effect_low,6,49,0,0,0,46,0,0,48,48,94,46,46,46,0,0,0,0,48,0.48936170212765956,0.0,3.3958333333333335,1.0,0.0,0.0
effect_low,7,49,0,0,0,22,0,0,71,71,93,22,22,22,0,0,0,0,71,0.23655913978494625,0.0,5.352112676056338,1.0,0.0,0.0
effect_low,8,49,0,0,0,83,0,0,16,16,99,83,83,83,0,0,0,0,16,0.8383838383838383,0.0,2.9375,1.0,0.0,0.0
effect_low,9,49,0,0,0,90,0,0,12,12,102,90,90,90,0,0,0,0,12,0.8823529411764706,0.0,3.1666666666666665,1.0,0.0,0.0
effect_low,10,49,0,0,0,83,0,0,14,14,97,83,83,83,0,0,0,0,14,0.8556701030927835,0.0,3.357142857142857,1.0,0.0,0.0
effect_low,11,49,0,0,0,45,0,0,40,40,85,45,45,45,0,0,0,0,40,0.5294117647058824,0.0,3.85,1.0,0.0,0.0
effect_low,12,49,0,0,0,19,0,0,83,83,102,19,19,19,0,0,0,0,83,0.18627450980392157,0.0,6.457831325301205,1.0,0.0,0.0
effect_low,13,49,0,0,0,56,0,0,40,40,96,56,56,56,0,0,0,0,40,0.5833333333333334,0.0,2.025,1.0,0.0,0.0
effect_low,14,49,0,0,0,54,0,0,39,39,93,54,54,54,0,0,0,0,39,0.5806451612903226,0.0,2.641025641025641,1.0,0.0,0.0
effect_low,15,49,0,0,0,94,0,0,3,3,97,94,94,94,0,0,0,0,3,0.9690721649484536,0.0,1.0,1.0,0.0,0.0
effect_low,16,49,0,0,0,70,0,0,15,15,85,70,70,70,0,0,0,0,15,0.8235294117647058,0.0,2.4,1.0,0.0,0.0
effect_low,17,49,0,0,0,15,0,0,81,81,96,15,15,15,0,0,0,0,81,0.15625,0.0,7.950617283950617,1.0,0.0,0.0
effect_low,18,49,0,0,0,76,0,0,11,11,87,76,76,76,0,0,0,0,11,0.8735632183908046,0.0,2.3636363636363638,1.0,0.0,0.0
effect_low,19,49,0,0,0,74,0,0,28,28,102,74,74,74,0,0,0,0,28,0.7254901960784313,0.0,4.142857142857143,1.0,0.0,0.0
effect_high,0,49,0,0,0,94,0,0,7,7,101,94,94,94,0,0,0,0,7,0.9306930693069307,0.0,0.0,1.0,0.0,0.0
effect_high,1,49,0,0,0,76,0,0,8,8,84,76,76,76,0,0,0,0,8,0.9047619047619048,0.0,0.0,1.0,0.0,0.0
effect_high,2,49,0,0,0,80,0,0,12,12,92,80,80,80,0,0,0,0,12,0.8695652173913043,0.0,0.08333333333333333,1.0,0.0,0.0
effect_high,3,49,0,0,0,85,0,0,4,4,89,85,85,85,0,0,0,0,4,0.9550561797752809,0.0,0.0,1.0,0.0,0.0
effect_high,4,49,0,0,0,93,0,0,9,9,102,93,93,93,0,0,0,0,9,0.9117647058823529,0.0,0.2222222222222222,1.0,0.0,0.0
effect_high,5,49,0,0,0,89,0,0,7,7,96,89,89,89,0,0,0,0,7,0.9270833333333334,0.0,0.14285714285714285,1.0,0.0,0.0
effect_high,6,49,0,0,0,75,0,0,19,19,94,75,75,75,0,0,0,0,19,0.7978723404255319,0.0,0.2631578947368421,1.0,0.0,0.0
effect_high,7,49,0,0,0,83,0,0,10,10,93,83,83,83,0,0,0,0,10,0.8924731182795699,0.0,0.1,1.0,0.0,0.0
effect_high,8,49,0,0,0,92,0,0,7,7,99,92,92,92,0,0,0,0,7,0.9292929292929293,0.0,0.2857142857142857,1.0,0.0,0.0
effect_high,9,49,0,0,0,94,0,0,8,8,102,94,94,94,0,0,0,0,8,0.9215686274509803,0.0,0.625,1.0,0.0,0.0
effect_high,10,49,0,0,0,91,0,0,6,6,97,91,91,91,0,0,0,0,6,0.9381443298969072,0.0,0.0,1.0,0.0,0.0
effect_high,11,49,0,0,0,75,0,0,10,10,85,75,75,75,0,0,0,0,10,0.8823529411764706,0.0,0.2,1.0,0.0,0.0
effect_high,12,49,0,0,0,86,0,0,16,16,102,86,86,86,0,0,0,0,16,0.8431372549019608,0.0,0.125,1.0,0.0,0.0
effect_high,13,49,0,0,0,84,0,0,12,12,96,84,84,84,0,0,0,0,12,0.875,0.0,0.5,1.0,0.0,0.0
effect_high,14,49,0,0,0,82,0,0,11,11,93,82,82,82,0,0,0,0,11,0.8817204301075269,0.0,0.09090909090909091,1.0,0.0,0.0
effect_high,15,49,0,0,0,94,0,0,3,3,97,94,94,94,0,0,0,0,3,0.9690721649484536,0.0,0.0,1.0,0.0,0.0
effect_high,16,49,0,0,0,78,0,0,7,7,85,78,78,78,0,0,0,0,7,0.9176470588235294,0.0,0.14285714285714285,1.0,0.0,0.0
effect_high,17,49,0,0,0,78,0,0,18,18,96,78,78,78,0,0,0,0,18,0.8125,0.0,0.6111111111111112,1.0,0.0,0.0
effect_high,18,49,0,0,0,85,0,0,2,2,87,85,85,85,0,0,0,0,2,0.9770114942528736,0.0,0.0,1.0,0.0,0.0
