time,case_id,employee,selected,material_known,social_d,social_e,pending_d,pending_e,recent_d,recent_e,success_d,success_e,failure_d,failure_e,p_d,p_e,cost_d,cost_e,expected_wait_d,expected_wait_e,utilities
9,214:6,214,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,0.5,0.443590841096819,0.2925123474407271,3.0,3.0,wait:0.000000;d:0.006571;e:0.157650;d+e:-0.058425
9,218:0,218,no_addition,False,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,2.0,1.0,0.0,0.5,0.5,0.22402292046599662,0.387614879129818,3.0,3.0,wait:0.000000
10,33:6,33,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,0.5,0.26799859798428954,0.27182287467558,3.0,3.0,wait:0.482803;e:0.423803
10,36:0,36,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.40868282925775223,0.41900053739797377,3.0,3.0,wait:0.000000
10,40:6,40,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.40979428068998186,0.24866690722000864,3.0,3.0,wait:0.000000;d:0.020368
10,42:0,42,no_addition,False,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,2.0,1.0,0.5,0.5,0.3370247532265757,0.2534510171764107,3.0,3.0,wait:0.000000
10,76:0,76,no_addition,False,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.5,0.5,0.21683692367874113,0.43043667868936064,3.0,3.0,wait:0.000000;e:-0.000274
10,95:6,95,no_addition,False,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,1.0,1.0,0.5,0.5,0.3797239704460827,0.26511376606491255,3.0,3.0,wait:0.482803;d:0.315901
10,96:6,96,no_addition,False,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.5,0.5,0.3523001079075671,0.44320868309654154,3.0,3.0,wait:0.000000;e:-0.013046
10,108:0,108,no_addition,False,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,1.0,3.0,3.0,0.5,0.5,0.4051152694937241,0.34700663599438875,3.0,3.0,wait:0.000000
10,137:6,137,e,False,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,1.0,1.0,0.5,0.5,0.21067495909785985,0.38531273408114686,3.0,3.0,wait:0.000000;e:0.044850
10,159:0,159,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.3379496723410936,0.4064367469037631,3.0,3.0,wait:0.000000
10,171:6,171,no_addition,False,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.305605824820542,0.420627155912052,3.0,3.0,wait:0.482803;e:0.274998
10,176:6,176,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.29667236080361553,0.19039524472284738,3.0,3.0,wait:0.466197
10,187:6,187,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.362124988748831,0.3298573274808079,3.0,3.0,wait:0.482803;d:0.333500
10,201:0,201,no_addition,False,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,1.0,0.0,0.0,0.0,0.5,0.5,0.20072772104470216,0.20987555220806772,3.0,3.0,wait:0.000000
10,206:6,206,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.21149801716550876,0.3938870593751493,3.0,3.0,wait:0.000000;e:0.036275
10,218:0,218,no_addition,False,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,2.0,1.0,0.0,0.5,0.5,0.22402292046599662,0.387614879129818,3.0,3.0,wait:0.000000
11,5:6,5,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.18627775142604694,0.4363383782700089,3.0,3.0,wait:0.000000;e:-0.006176
11,36:0,36,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.40868282925775223,0.41900053739797377,3.0,3.0,wait:0.000000
11,40:6,40,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.40979428068998186,0.24866690722000864,3.0,3.0,wait:0.466197
11,42:0,42,no_addition,False,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0,2.0,1.0,0.5,0.5,0.3370247532265757,0.2534510171764107,3.0,3.0,wait:0.000000
11,46:6,46,d,False,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,1.0,4.0,1.0,0.5,0.5,0.3439476292750366,0.18760280558111614,3.0,3.0,wait:0.000000;d:0.086215
11,76:0,76,no_addition,False,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,1.0,0.5,0.5,0.21683692367874113,0.43043667868936064,3.0,3.0,wait:0.000000;e:-0.000274
11,82:6,82,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.257432616356845,0.30799645207068005,3.0,3.0,wait:0.482803;e:0.387629
11,96:6,96,no_addition,False,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,1.0,0.5,0.5,0.3523001079075671,0.44320868309654154,3.0,3.0,wait:0.000000;e:-0.013046
11,108:0,108,no_addition,False,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,1.0,3.0,3.0,0.5,0.5,0.4051152694937241,0.34700663599438875,3.0,3.0,wait:0.000000
11,137:6,137,no_addition,False,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,1.0,2.0,0.5,0.5,0.21067495909785985,0.38531273408114686,3.0,3.0,wait:0.466197
11,153:6,153,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.25663317833606647,0.3716738497836488,3.0,3.0,wait:0.482803;e:0.323952
11,159:0,159,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.3379496723410936,0.4064367469037631,3.0,3.0,wait:0.000000
11,176:6,176,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.29667236080361553,0.19039524472284738,3.0,3.0,wait:0.482803
11,187:6,187,d,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.362124988748831,0.3298573274808079,3.0,3.0,wait:0.000000;d:0.068037
11,201:0,201,no_addition,False,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,1.0,0.5,0.5,0.20072772104470216,0.20987555220806772,3.0,3.0,wait:0.000000
11,206:6,206,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.21149801716550876,0.3938870593751493,3.0,3.0,wait:0.466197
11,218:0,218,no_addition,False,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,2.0,2.0,0.0,0.5,0.5,0.22402292046599662,0.387614879129818,3.0,3.0,wait:0.000000
12,5:6,5,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.18627775142604694,0.4363383782700089,3.0,3.0,wait:0.000000;e:-0.006176
12,22:12,22,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.18691678094765152,0.31450094045556126,3.0,3.0,wait:0.000000;d:0.263245;e:0.135661;d+e:0.176261
12,24:12,24,d,False,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.2816234955775494,0.39189788092145056,3.0,3.0,wait:0.000000;d:0.168539;e:0.058264;d+e:0.004157
12,29:12,29,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.427069173722378,0.3381597478658024,3.0,3.0,wait:0.000000;d:0.023093;e:0.112003;d+e:-0.087550
12,34:6,34,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.41646186055116163,0.2610662765689028,3.0,3.0,wait:0.000000;d:0.013700
12,36:0,36,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.40868282925775223,0.41900053739797377,3.0,3.0,wait:0.000000
12,40:6,40,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.40979428068998186,0.24866690722000864,3.0,3.0,wait:0.482803
12,42:0,42,no_addition,False,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0,2.0,1.0,0.5,0.5,0.3370247532265757,0.2534510171764107,3.0,3.0,wait:0.000000
12,46:6,46,no_addition,False,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,1.0,4.0,1.0,0.5,0.5,0.3439476292750366,0.18760280558111614,3.0,3.0,wait:0.466197
12,76:0,76,no_addition,False,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.21683692367874113,0.43043667868936064,3.0,3.0,wait:0.000000;e:-0.000274
12,96:6,96,no_addition,False,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.3523001079075671,0.44320868309654154,3.0,3.0,wait:0.000000;e:-0.013046
12,108:0,108,no_addition,False,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,1.0,4.0,3.0,0.5,0.5,0.4051152694937241,0.34700663599438875,3.0,3.0,wait:0.000000
12,137:6,137,no_addition,False,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.21067495909785985,0.38531273408114686,3.0,3.0,wait:0.482803
12,140:6,140,e,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.3346212834544936,0.4172365301980692,3.0,3.0,wait:0.000000;e:0.012926
12,159:0,159,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.3379496723410936,0.4064367469037631,3.0,3.0,wait:0.000000
12,176:6,176,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.29667236080361553,0.19039524472284738,3.0,3.0,wait:0.000000
12,187:6,187,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.362124988748831,0.3298573274808079,3.0,3.0,wait:0.466197
12,191:12,191,d,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.5,0.5,0.1651811248048993,0.4420432728833236,3.0,3.0,wait:0.000000;d:0.284981;e:0.008119;d+e:0.070454
12,201:0,201,no_addition,False,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.20072772104470216,0.20987555220806772,3.0,3.0,wait:0.000000
12,206:6,206,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.21149801716550876,0.3938870593751493,3.0,3.0,wait:0.482803
12,214:6,214,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,0.5,0.443590841096819,0.2925123474407271,3.0,3.0,wait:0.000000;d:-0.013429
12,218:0,218,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.5,0.22402292046599662,0.387614879129818,3.0,3.0,wait:0.000000
13,5:6,5,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.18627775142604694,0.4363383782700089,3.0,3.0,wait:0.000000;e:-0.006176
