time,case_id,employee,event,scenario,seed
0,20:0,20,dispute_created,both,1
0,21:0,21,dispute_created,both,1
0,23:0,23,dispute_created,both,1
0,0:0,0,domestic_received,both,1
0,2:0,2,domestic_received,both,1
0,4:0,4,domestic_received,both,1
0,6:0,6,domestic_received,both,1
0,7:0,7,domestic_received,both,1
0,8:0,8,domestic_received,both,1
0,9:0,9,domestic_received,both,1
0,10:0,10,domestic_received,both,1
0,12:0,12,domestic_received,both,1
0,14:0,14,domestic_received,both,1
0,15:0,15,domestic_received,both,1
0,16:0,16,domestic_received,both,1
0,18:0,18,domestic_received,both,1
0,18:0,18,customer_received,both,1
0,20:0,20,domestic_received,both,1
0,21:0,21,domestic_received,both,1
0,23:0,23,domestic_received,both,1
2,0:0,0,domestic_responded,both,1
2,0:0,0,domestic_material_not_issued,both,1
2,0:0,0,domestic_remedy_supported,both,1
2,2:0,2,domestic_responded,both,1
2,2:0,2,domestic_material_not_issued,both,1
2,2:0,2,domestic_remedy_supported,both,1
2,4:0,4,domestic_responded,both,1
2,4:0,4,domestic_material_not_issued,both,1
2,4:0,4,domestic_no_remedy,both,1
2,6:0,6,domestic_responded,both,1
2,6:0,6,domestic_material_not_issued,both,1
2,6:0,6,domestic_no_remedy,both,1
2,7:0,7,domestic_responded,both,1
2,7:0,7,domestic_material_not_issued,both,1
2,7:0,7,domestic_no_remedy,both,1
2,8:0,8,domestic_responded,both,1
2,8:0,8,domestic_material_not_issued,both,1
2,8:0,8,domestic_no_remedy,both,1
2,9:0,9,domestic_responded,both,1
2,9:0,9,domestic_material_not_issued,both,1
2,9:0,9,domestic_no_remedy,both,1
2,10:0,10,domestic_responded,both,1
2,10:0,10,domestic_material_not_issued,both,1
2,10:0,10,domestic_no_remedy,both,1
2,12:0,12,domestic_responded,both,1
2,12:0,12,domestic_material_not_issued,both,1
2,12:0,12,domestic_remedy_supported,both,1
2,14:0,14,domestic_responded,both,1
2,14:0,14,domestic_material_not_issued,both,1
2,14:0,14,domestic_remedy_supported,both,1
2,15:0,15,domestic_responded,both,1
2,15:0,15,domestic_material_not_issued,both,1
2,15:0,15,domestic_no_remedy,both,1
2,16:0,16,domestic_responded,both,1
2,16:0,16,domestic_material_not_issued,both,1
2,16:0,16,domestic_no_remedy,both,1
