variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.3,low,early,customer_success,20,0.21625,0.14116914682539683,0.30646924603174586
limited_access,0.3,low,early,first_customer,20,0.3114827946989072,0.2595168606968478,0.3628543846392312
limited_access,0.3,low,early,both_use,20,0.3030502873085993,0.25790795883570816,0.3537448426999257
limited_access,0.3,low,early,d_to_e,20,0.13370747113074477,0.09971894340740244,0.16949504337308036
limited_access,0.3,low,early,firm_equal_resolved,20,0.38567460317460317,0.3362878637566138,0.43063938492063486
limited_access,0.3,low,late,domestic_use,20,0.8339365314637053,0.8044726790419724,0.8628648548764037
limited_access,0.3,low,late,customer_use,20,0.4720555712403539,0.4207979797979798,0.5207166070644331
limited_access,0.3,low,late,resolved,20,0.36216814888010535,0.29820268288474805,0.42679935613903
limited_access,0.3,low,late,customer_success,20,0.19129176379176377,0.14644570707070706,0.23267997280497277
limited_access,0.3,low,late,first_customer,20,0.28442425026664153,0.24800008430579082,0.3192028534569295
limited_access,0.3,low,late,both_use,20,0.3476424179685049,0.30218186131501346,0.3923919493851559
limited_access,0.3,low,late,d_to_e,20,0.17973359370098496,0.13279701518288473,0.2257004438797917
limited_access,0.3,low,late,firm_equal_resolved,20,0.36292989417989413,0.2969034391534391,0.4289350198412698
limited_access,0.3,low_tail,early,domestic_use,20,0.7925349609540786,0.7427956190051779,0.8457712405037773
limited_access,0.3,low_tail,early,customer_use,20,0.4439876177743824,0.3551932189542484,0.5348998705542821
limited_access,0.3,low_tail,early,resolved,20,0.36016774891774894,0.29502739580680754,0.4207112060733383
limited_access,0.3,low_tail,early,customer_success,19,0.18199665831244777,0.09008458646616542,0.3012583542188805
limited_access,0.3,low_tail,early,first_customer,20,0.30532117392411506,0.23010414014090474,0.3819306271751124
limited_access,0.3,low_tail,early,both_use,20,0.29391541465070875,0.22352383074441892,0.3722409122740004
limited_access,0.3,low_tail,early,d_to_e,20,0.12755533273915626,0.0878496082144979,0.17500311014557332
limited_access,0.3,low_tail,early,firm_equal_resolved,20,0.3694642857142857,0.30389806547619047,0.4306334325396825
limited_access,0.3,low_tail,late,domestic_use,20,0.8085425971087737,0.7686145313020315,0.8454816733511586
limited_access,0.3,low_tail,late,customer_use,20,0.4932028143425202,0.3969626118366927,0.5834119682400931
limited_access,0.3,low_tail,late,resolved,20,0.34210005680593913,0.2745112914046738,0.4072922237076649
