variant,dependence_mean,grouping,period,metric,n,mean,low,high
limited_access,0.1,tails,late,first_customer,20,0.008484897455485679,-0.0749509904923508,0.08800059315684308
limited_access,0.1,tails,late,both_use,20,0.0019047537429890502,-0.09640642211138532,0.10866737031351001
limited_access,0.1,tails,late,d_to_e,20,0.01789036535360065,-0.04754466234337558,0.09211591074366807
limited_access,0.1,tails,late,firm_equal_resolved,20,0.05630952380952381,-0.018187251984126997,0.13260391865079363
limited_access,0.3,halves,early,domestic_use,20,0.03790293044962247,-0.023144024306727046,0.09416150970954561
limited_access,0.3,halves,early,customer_use,20,0.023036124008579923,-0.08493770010561258,0.13116206961253393
limited_access,0.3,halves,early,resolved,20,-0.028048036200125987,-0.1017567896359709,0.046834821974868324
limited_access,0.3,halves,early,customer_success,20,-0.013293928293928286,-0.12312771256521254,0.09873277763902759
limited_access,0.3,halves,early,first_customer,20,-0.021588021121353336,-0.09605914310110704,0.05606562756334762
limited_access,0.3,halves,early,both_use,20,0.05414168389080896,-0.04137779605202461,0.14979496333933337
limited_access,0.3,halves,early,d_to_e,20,0.04410607624229916,-0.021631651179992155,0.10643941168191154
limited_access,0.3,halves,early,firm_equal_resolved,20,-0.03593915343915348,-0.11033945105820105,0.04021114417989412
limited_access,0.3,halves,late,domestic_use,20,-0.045363884892421706,-0.09354643675435295,0.003214501956909193
limited_access,0.3,halves,late,customer_use,20,-0.009902285284823339,-0.11493775057436474,0.09112523249799882
limited_access,0.3,halves,late,resolved,20,-0.01984544294453098,-0.09017594090458457,0.05453453842661463
limited_access,0.3,halves,late,customer_success,20,-0.011282267569032268,-0.0712445054945055,0.058533313296180896
limited_access,0.3,halves,late,first_customer,20,0.00857547262716193,-0.05540437366958433,0.07243181324389883
limited_access,0.3,halves,late,both_use,20,-0.03968332258706136,-0.12432388591011263,0.04924398390562441
limited_access,0.3,halves,late,d_to_e,20,-0.010580030639258005,-0.08799804960079519,0.06917421148561353
limited_access,0.3,halves,late,firm_equal_resolved,20,-0.015866402116402112,-0.08505621693121693,0.05861078042328039
limited_access,0.3,tails,early,domestic_use,20,0.06660733465880524,-0.02746462044899544,0.15694263487737747
limited_access,0.3,tails,early,customer_use,20,0.0713476188843836,-0.05508051456305131,0.19614704953951273
limited_access,0.3,tails,early,resolved,20,-0.0041248702278114,-0.10139715431627198,0.0976726712829654
limited_access,0.3,tails,early,customer_success,18,0.02601410934744268,-0.11212742504409173,0.1595287698412698
limited_access,0.3,tails,early,first_customer,20,-0.006173263011498303,-0.1093921699215817,0.09687197055395583
limited_access,0.3,tails,early,both_use,20,0.11947265153147506,-0.0025759032634032467,0.23130907368775017
limited_access,0.3,tails,early,d_to_e,20,0.07923028360528361,0.002884636605224842,0.1543936757686757
limited_access,0.3,tails,early,firm_equal_resolved,20,-0.014345238095238072,-0.11373635912698414,0.08851711309523809
limited_access,0.3,tails,late,domestic_use,20,-0.026562555091966873,-0.07587200177273708,0.022321509066913457
limited_access,0.3,tails,late,customer_use,20,-0.006881529418294128,-0.14984402760229962,0.13112787763706882
limited_access,0.3,tails,late,resolved,20,0.016228652883064656,-0.0530801558531338,0.09132254591813414
limited_access,0.3,tails,late,customer_success,18,0.015987253487253487,-0.05978309884559886,0.09956248997915662
limited_access,0.3,tails,late,first_customer,20,-0.02457930141753672,-0.12934624821665267,0.07447515138048218
limited_access,0.3,tails,late,both_use,20,-0.02221524390642039,-0.13838450744516922,0.09807475408578349
limited_access,0.3,tails,late,d_to_e,20,0.026031105332575917,-0.0565548636412607,0.11067249254013958
limited_access,0.3,tails,late,firm_equal_resolved,20,0.025783730158730145,-0.042436011904761914,0.10130952380952378
limited_access,0.5,halves,early,domestic_use,20,0.050845411235016166,-0.0024500528038689244,0.10061481490262696
limited_access,0.5,halves,early,customer_use,20,0.010486349782267788,-0.1018713772850518,0.12524307947426586
limited_access,0.5,halves,early,resolved,20,-0.035060472666980966,-0.10740624718656967,0.03777928415272544
limited_access,0.5,halves,early,customer_success,20,-0.029166126271389432,-0.13423682987334307,0.0652030878478247
limited_access,0.5,halves,early,first_customer,20,-0.013685612931810278,-0.08207809868972207,0.05956338461291172
limited_access,0.5,halves,early,both_use,20,0.055690828321481846,-0.04408748889438586,0.15272694366518183
limited_access,0.5,halves,early,d_to_e,20,0.02479308072650042,-0.044362161434159685,0.09155397466567583
limited_access,0.5,halves,early,firm_equal_resolved,20,-0.04015211640211639,-0.11191236772486773,0.032648148148148134
limited_access,0.5,halves,late,domestic_use,20,-0.0717169608464702,-0.12635191229255033,-0.013682027659461943
limited_access,0.5,halves,late,customer_use,20,-0.03693450887740163,-0.14052221579291174,0.06693004095274104
limited_access,0.5,halves,late,resolved,20,0.014222019315319199,-0.05258347406555027,0.08664139515455282
limited_access,0.5,halves,late,customer_success,20,0.04410964035964036,-0.058336427461427455,0.14732609057609058
limited_access,0.5,halves,late,first_customer,20,-0.0009893015350513179,-0.07488700282831391,0.07719392173822234
limited_access,0.5,halves,late,both_use,20,-0.090505577742504,-0.16079110332807628,-0.014340847729598831
limited_access,0.5,halves,late,d_to_e,20,-0.02127586789864689,-0.07537411326866923,0.03528969495883783
limited_access,0.5,halves,late,firm_equal_resolved,20,0.012817460317460316,-0.05840046296296296,0.08591650132275125
limited_access,0.5,tails,early,domestic_use,20,0.06399295557383794,-0.03794593407001493,0.16089452296069942
limited_access,0.5,tails,early,customer_use,20,0.044650704687469414,-0.09373125281581163,0.1836739451316657
limited_access,0.5,tails,early,resolved,20,-0.016755005615299738,-0.1008564569621555,0.06922147817460303
limited_access,0.5,tails,early,customer_success,18,0.012794458627791954,-0.1018450916367583,0.12568246568246566
limited_access,0.5,tails,early,first_customer,20,0.005730458267222976,-0.09149061008436007,0.09788661675334459
limited_access,0.5,tails,early,both_use,20,0.10639618551383259,-0.02160029839441601,0.22687599451202398
limited_access,0.5,tails,early,d_to_e,20,0.05003135753135753,-0.03390040229378463,0.13730018857776208
limited_access,0.5,tails,early,firm_equal_resolved,20,-0.02413690476190477,-0.11109771825396822,0.06734697420634916
limited_access,0.5,tails,late,domestic_use,20,-0.08972111222111223,-0.16101448888121683,-0.015697252808466136
limited_access,0.5,tails,late,customer_use,20,-0.0036006640418405206,-0.1416776819993732,0.13041403449491681
limited_access,0.5,tails,late,resolved,20,0.055436716061716074,-0.028175881104189934,0.146628216452665
limited_access,0.5,tails,late,customer_success,18,0.08205868205868203,-0.02832331248997917,0.187549202340869
limited_access,0.5,tails,late,first_customer,20,0.002090715656892131,-0.0996717767526591,0.10254547046091145
limited_access,0.5,tails,late,both_use,20,-0.06747012791130438,-0.1663442265455133,0.041009313603063466
limited_access,0.5,tails,late,d_to_e,20,0.007946440814087869,-0.06382250378298172,0.07893580653415211
limited_access,0.5,tails,late,firm_equal_resolved,20,0.06569444444444446,-0.01987524801587301,0.1541959325396825
limited_access,0.7,halves,early,domestic_use,20,0.028992871210615872,-0.024324045850744404,0.0818064223288303
limited_access,0.7,halves,early,customer_use,20,-0.014621109902944612,-0.1399773902600705,0.11347010931478879
limited_access,0.7,halves,early,resolved,20,-0.02760143730538467,-0.09617037978468901,0.03739123316530683
limited_access,0.7,halves,early,customer_success,20,-0.0048222610722610856,-0.07544110750360754,0.06759656662781659
limited_access,0.7,halves,early,first_customer,20,-0.04099078503532336,-0.1321319483201193,0.05590530627470107
limited_access,0.7,halves,early,both_use,20,0.016857122607728342,-0.08020392285788877,0.11657268555869059
limited_access,0.7,halves,early,d_to_e,20,0.014363118886692042,-0.040993989584079946,0.07326593285362129
limited_access,0.7,halves,early,firm_equal_resolved,20,-0.03154761904761905,-0.10358895502645506,0.036731812169312164
limited_access,0.7,halves,late,domestic_use,20,-0.02335115196831109,-0.07556644278134597,0.028114631128264327
limited_access,0.7,halves,late,customer_use,20,-0.03688109752603631,-0.1647883943163633,0.09187043431546384
limited_access,0.7,halves,late,resolved,20,-0.00763789207868157,-0.08743447269128511,0.06878054671525355
limited_access,0.7,halves,late,customer_success,20,0.00533986825008496,-0.0842382766442364,0.11263601420509313
