period,group,cases,customer_users,domestic_use,customer_use,resolved,customer_success,first_customer,both_use,d_to_e,firm_equal_resolved,firms_observed,variant,dependence_mean,seed
late,high_tail,15,9,0.6,0.6,0.6666666666666666,0.4444444444444444,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.6607142857142857,2,no_perceived,0.5,0
early,all,41,26,0.7804878048780488,0.6341463414634146,0.4878048780487805,0.3076923076923077,0.4634146341463415,0.4146341463414634,0.17073170731707318,0.498015873015873,6,no_perceived,0.7,0
early,low,20,13,0.75,0.65,0.5,0.3076923076923077,0.45,0.4,0.2,0.5138888888888888,3,no_perceived,0.7,0
early,high,21,13,0.8095238095238095,0.6190476190476191,0.47619047619047616,0.3076923076923077,0.47619047619047616,0.42857142857142855,0.14285714285714285,0.48214285714285715,3,no_perceived,0.7,0
early,low_tail,14,11,0.6428571428571429,0.7857142857142857,0.42857142857142855,0.36363636363636365,0.5714285714285714,0.42857142857142855,0.21428571428571427,0.4375,2,no_perceived,0.7,0
early,high_tail,13,10,0.8461538461538461,0.7692307692307693,0.5384615384615384,0.3,0.5384615384615384,0.6153846153846154,0.23076923076923078,0.5357142857142857,2,no_perceived,0.7,0
late,all,43,32,0.7209302325581395,0.7441860465116279,0.5348837209302325,0.34375,0.5348837209302325,0.46511627906976744,0.20930232558139536,0.5269179894179894,6,no_perceived,0.7,0
late,low,23,18,0.782608695652174,0.782608695652174,0.391304347826087,0.2777777777777778,0.5652173913043478,0.5652173913043478,0.21739130434782608,0.36574074074074076,3,no_perceived,0.7,0
late,high,20,14,0.65,0.7,0.7,0.42857142857142855,0.5,0.35,0.2,0.6880952380952382,3,no_perceived,0.7,0
late,low_tail,15,12,0.7333333333333333,0.8,0.4,0.25,0.6,0.5333333333333333,0.2,0.3611111111111111,2,no_perceived,0.7,0
late,high_tail,15,10,0.6,0.6666666666666666,0.7333333333333333,0.5,0.5333333333333333,0.26666666666666666,0.13333333333333333,0.7321428571428572,2,no_perceived,0.7,0
early,all,41,27,0.7560975609756098,0.6585365853658537,0.5121951219512195,0.37037037037037035,0.4634146341463415,0.4146341463414634,0.1951219512195122,0.5297619047619048,6,no_perceived,0.9,0
early,low,20,13,0.75,0.65,0.55,0.38461538461538464,0.45,0.4,0.2,0.5694444444444443,3,no_perceived,0.9,0
early,high,21,14,0.7619047619047619,0.6666666666666666,0.47619047619047616,0.35714285714285715,0.47619047619047616,0.42857142857142855,0.19047619047619047,0.49007936507936506,3,no_perceived,0.9,0
early,low_tail,14,11,0.6428571428571429,0.7857142857142857,0.5,0.45454545454545453,0.5714285714285714,0.42857142857142855,0.21428571428571427,0.5208333333333333,2,no_perceived,0.9,0
early,high_tail,13,10,0.7692307692307693,0.7692307692307693,0.5384615384615384,0.4,0.5384615384615384,0.5384615384615384,0.23076923076923078,0.5476190476190476,2,no_perceived,0.9,0
late,all,43,33,0.6046511627906976,0.7674418604651163,0.6744186046511628,0.5151515151515151,0.5116279069767442,0.37209302325581395,0.2558139534883721,0.6720238095238096,6,no_perceived,0.9,0
late,low,23,17,0.6521739130434783,0.7391304347826086,0.5652173913043478,0.47058823529411764,0.4782608695652174,0.391304347826087,0.2608695652173913,0.5416666666666666,3,no_perceived,0.9,0
late,high,20,16,0.55,0.8,0.8,0.5625,0.55,0.35,0.25,0.8023809523809525,3,no_perceived,0.9,0
late,low_tail,15,11,0.6,0.7333333333333333,0.5333333333333333,0.36363636363636365,0.5333333333333333,0.3333333333333333,0.2,0.5,2,no_perceived,0.9,0
late,high_tail,15,11,0.4666666666666667,0.7333333333333333,0.8,0.6363636363636364,0.6,0.2,0.13333333333333333,0.8035714285714286,2,no_perceived,0.9,0
early,all,41,22,0.8292682926829268,0.5365853658536586,0.4146341463414634,0.22727272727272727,0.36585365853658536,0.36585365853658536,0.17073170731707318,0.4295634920634921,6,no_objective,0.1,0
early,low,20,9,0.8,0.45,0.45,0.2222222222222222,0.3,0.25,0.15,0.47222222222222215,3,no_objective,0.1,0
early,high,21,13,0.8571428571428571,0.6190476190476191,0.38095238095238093,0.23076923076923078,0.42857142857142855,0.47619047619047616,0.19047619047619047,0.38690476190476186,3,no_objective,0.1,0
early,low_tail,14,8,0.7142857142857143,0.5714285714285714,0.35714285714285715,0.25,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.375,2,no_objective,0.1,0
early,high_tail,13,10,0.9230769230769231,0.7692307692307693,0.38461538461538464,0.2,0.46153846153846156,0.6923076923076923,0.3076923076923077,0.39285714285714285,2,no_objective,0.1,0
late,all,43,20,0.813953488372093,0.46511627906976744,0.5116279069767442,0.25,0.3023255813953488,0.3023255813953488,0.16279069767441862,0.5070767195767196,6,no_objective,0.1,0
late,low,23,11,0.8260869565217391,0.4782608695652174,0.4782608695652174,0.2727272727272727,0.2608695652173913,0.34782608695652173,0.21739130434782608,0.46296296296296297,3,no_objective,0.1,0
