time,firm,pressure,prevention,suppression,dependence
93,4,1.0,0.3354261724307057,0.2683409379445646,0.4162920712285151
93,5,0.0,0.3393420417201749,0.27147363337613994,0.506188904761806
94,0,0.0,0.2819708813596023,0.22557670508768185,0.47042565019858995
94,1,2.0,0.8027875947376477,0.6422300757901183,0.5994915417836008
94,2,1.0,0.6987201090747213,0.558976087259777,0.6
94,3,0.0,0.020028222458599518,0.016022577966879614,0.40760183202748823
94,4,0.0,0.2683409379445646,0.2146727503556517,0.4162920712285151
94,5,0.0,0.27147363337613994,0.21717890670091197,0.506188904761806
95,0,0.0,0.22557670508768185,0.18046136407014549,0.47042565019858995
95,1,2.0,0.8422300757901182,0.6737840606320946,0.5994915417836008
95,2,1.0,0.662976087259777,0.5303808698078216,0.6
95,3,0.0,0.016022577966879614,0.012818062373503691,0.40760183202748823
95,4,0.0,0.2146727503556517,0.17173820028452136,0.4162920712285151
95,5,0.0,0.21717890670091197,0.17374312536072958,0.506188904761806
96,0,0.0,0.18046136407014549,0.14436909125611638,0.47042565019858995
96,1,2.0,0.8737840606320946,0.6990272485056757,0.5994915417836008
96,2,1.0,0.6343808698078216,0.5075046958462573,0.6
96,3,0.0,0.012818062373503691,0.010254449898802954,0.40760183202748823
96,4,0.0,0.17173820028452136,0.1373905602276171,0.4162920712285151
96,5,0.0,0.17374312536072958,0.13899450028858368,0.506188904761806
97,0,0.0,0.14436909125611638,0.11549527300489311,0.47042565019858995
97,1,2.0,0.8990272485056756,0.7192217988045405,0.5994915417836008
97,2,1.0,0.6115046958462573,0.4892037566770059,0.6
97,3,0.0,0.010254449898802954,0.008203559919042364,0.40760183202748823
97,4,0.0,0.1373905602276171,0.10991244818209367,0.4162920712285151
97,5,0.0,0.13899450028858368,0.11119560023086694,0.506188904761806
98,0,0.0,0.11549527300489311,0.09239621840391449,0.47042565019858995
98,1,2.0,0.9192217988045406,0.7353774390436325,0.5994915417836008
98,2,1.0,0.5932037566770059,0.4745630053416047,0.6
98,3,0.0,0.008203559919042364,0.006562847935233891,0.40760183202748823
98,4,0.0,0.10991244818209367,0.08792995854567494,0.4162920712285151
98,5,0.0,0.11119560023086694,0.08895648018469356,0.506188904761806
99,0,0.0,0.09239621840391449,0.07391697472313159,0.47042565019858995
99,1,2.0,0.9353774390436325,0.7483019512349061,0.5994915417836008
99,2,1.0,0.5785630053416048,0.46285040427328383,0.6
99,3,0.0,0.006562847935233891,0.005250278348187113,0.40760183202748823
99,4,0.0,0.08792995854567494,0.07034396683653996,0.4162920712285151
99,5,0.0,0.08895648018469356,0.07116518414775484,0.506188904761806
100,0,0.0,0.07391697472313159,0.05913357977850528,0.47042565019858995
100,1,2.0,0.948301951234906,0.7586415609879249,0.5994915417836008
100,2,1.0,0.5668504042732838,0.4534803234186271,0.6
100,3,0.0,0.005250278348187113,0.004200222678549691,0.40760183202748823
100,4,0.0,0.07034396683653996,0.05627517346923197,0.4162920712285151
100,5,1.0,0.15640296510011603,0.12512237208009283,0.506188904761806
101,0,0.0,0.05913357977850528,0.047306863822804225,0.47042565019858995
101,1,3.0,0.9586415609879249,0.76691324879034,0.5994915417836008
101,2,1.0,0.5574803234186271,0.44598425873490166,0.6
101,3,0.0,0.004200222678549691,0.003360178142839753,0.40760183202748823
101,4,0.0,0.05627517346923197,0.045020138775385576,0.4162920712285151
101,5,1.0,0.21036015303245403,0.16828812242596325,0.506188904761806
102,0,0.0,0.047306863822804225,0.037845491058243384,0.47042565019858995
102,1,3.0,0.96691324879034,0.7735305990322721,0.5994915417836008
102,2,1.0,0.5499842587349016,0.4399874069879213,0.6
102,3,0.0,0.003360178142839753,0.002688142514271803,0.40760183202748823
102,4,1.0,0.11227855302108859,0.08982284241687088,0.4162920712285151
102,5,1.0,0.2535259033783245,0.2028207227026596,0.506188904761806
103,0,0.0,0.037845491058243384,0.03027639284659471,0.47042565019858995
103,1,3.0,0.973530599032272,0.7788244792258177,0.5994915417836008
103,2,1.0,0.5439874069879214,0.4351899255903371,0.6
103,3,1.0,0.06820850891976944,0.054566807135815555,0.40760183202748823
103,4,1.0,0.1570812566625739,0.12566500533005912,0.4162920712285151
103,5,1.0,0.28805850365502084,0.23044680292401667,0.506188904761806
104,0,0.0,0.03027639284659471,0.02422111427727577,0.47042565019858995
104,1,3.0,0.9788244792258176,0.7830595833806542,0.5994915417836008
104,2,1.0,0.5391899255903371,0.43135194047226966,0.6
104,3,1.0,0.12008717354131321,0.09606973883305057,0.40760183202748823
104,4,1.0,0.19292341957576215,0.15433873566060974,0.4162920712285151
104,5,1.0,0.3156845838763779,0.2525476671011023,0.506188904761806
105,0,0.0,0.02422111427727577,0.019376891421820617,0.47042565019858995
105,1,2.0,0.9830595833806541,0.7864476667045234,0.5994915417836008
105,2,1.0,0.5353519404722696,0.42828155237781573,0.6
105,3,1.0,0.16159010523854822,0.12927208419083858,0.40760183202748823
105,4,1.0,0.22159714990631274,0.1772777199250502,0.4162920712285151
105,5,1.0,0.33778544805346356,0.2702283584427709,0.506188904761806
106,0,1.0,0.09746202146153861,0.0779696171692309,0.47042565019858995
106,1,2.0,0.9864476667045234,0.7891581333636188,0.5994915417836008
106,2,1.0,0.5322815523778157,0.42582524190225257,0.6
106,3,1.0,0.1947924505963362,0.155833960477069,0.40760183202748823
106,4,2.0,0.3277945484164563,0.262235638733165,0.4162920712285151
106,5,2.0,0.4567039203474933,0.36536313627799466,0.506188904761806
107,0,1.0,0.1560547472089489,0.12484379776715913,0.47042565019858995
107,1,2.0,0.9891581333636188,0.7913265066908951,0.5994915417836008
107,2,1.0,0.5298252419022526,0.42386019352180204,0.6
107,3,1.0,0.22135432688256662,0.1770834615060533,0.40760183202748823
107,4,2.0,0.41275246722457104,0.3302019737796569,0.4162920712285151
107,5,3.0,0.5653631362779947,0.4522905090223958,0.506188904761806
108,0,1.0,0.20292892780687713,0.16234314224550173,0.47042565019858995
108,1,2.0,0.9913265066908952,0.7930612053527162,0.5994915417836008
108,2,1.0,0.527860193521802,0.42228815481744164,0.6
108,3,1.0,0.24260382791155094,0.19408306232924077,0.40760183202748823
108,4,2.0,0.4807188022710629,0.3845750418168503,0.4162920712285151
108,5,3.0,0.6522905090223958,0.5218324072179167,0.506188904761806
109,0,1.0,0.24042827228521974,0.1923426178281758,0.47042565019858995
109,1,2.0,0.9930612053527161,0.7944489642821729,0.5994915417836008
109,2,1.0,0.5262881548174416,0.42103052385395334,0.6
109,3,2.0,0.34112379514023605,0.27289903611218885,0.40760183202748823
