case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,cohort
172:0,172,1,0,0.0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.2564379592709285,False,0.5994915417836008,3.0,,remedy_supported,3.0,3.0,3.0,3.0,0,0
178:0,178,4,0,0.0,23.0,0.0,25.0,2.0,,2.0,26.0,3.0,successful,closed_unresolved,26.0,d,1.0,e,resolved,0.8308172709366088,True,0.4162920712285151,26.0,3.0,remedy_supported,26.0,26.0,26.0,26.0,1,0
201:0,201,1,0,1.0,4.0,1.0,6.0,3.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.5888208129442721,True,0.5994915417836008,6.0,3.0,no_remedy,,,106.0,107.0,0,0
207:0,207,5,0,1.0,1.0,,3.0,,,,4.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.304284400933786,False,0.506188904761806,4.0,,remedy_supported,4.0,,106.0,107.0,2,0
218:0,218,2,0,2.0,2.0,5.0,4.0,7.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.4351729701343245,True,0.6,4.0,7.0,no_remedy,,,105.0,107.0,0,0
227:0,227,2,0,2.0,2.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9162306521268702,False,0.6,4.0,,no_remedy,,,105.0,107.0,0,0
228:0,228,5,0,2.0,,2.0,,4.0,,4.0,,5.0,unused,successful,5.0,e,1.0,e,resolved,0.8779814963463997,True,0.506188904761806,,5.0,,,3.0,3.0,5.0,2,0
5:12,5,5,12,14.0,14.0,,16.0,,,,17.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.45477128534167505,False,0.506188904761806,17.0,,remedy_supported,17.0,,93.0,95.0,2,1
33:12,33,4,12,13.0,13.0,,15.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.45719517919871233,True,0.4162920712285151,15.0,,no_remedy,,,94.0,95.0,1,1
34:12,34,4,12,15.0,,15.0,,17.0,,17.0,,18.0,unused,successful,18.0,e,1.0,e,resolved,0.5639870253826444,True,0.4162920712285151,,18.0,,,3.0,3.0,6.0,1,1
40:12,40,5,12,13.0,77.0,13.0,79.0,15.0,,15.0,,16.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.7390185525954414,True,0.506188904761806,79.0,16.0,no_remedy,,,94.0,95.0,2,1
46:12,46,5,12,14.0,17.0,14.0,19.0,16.0,,,20.0,,successful,closed_unresolved,20.0,d,1.0,e,resolved,0.3891262349051305,True,0.506188904761806,20.0,16.0,remedy_supported,20.0,6.0,6.0,8.0,2,1
82:12,82,5,12,14.0,14.0,,16.0,,,,17.0,,successful,unused,17.0,d,1.0,d,resolved,0.49594945321450395,True,0.506188904761806,17.0,,remedy_supported,17.0,3.0,3.0,5.0,2,1
95:12,95,0,12,23.0,23.0,83.0,25.0,85.0,,85.0,,86.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5067201597835275,True,0.47042565019858995,25.0,86.0,no_remedy,,,84.0,95.0,2,1
96:12,96,1,12,13.0,13.0,,15.0,,,,16.0,,successful,unused,16.0,d,1.0,d,resolved,0.9102605940570492,True,0.5994915417836008,16.0,,remedy_supported,16.0,3.0,3.0,4.0,0,1
137:12,137,3,12,21.0,21.0,93.0,23.0,95.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.48363075790668913,True,0.40760183202748823,23.0,95.0,no_remedy,,,86.0,95.0,1,1
140:12,140,4,12,15.0,66.0,15.0,68.0,17.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9500836652112532,True,0.4162920712285151,68.0,17.0,no_remedy,,,92.0,95.0,1,1
153:12,153,3,12,14.0,18.0,14.0,20.0,16.0,,16.0,,17.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.3618925309249741,True,0.40760183202748823,20.0,17.0,no_remedy,,,93.0,95.0,1,1
171:12,171,0,12,13.0,13.0,,15.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7628508262393561,False,0.47042565019858995,15.0,,no_remedy,,,94.0,95.0,2,1
176:12,176,1,12,12.0,23.0,12.0,25.0,14.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9326632755416644,True,0.5994915417836008,25.0,14.0,no_remedy,,,95.0,95.0,0,1
187:12,187,3,12,13.0,24.0,13.0,26.0,15.0,,,27.0,,successful,closed_unresolved,27.0,d,1.0,e,resolved,0.6947425662725659,True,0.40760183202748823,27.0,15.0,remedy_supported,27.0,14.0,14.0,15.0,1,1
199:12,199,2,12,12.0,16.0,12.0,18.0,14.0,,14.0,,15.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.35240946575968657,True,0.6,18.0,15.0,no_remedy,,,95.0,95.0,0,1
