time,case_id,employee,selected,material_known,social_d,social_e,p_d,p_e,cost_d,cost_e,utilities
11,7:0,7,no_addition,True,0.0,0.0,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14589476006045327,wait:0.000000
11,16:0,16,no_addition,True,0.0,0.0,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.19086217131100167,wait:0.000000
11,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000
11,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
12,3:0,3,no_addition,False,0.0,0.0,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.3421680513814242,wait:0.000000
12,5:0,5,no_addition,True,0.0,0.0,0.5711328982886554,0.568802879652754,0.2639240822345544,0.40927658994266675,wait:0.000000
12,7:0,7,no_addition,True,0.0,0.0,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14589476006045327,wait:0.000000
12,16:0,16,no_addition,True,0.0,0.0,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.19086217131100167,wait:0.000000
12,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000
12,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
13,3:0,3,no_addition,False,0.0,0.0,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.3421680513814242,wait:0.000000
13,5:0,5,no_addition,True,0.0,0.0,0.5711328982886554,0.568802879652754,0.2639240822345544,0.40927658994266675,wait:0.000000
13,7:0,7,no_addition,True,0.0,0.0,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14589476006045327,wait:0.000000
13,16:0,16,no_addition,True,0.0,0.0,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.19086217131100167,wait:0.000000
13,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000
13,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
14,3:0,3,no_addition,False,0.0,0.0,0.7012846419844834,0.5936893443536262,0.2658141629574809,0.3421680513814242,wait:0.000000
14,5:0,5,no_addition,True,0.0,0.0,0.5711328982886554,0.568802879652754,0.2639240822345544,0.40927658994266675,wait:0.000000
14,7:0,7,no_addition,True,0.0,0.0,0.5768540343874118,0.5010981998844706,0.26378219323620805,0.14589476006045327,wait:0.000000
14,16:0,16,no_addition,True,0.0,0.0,0.5782109202493442,0.5478642202676782,0.1341107593650732,0.19086217131100167,wait:0.000000
14,17:0,17,no_addition,True,0.0,0.0,0.6337842401883934,0.6322830184462083,0.18986681625049356,0.1773972015425624,wait:0.000000
14,22:0,22,no_addition,False,0.0,0.0,0.5453871614852659,0.4395520722878945,0.11926228296000783,0.3822785619855366,wait:0.000000;e:-0.006539
