customer,capacity,seed,policy,domestic_capacity,active_customers
1,4,2,degree,2,3
2,4,2,degree,2,3
3,0,2,degree,2,3
4,0,2,degree,2,3
5,0,2,degree,2,3
0,12,2,degree,2,1
1,0,2,degree,2,1
2,0,2,degree,2,1
3,0,2,degree,2,1
4,0,2,degree,2,1
5,0,2,degree,2,1
0,2,2,pooled,2,6
1,2,2,pooled,2,6
2,2,2,pooled,2,6
3,2,2,pooled,2,6
4,2,2,pooled,2,6
5,2,2,pooled,2,6
0,2,2,pooled,2,3
1,2,2,pooled,2,3
2,2,2,pooled,2,3
3,2,2,pooled,2,3
4,2,2,pooled,2,3
5,2,2,pooled,2,3
0,2,2,pooled,2,1
1,2,2,pooled,2,1
2,2,2,pooled,2,1
3,2,2,pooled,2,1
4,2,2,pooled,2,1
5,2,2,pooled,2,1
0,2,2,equal,6,6
1,2,2,equal,6,6
2,2,2,equal,6,6
3,2,2,equal,6,6
4,2,2,equal,6,6
5,2,2,equal,6,6
0,2,2,equal,6,3
1,2,2,equal,6,3
2,2,2,equal,6,3
3,2,2,equal,6,3
4,2,2,equal,6,3
5,2,2,equal,6,3
0,2,2,equal,6,1
1,2,2,equal,6,1
2,2,2,equal,6,1
3,2,2,equal,6,1
4,2,2,equal,6,1
5,2,2,equal,6,1
0,2,2,degree,6,6
1,2,2,degree,6,6
2,2,2,degree,6,6
3,2,2,degree,6,6
4,2,2,degree,6,6
5,2,2,degree,6,6
0,4,2,degree,6,3
1,4,2,degree,6,3
2,4,2,degree,6,3
3,0,2,degree,6,3
4,0,2,degree,6,3
5,0,2,degree,6,3
0,12,2,degree,6,1
1,0,2,degree,6,1
2,0,2,degree,6,1
3,0,2,degree,6,1
4,0,2,degree,6,1
5,0,2,degree,6,1
0,2,2,pooled,6,6
1,2,2,pooled,6,6
2,2,2,pooled,6,6
3,2,2,pooled,6,6
4,2,2,pooled,6,6
5,2,2,pooled,6,6
0,2,2,pooled,6,3
1,2,2,pooled,6,3
2,2,2,pooled,6,3
3,2,2,pooled,6,3
4,2,2,pooled,6,3
5,2,2,pooled,6,3
0,2,2,pooled,6,1
1,2,2,pooled,6,1
2,2,2,pooled,6,1
3,2,2,pooled,6,1
4,2,2,pooled,6,1
5,2,2,pooled,6,1
0,2,2,equal,12,6
1,2,2,equal,12,6
2,2,2,equal,12,6
3,2,2,equal,12,6
4,2,2,equal,12,6
5,2,2,equal,12,6
0,2,2,equal,12,3
1,2,2,equal,12,3
2,2,2,equal,12,3
3,2,2,equal,12,3
4,2,2,equal,12,3
5,2,2,equal,12,3
0,2,2,equal,12,1
1,2,2,equal,12,1
2,2,2,equal,12,1
3,2,2,equal,12,1
4,2,2,equal,12,1
5,2,2,equal,12,1
0,2,2,degree,12,6
1,2,2,degree,12,6
2,2,2,degree,12,6
3,2,2,degree,12,6
4,2,2,degree,12,6
5,2,2,degree,12,6
0,4,2,degree,12,3
1,4,2,degree,12,3
2,4,2,degree,12,3
3,0,2,degree,12,3
4,0,2,degree,12,3
5,0,2,degree,12,3
0,12,2,degree,12,1
1,0,2,degree,12,1
2,0,2,degree,12,1
3,0,2,degree,12,1
4,0,2,degree,12,1
5,0,2,degree,12,1
0,2,2,pooled,12,6
1,2,2,pooled,12,6
2,2,2,pooled,12,6
3,2,2,pooled,12,6
4,2,2,pooled,12,6
5,2,2,pooled,12,6
0,2,2,pooled,12,3
1,2,2,pooled,12,3
2,2,2,pooled,12,3
3,2,2,pooled,12,3
4,2,2,pooled,12,3
5,2,2,pooled,12,3
0,2,2,pooled,12,1
1,2,2,pooled,12,1
2,2,2,pooled,12,1
3,2,2,pooled,12,1
4,2,2,pooled,12,1
5,2,2,pooled,12,1
0,2,3,equal,2,6
1,2,3,equal,2,6
2,2,3,equal,2,6
3,2,3,equal,2,6
4,2,3,equal,2,6
5,2,3,equal,2,6
0,2,3,equal,2,3
1,2,3,equal,2,3
2,2,3,equal,2,3
3,2,3,equal,2,3
4,2,3,equal,2,3
5,2,3,equal,2,3
0,2,3,equal,2,1
1,2,3,equal,2,1
2,2,3,equal,2,1
3,2,3,equal,2,1
4,2,3,equal,2,1
5,2,3,equal,2,1
0,2,3,degree,2,6
1,2,3,degree,2,6
2,2,3,degree,2,6
3,2,3,degree,2,6
4,2,3,degree,2,6
5,2,3,degree,2,6
0,4,3,degree,2,3
1,4,3,degree,2,3
2,4,3,degree,2,3
3,0,3,degree,2,3
4,0,3,degree,2,3
5,0,3,degree,2,3
0,12,3,degree,2,1
1,0,3,degree,2,1
2,0,3,degree,2,1
3,0,3,degree,2,1
4,0,3,degree,2,1
5,0,3,degree,2,1
0,2,3,pooled,2,6
1,2,3,pooled,2,6
2,2,3,pooled,2,6
3,2,3,pooled,2,6
4,2,3,pooled,2,6
5,2,3,pooled,2,6
0,2,3,pooled,2,3
1,2,3,pooled,2,3
2,2,3,pooled,2,3
3,2,3,pooled,2,3
4,2,3,pooled,2,3
5,2,3,pooled,2,3
0,2,3,pooled,2,1
1,2,3,pooled,2,1
2,2,3,pooled,2,1
3,2,3,pooled,2,1
4,2,3,pooled,2,1
5,2,3,pooled,2,1
0,2,3,equal,6,6
1,2,3,equal,6,6
2,2,3,equal,6,6
3,2,3,equal,6,6
4,2,3,equal,6,6
5,2,3,equal,6,6
0,2,3,equal,6,3
1,2,3,equal,6,3
2,2,3,equal,6,3
3,2,3,equal,6,3
4,2,3,equal,6,3
5,2,3,equal,6,3
0,2,3,equal,6,1
1,2,3,equal,6,1
2,2,3,equal,6,1
3,2,3,equal,6,1
4,2,3,equal,6,1
5,2,3,equal,6,1
0,2,3,degree,6,6
1,2,3,degree,6,6
2,2,3,degree,6,6
3,2,3,degree,6,6
4,2,3,degree,6,6
5,2,3,degree,6,6
0,4,3,degree,6,3
1,4,3,degree,6,3
2,4,3,degree,6,3
3,0,3,degree,6,3
4,0,3,degree,6,3
5,0,3,degree,6,3
0,12,3,degree,6,1
1,0,3,degree,6,1
2,0,3,degree,6,1
3,0,3,degree,6,1
4,0,3,degree,6,1
5,0,3,degree,6,1
0,2,3,pooled,6,6
1,2,3,pooled,6,6
2,2,3,pooled,6,6
3,2,3,pooled,6,6
4,2,3,pooled,6,6
5,2,3,pooled,6,6
0,2,3,pooled,6,3
1,2,3,pooled,6,3
2,2,3,pooled,6,3
3,2,3,pooled,6,3
4,2,3,pooled,6,3
5,2,3,pooled,6,3
0,2,3,pooled,6,1
1,2,3,pooled,6,1
2,2,3,pooled,6,1
3,2,3,pooled,6,1
4,2,3,pooled,6,1
5,2,3,pooled,6,1
0,2,3,equal,12,6
1,2,3,equal,12,6
2,2,3,equal,12,6
3,2,3,equal,12,6
4,2,3,equal,12,6
5,2,3,equal,12,6
0,2,3,equal,12,3
1,2,3,equal,12,3
2,2,3,equal,12,3
3,2,3,equal,12,3
4,2,3,equal,12,3
5,2,3,equal,12,3
0,2,3,equal,12,1
1,2,3,equal,12,1
2,2,3,equal,12,1
3,2,3,equal,12,1
4,2,3,equal,12,1
5,2,3,equal,12,1
0,2,3,degree,12,6
1,2,3,degree,12,6
2,2,3,degree,12,6
3,2,3,degree,12,6
4,2,3,degree,12,6
5,2,3,degree,12,6
0,4,3,degree,12,3
1,4,3,degree,12,3
2,4,3,degree,12,3
3,0,3,degree,12,3
4,0,3,degree,12,3
5,0,3,degree,12,3
0,12,3,degree,12,1
1,0,3,degree,12,1
2,0,3,degree,12,1
3,0,3,degree,12,1
4,0,3,degree,12,1
5,0,3,degree,12,1
0,2,3,pooled,12,6
1,2,3,pooled,12,6
2,2,3,pooled,12,6
3,2,3,pooled,12,6
4,2,3,pooled,12,6
5,2,3,pooled,12,6
0,2,3,pooled,12,3
1,2,3,pooled,12,3
2,2,3,pooled,12,3
3,2,3,pooled,12,3
4,2,3,pooled,12,3
5,2,3,pooled,12,3
0,2,3,pooled,12,1
1,2,3,pooled,12,1
2,2,3,pooled,12,1
3,2,3,pooled,12,1
4,2,3,pooled,12,1
5,2,3,pooled,12,1
0,2,4,equal,2,6
1,2,4,equal,2,6
2,2,4,equal,2,6
3,2,4,equal,2,6
4,2,4,equal,2,6
5,2,4,equal,2,6
0,2,4,equal,2,3
1,2,4,equal,2,3
2,2,4,equal,2,3
3,2,4,equal,2,3
4,2,4,equal,2,3
5,2,4,equal,2,3
0,2,4,equal,2,1
1,2,4,equal,2,1
2,2,4,equal,2,1
