seed,policy,domestic_capacity,active_customers,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,domestic_use,customer_use,first_d_all,first_e_all,first_both_all,never_submitted,d_to_e_count,e_to_d_count,d_to_e_all,e_to_d_all,d_to_e_conditional,e_to_d_conditional,both_use,resolved_share,d_eligible_rounds,e_eligible_rounds
12,equal,12,3,44,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,38,77,77,0,0,77,76,49,48,0.6363636363636364,0.6363636363636364,0.987012987012987,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,0.5483870967741935,5.470588235294118,0.22448979591836735,0.4489795918367347,0.4523809523809524,0.0,0.5960751516456515,0.4957470468337614,0.5064935064935064,0.5064935064935064,0.5510204081632653,6.342105263157895,7.0,1996,458,0.987012987012987,0.6363636363636364,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,34,6,0.44155844155844154,0.07792207792207792,0.5483870967741935,0.8571428571428571,0.6233766233766234,0.4935064935064935,176,29
12,equal,12,1,44,0,0,0,0,0,0,44,0,0,44,0,0,0,0,0,0,0,33,77,77,0,0,77,77,43,43,0.5584415584415584,0.5584415584415584,1.0,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,0.45161290322580644,5.25,0.09302325581395349,0.37209302325581395,0.38235294117647056,0.0,0.5870263992593435,0.4977527112984282,0.5714285714285714,0.5714285714285714,0.627906976744186,6.636363636363637,6.0,2199,575,1.0,0.5584415584415584,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,28,7,0.36363636363636365,0.09090909090909091,0.45161290322580644,1.0,0.5584415584415584,0.42857142857142855,174,167
12,degree,12,6,44,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,38,77,77,0,0,77,76,49,48,0.6363636363636364,0.6363636363636364,0.987012987012987,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,0.5483870967741935,5.529411764705882,0.24489795918367346,0.42857142857142855,0.4444444444444444,0.0,0.5939557735666725,0.4970359614556983,0.5064935064935064,0.5064935064935064,0.5714285714285714,6.131578947368421,6.5,1988,447,0.987012987012987,0.6363636363636364,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,34,6,0.44155844155844154,0.07792207792207792,0.5483870967741935,0.8571428571428571,0.6233766233766234,0.4935064935064935,177,13
12,degree,12,3,44,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,37,77,77,0,0,77,77,47,47,0.6103896103896104,0.6103896103896104,1.0,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,0.5161290322580645,5.40625,0.2127659574468085,0.425531914893617,0.4318181818181818,0.0,0.6072302477936355,0.49644832764375646,0.5194805194805194,0.5194805194805194,0.574468085106383,6.162162162162162,7.0,2028,446,1.0,0.6103896103896104,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,32,7,0.4155844155844156,0.09090909090909091,0.5161290322580645,1.0,0.6103896103896104,0.4805194805194805,180,9
12,degree,12,1,44,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,40,77,77,0,0,77,75,45,43,0.5844155844155844,0.5844155844155844,0.974025974025974,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,0.4838709677419355,5.366666666666666,0.26666666666666666,0.4888888888888889,0.5348837209302325,0.0,0.5813857100975607,0.49534043404890576,0.4805194805194805,0.4805194805194805,0.5111111111111111,6.225,7.0,1914,442,0.974025974025974,0.5844155844155844,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,30,5,0.38961038961038963,0.06493506493506493,0.4838709677419355,0.7142857142857143,0.5584415584415584,0.5194805194805194,180,4
12,pooled,12,6,44,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,40,77,77,0,0,77,75,45,43,0.5844155844155844,0.5844155844155844,0.974025974025974,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,0.4838709677419355,5.366666666666666,0.26666666666666666,0.4888888888888889,0.5348837209302325,0.0,0.5813857100975607,0.49534043404890576,0.4805194805194805,0.4805194805194805,0.5111111111111111,6.225,7.0,1914,442,0.974025974025974,0.5844155844155844,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,30,5,0.38961038961038963,0.06493506493506493,0.4838709677419355,0.7142857142857143,0.5584415584415584,0.5194805194805194,180,4
12,pooled,12,3,44,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,40,77,77,0,0,77,75,45,43,0.5844155844155844,0.5844155844155844,0.974025974025974,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,0.4838709677419355,5.366666666666666,0.26666666666666666,0.4888888888888889,0.5348837209302325,0.0,0.5813857100975607,0.49534043404890576,0.4805194805194805,0.4805194805194805,0.5111111111111111,6.225,7.0,1914,442,0.974025974025974,0.5844155844155844,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,30,5,0.38961038961038963,0.06493506493506493,0.4838709677419355,0.7142857142857143,0.5584415584415584,0.5194805194805194,180,4
12,pooled,12,1,44,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,40,77,77,0,0,77,75,45,43,0.5844155844155844,0.5844155844155844,0.974025974025974,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,0.4838709677419355,5.366666666666666,0.26666666666666666,0.4888888888888889,0.5348837209302325,0.0,0.5813857100975607,0.49534043404890576,0.4805194805194805,0.4805194805194805,0.5111111111111111,6.225,7.0,1914,442,0.974025974025974,0.5844155844155844,0.8051948051948052,0.09090909090909091,0.1038961038961039,0.0,30,5,0.38961038961038963,0.06493506493506493,0.4838709677419355,0.7142857142857143,0.5584415584415584,0.5194805194805194,180,4
13,equal,2,6,44,0,0,0,0,0,0,44,0,0,44,0,0,0,0,0,0,0,44,88,88,0,0,88,82,64,58,0.7272727272727273,0.7272727272727273,0.9318181818181818,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.6619718309859155,10.74468085106383,0.28125,0.53125,0.5161290322580645,0.0,0.594758987806238,0.5068119210089839,0.5,0.5,0.46875,16.5,13.0,2706,1665,0.9318181818181818,0.7272727272727273,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,47,6,0.5340909090909091,0.06818181818181818,0.6619718309859155,0.5,0.6590909090909091,0.5,1415,8
13,equal,2,3,44,0,0,0,0,0,0,48,0,0,48,0,0,0,0,0,0,0,40,88,88,0,0,88,84,65,61,0.7386363636363636,0.7386363636363636,0.9545454545454546,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.676056338028169,11.5,0.23076923076923078,0.49230769230769234,0.47619047619047616,0.0,0.5904218902521874,0.507541977216883,0.5454545454545454,0.5454545454545454,0.5076923076923077,17.525,14.0,2861,1757,0.9545454545454546,0.7386363636363636,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,48,8,0.5454545454545454,0.09090909090909091,0.676056338028169,0.6666666666666666,0.6931818181818182,0.45454545454545453,1499,22
