variant,grouping,metric,contrast,n,mean,low,high
main,tails,both_use,middle_minus_high,2,-0.23611111111111113,-0.4722222222222222,-5.551115123125783e-17
main,tails,both_use,middle_minus_endpoint_average,2,-0.1430555555555556,-0.3194444444444445,0.0333333333333333
main,tails,d_to_e,middle_minus_low,2,0.022222222222222254,-0.0666666666666666,0.1111111111111111
main,tails,d_to_e,middle_minus_high,2,-0.19444444444444445,-0.3888888888888889,0.0
main,tails,d_to_e,middle_minus_endpoint_average,2,-0.0861111111111111,-0.1388888888888889,-0.0333333333333333
main,tails,firm_equal_resolved,middle_minus_low,2,0.2989087301587302,0.2728174603174604,0.325
main,tails,firm_equal_resolved,middle_minus_high,2,-0.004861111111111108,-0.05257936507936506,0.042857142857142844
main,tails,firm_equal_resolved,middle_minus_endpoint_average,2,0.14702380952380956,0.11011904761904767,0.18392857142857144
narrow,halves,domestic_use,middle_minus_low,2,0.027301790281329896,-0.06304347826086953,0.11764705882352933
narrow,halves,domestic_use,middle_minus_high,2,0.029894856493321964,0.0032679738562091387,0.05652173913043479
narrow,halves,domestic_use,middle_minus_endpoint_average,2,0.02859832338732593,-0.0032608695652173725,0.06045751633986923
narrow,halves,customer_use,middle_minus_low,2,-0.1088803637396989,-0.16993464052287588,-0.04782608695652191
narrow,halves,customer_use,middle_minus_high,2,-0.18497442455242968,-0.19347826086956532,-0.17647058823529405
narrow,halves,customer_use,middle_minus_endpoint_average,2,-0.1469273941460643,-0.17320261437908496,-0.12065217391304361
narrow,halves,resolved,middle_minus_low,2,0.2780974708724069,0.20652173913043476,0.34967320261437906
narrow,halves,resolved,middle_minus_high,2,0.041837169650468825,-0.009803921568627472,0.09347826086956512
narrow,halves,resolved,middle_minus_endpoint_average,2,0.15996732026143787,0.14999999999999994,0.1699346405228758
narrow,halves,customer_success,middle_minus_low,2,0.23968253968253964,0.2285714285714286,0.2507936507936507
narrow,halves,customer_success,middle_minus_high,2,0.027594627594627524,-0.09560439560439565,0.1507936507936507
narrow,halves,customer_success,middle_minus_endpoint_average,2,0.13363858363858358,0.06648351648351647,0.2007936507936507
narrow,halves,first_customer,middle_minus_low,2,-0.12470161977834615,-0.22549019607843135,-0.023913043478260954
narrow,halves,first_customer,middle_minus_high,2,0.053445581131003145,-0.06304347826086959,0.16993464052287588
narrow,halves,first_customer,middle_minus_endpoint_average,2,-0.0356280193236715,-0.04347826086956527,-0.027777777777777735
narrow,halves,both_use,middle_minus_low,2,-0.061473429951690806,-0.06739130434782614,-0.05555555555555547
narrow,halves,both_use,middle_minus_high,2,-0.1828573458368855,-0.2287581699346405,-0.13695652173913053
narrow,halves,both_use,middle_minus_endpoint_average,2,-0.12216538789428816,-0.14215686274509798,-0.10217391304347834
narrow,halves,d_to_e,middle_minus_low,2,0.015821256038647334,-0.023913043478260856,0.055555555555555525
narrow,halves,d_to_e,middle_minus_high,2,-0.26015913611821545,-0.34640522875817004,-0.17391304347826086
narrow,halves,d_to_e,middle_minus_endpoint_average,2,-0.12216894003978404,-0.14542483660130723,-0.09891304347826085
narrow,halves,firm_equal_resolved,middle_minus_low,2,0.26474867724867734,0.2544973544973546,0.275
narrow,halves,firm_equal_resolved,middle_minus_high,2,0.020965608465608493,-0.0547619047619049,0.09669312169312189
narrow,halves,firm_equal_resolved,middle_minus_endpoint_average,2,0.1428571428571429,0.11011904761904756,0.17559523809523825
