variant,dependence_mean,grouping,period,metric,n,mean,low,high
main,0.3,halves,early,firm_equal_resolved,2,-0.08730158730158732,-0.19246031746031744,0.017857142857142794
main,0.3,halves,late,domestic_use,2,-0.15454674623472575,-0.18300653594771232,-0.12608695652173918
main,0.3,halves,late,customer_use,2,-0.04077863029269674,-0.06521739130434778,-0.016339869281045694
main,0.3,halves,late,resolved,2,-0.19727905655015626,-0.49673202614379086,0.10217391304347834
main,0.3,halves,late,customer_success,2,-0.1038461538461538,-0.1538461538461538,-0.053846153846153794
main,0.3,halves,late,first_customer,2,0.11204887752202333,0.08496732026143794,0.13913043478260873
main,0.3,halves,late,both_use,2,-0.1964691673770958,-0.2516339869281046,-0.14130434782608697
main,0.3,halves,late,d_to_e,2,-0.1250497300369423,-0.20434782608695648,-0.04575163398692811
main,0.3,halves,late,firm_equal_resolved,2,-0.20601851851851857,-0.5063492063492065,0.0943121693121694
main,0.3,tails,early,domestic_use,2,0.10677655677655684,0.07619047619047614,0.13736263736263754
main,0.3,tails,early,customer_use,2,0.1108058608058608,0.09523809523809523,0.12637362637362637
main,0.3,tails,early,resolved,2,-0.026373626373626335,-0.22857142857142848,0.1758241758241758
main,0.3,tails,early,customer_success,2,-0.018055555555555547,-0.125,0.0888888888888889
main,0.3,tails,early,first_customer,2,0.04304029304029308,-0.02380952380952378,0.10989010989010994
main,0.3,tails,early,both_use,2,0.21758241758241764,0.17142857142857149,0.2637362637362638
main,0.3,tails,early,d_to_e,2,0.06776556776556782,0.016483516483516508,0.11904761904761912
main,0.3,tails,early,firm_equal_resolved,2,-0.03422619047619044,-0.2410714285714286,0.17261904761904773
main,0.3,tails,late,domestic_use,2,-0.061111111111111116,-0.06666666666666665,-0.05555555555555558
main,0.3,tails,late,customer_use,2,-0.20555555555555555,-0.2777777777777778,-0.1333333333333333
main,0.3,tails,late,resolved,2,-0.11944444444444446,-0.3055555555555556,0.06666666666666665
main,0.3,tails,late,customer_success,2,-0.1396825396825397,-0.2,-0.07936507936507942
main,0.3,tails,late,first_customer,2,-0.14722222222222223,-0.36111111111111116,0.06666666666666671
main,0.3,tails,late,both_use,2,-0.2611111111111111,-0.38888888888888895,-0.1333333333333333
main,0.3,tails,late,d_to_e,2,-0.05833333333333335,-0.2,0.08333333333333331
main,0.3,tails,late,firm_equal_resolved,2,-0.13819444444444437,-0.34285714285714275,0.06646825396825401
main,0.5,halves,early,domestic_use,2,0.060389610389610326,0.05714285714285705,0.0636363636363636
main,0.5,halves,early,customer_use,2,0.04816017316017318,-0.030952380952380953,0.12727272727272732
main,0.5,halves,early,resolved,2,-0.09935064935064941,-0.2272727272727273,0.02857142857142847
main,0.5,halves,early,customer_success,2,0.01762820512820515,-0.0416666666666666,0.0769230769230769
main,0.5,halves,early,first_customer,2,0.017640692640692596,0.009090909090909094,0.026190476190476097
main,0.5,halves,early,both_use,2,0.10854978354978351,0.026190476190476097,0.19090909090909092
main,0.5,halves,early,d_to_e,2,0.030519480519480474,-0.05714285714285722,0.11818181818181817
main,0.5,halves,early,firm_equal_resolved,2,-0.12103174603174605,-0.24603174603174605,0.003968253968253954
main,0.5,halves,late,domestic_use,2,-0.09294543904518332,-0.1760869565217391,-0.009803921568627527
main,0.5,halves,late,customer_use,2,-0.10992469451548731,-0.130718954248366,-0.08913043478260863
main,0.5,halves,late,resolved,2,0.18390878090366583,0.17173913043478262,0.19607843137254904
main,0.5,halves,late,customer_success,2,0.26621907504260445,0.1493212669683258,0.3831168831168831
main,0.5,halves,late,first_customer,2,-0.02244245524296673,-0.1470588235294118,0.10217391304347834
main,0.5,halves,late,both_use,2,-0.20564791133844842,-0.2152173913043478,-0.19607843137254904
main,0.5,halves,late,d_to_e,2,-0.06574310883773798,-0.14782608695652166,0.016339869281045694
main,0.5,halves,late,firm_equal_resolved,2,0.1878968253968254,0.1797619047619048,0.196031746031746
main,0.5,tails,early,domestic_use,2,0.11153846153846164,0.014285714285714346,0.20879120879120894
main,0.5,tails,early,customer_use,2,0.07271062271062273,-0.016483516483516425,0.16190476190476188
main,0.5,tails,early,resolved,2,-0.026373626373626335,-0.22857142857142848,0.1758241758241758
main,0.5,tails,early,customer_success,2,-0.007954545454545443,-0.0340909090909091,0.018181818181818216
main,0.5,tails,early,first_customer,2,0.03827838827838831,-0.03296703296703296,0.10952380952380958
main,0.5,tails,early,both_use,2,0.18424908424908426,0.17619047619047623,0.1923076923076923
main,0.5,tails,early,d_to_e,2,0.03443223443223446,0.016483516483516508,0.05238095238095242
main,0.5,tails,early,firm_equal_resolved,2,-0.04910714285714285,-0.25,0.1517857142857143
main,0.5,tails,late,domestic_use,2,-0.03888888888888892,-0.1333333333333333,0.05555555555555547
main,0.5,tails,late,customer_use,2,-0.24722222222222218,-0.36111111111111105,-0.1333333333333333
main,0.5,tails,late,resolved,2,0.1972222222222222,0.19444444444444442,0.19999999999999996
main,0.5,tails,late,customer_success,2,0.38585858585858585,0.26262626262626265,0.509090909090909
main,0.5,tails,late,first_customer,2,-0.2027777777777778,-0.47222222222222227,0.06666666666666665
main,0.5,tails,late,both_use,2,-0.2944444444444445,-0.38888888888888895,-0.20000000000000007
main,0.5,tails,late,d_to_e,2,-0.0111111111111111,-0.1333333333333333,0.1111111111111111
main,0.5,tails,late,firm_equal_resolved,2,0.22559523809523818,0.2071428571428572,0.24404761904761912
main,0.7,halves,early,domestic_use,2,-0.008874458874458924,-0.027272727272727337,0.00952380952380949
main,0.7,halves,early,customer_use,2,0.016233766233766267,-0.08571428571428574,0.11818181818181828
main,0.7,halves,early,resolved,2,-0.01071428571428576,-0.02142857142857152,0.0
main,0.7,halves,early,customer_success,2,0.15912698412698412,0.016666666666666607,0.3015873015873016
main,0.7,halves,early,first_customer,2,-0.033549783549783524,-0.07619047619047614,0.009090909090909094
main,0.7,halves,early,both_use,2,0.007359307359307399,-0.07619047619047614,0.09090909090909094
main,0.7,halves,early,d_to_e,2,0.04978354978354976,-0.009523809523809601,0.10909090909090913
main,0.7,halves,early,firm_equal_resolved,2,-0.021825396825396776,-0.023809523809523725,-0.019841269841269826
main,0.7,halves,late,domestic_use,2,-0.10864592213697077,-0.2630434782608696,0.04575163398692805
main,0.7,halves,late,customer_use,2,0.058077578857629986,-0.06862745098039225,0.18478260869565222
main,0.7,halves,late,resolved,2,0.19810315430520034,0.14130434782608692,0.25490196078431376
main,0.7,halves,late,customer_success,2,0.21538461538461537,0.09230769230769231,0.3384615384615384
main,0.7,halves,late,first_customer,2,-0.03077578857630006,-0.3137254901960784,0.2521739130434783
main,0.7,halves,late,both_use,2,-0.05056834327934073,-0.07826086956521738,-0.022875816993464082
main,0.7,halves,late,d_to_e,2,0.11059249786871275,-0.023913043478260815,0.24509803921568632
main,0.7,halves,late,firm_equal_resolved,2,0.22605820105820107,0.18068783068783068,0.27142857142857146
main,0.7,tails,early,domestic_use,2,0.0064102564102563875,-0.11904761904761907,0.13186813186813184
main,0.7,tails,early,customer_use,2,0.07069597069597072,-0.01098901098901095,0.1523809523809524
main,0.7,tails,early,resolved,2,0.03791208791208797,-0.02857142857142847,0.10439560439560441
main,0.7,tails,early,customer_success,2,0.112004662004662,-0.06060606060606061,0.2846153846153846
main,0.7,tails,early,first_customer,2,0.041025641025641046,-0.027472527472527486,0.10952380952380958
main,0.7,tails,early,both_use,2,0.07710622710622711,0.033333333333333326,0.1208791208791209
main,0.7,tails,early,d_to_e,2,0.029670329670329718,0.016483516483516508,0.04285714285714293
main,0.7,tails,early,firm_equal_resolved,2,0.028273809523809562,-0.0535714285714286,0.11011904761904773
main,0.7,tails,late,domestic_use,2,-0.19444444444444448,-0.33333333333333337,-0.05555555555555558
main,0.7,tails,late,customer_use,2,0.030555555555555558,-0.13888888888888884,0.19999999999999996
main,0.7,tails,late,resolved,2,0.24166666666666664,0.06666666666666665,0.41666666666666663
main,0.7,tails,late,customer_success,2,0.413961038961039,0.2954545454545454,0.5324675324675325
main,0.7,tails,late,first_customer,2,-0.16388888888888892,-0.5277777777777778,0.19999999999999996
main,0.7,tails,late,both_use,2,-0.16388888888888892,-0.19444444444444442,-0.13333333333333341
main,0.7,tails,late,d_to_e,2,0.19444444444444448,0.0,0.38888888888888895
