firm,has_customer,dependence,variant,dependence_mean,seed,high
3,True,0.39447567077440315,no_objective,0.3,1,True
4,True,0.23745081141156205,no_objective,0.3,1,False
5,True,0.3418355730740612,no_objective,0.3,1,True
0,True,0.4542424449593061,no_objective,0.5,1,False
1,True,0.5719954997806675,no_objective,0.5,1,True
2,True,0.4,no_objective,0.5,1,False
3,True,0.5944756707744032,no_objective,0.5,1,True
4,True,0.43745081141156206,no_objective,0.5,1,False
5,True,0.5418355730740612,no_objective,0.5,1,True
0,True,0.6542424449593061,no_objective,0.7,1,False
1,True,0.7719954997806675,no_objective,0.7,1,True
2,True,0.6,no_objective,0.7,1,False
3,True,0.7944756707744032,no_objective,0.7,1,True
4,True,0.637450811411562,no_objective,0.7,1,False
5,True,0.7418355730740611,no_objective,0.7,1,True
0,True,0.8542424449593061,no_objective,0.9,1,False
1,True,0.9719954997806675,no_objective,0.9,1,True
2,True,0.8,no_objective,0.9,1,False
3,True,0.9944756707744031,no_objective,0.9,1,True
4,True,0.8374508114115621,no_objective,0.9,1,False
5,True,0.9418355730740613,no_objective,0.9,1,True
0,True,0.07712122247965306,narrow,0.1,1,False
1,True,0.13599774989033375,narrow,0.1,1,True
2,True,0.05,narrow,0.1,1,False
3,True,0.1472378353872016,narrow,0.1,1,True
4,True,0.06872540570578103,narrow,0.1,1,False
5,True,0.12091778653703061,narrow,0.1,1,True
0,True,0.27712122247965304,narrow,0.3,1,False
1,True,0.3359977498903337,narrow,0.3,1,True
2,True,0.25,narrow,0.3,1,False
3,True,0.34723783538720154,narrow,0.3,1,True
4,True,0.268725405705781,narrow,0.3,1,False
5,True,0.3209177865370306,narrow,0.3,1,True
0,True,0.47712122247965305,narrow,0.5,1,False
1,True,0.5359977498903338,narrow,0.5,1,True
2,True,0.45,narrow,0.5,1,False
3,True,0.5472378353872016,narrow,0.5,1,True
4,True,0.46872540570578103,narrow,0.5,1,False
5,True,0.5209177865370306,narrow,0.5,1,True
0,True,0.677121222479653,narrow,0.7,1,False
1,True,0.7359977498903337,narrow,0.7,1,True
2,True,0.6499999999999999,narrow,0.7,1,False
3,True,0.7472378353872016,narrow,0.7,1,True
4,True,0.668725405705781,narrow,0.7,1,False
5,True,0.7209177865370305,narrow,0.7,1,True
0,True,0.8771212224796531,narrow,0.9,1,False
1,True,0.9359977498903338,narrow,0.9,1,True
2,True,0.85,narrow,0.9,1,False
3,True,0.9472378353872016,narrow,0.9,1,True
4,True,0.868725405705781,narrow,0.9,1,False
5,True,0.9209177865370306,narrow,0.9,1,True
0,False,0.05424244495930611,limited_access,0.1,1,False
1,True,0.1719954997806675,limited_access,0.1,1,True
2,True,0.0,limited_access,0.1,1,False
3,True,0.19447567077440317,limited_access,0.1,1,True
4,True,0.03745081141156205,limited_access,0.1,1,False
5,True,0.14183557307406122,limited_access,0.1,1,True
0,False,0.2542424449593061,limited_access,0.3,1,False
1,True,0.3719954997806675,limited_access,0.3,1,True
2,True,0.19999999999999998,limited_access,0.3,1,False
3,True,0.39447567077440315,limited_access,0.3,1,True
4,True,0.23745081141156205,limited_access,0.3,1,False
5,True,0.3418355730740612,limited_access,0.3,1,True
0,False,0.4542424449593061,limited_access,0.5,1,False
1,True,0.5719954997806675,limited_access,0.5,1,True
2,True,0.4,limited_access,0.5,1,False
3,True,0.5944756707744032,limited_access,0.5,1,True
4,True,0.43745081141156206,limited_access,0.5,1,False
5,True,0.5418355730740612,limited_access,0.5,1,True
