variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.3,low_tail,early,first_customer,2,0.3928571428571428,0.3571428571428571,0.4285714285714285
limited_access,0.3,low_tail,early,both_use,2,0.3571428571428571,0.2857142857142857,0.4285714285714285
limited_access,0.3,low_tail,early,d_to_e,2,0.1785714285714285,0.1428571428571428,0.2142857142857142
limited_access,0.3,low_tail,early,firm_equal_resolved,2,0.37499999999999994,0.2916666666666666,0.4583333333333333
limited_access,0.3,low_tail,late,domestic_use,2,0.7083333333333333,0.6666666666666666,0.75
limited_access,0.3,low_tail,late,customer_use,2,0.6833333333333333,0.5333333333333333,0.8333333333333334
limited_access,0.3,low_tail,late,resolved,2,0.325,0.25,0.4
limited_access,0.3,low_tail,late,customer_success,2,0.175,0.1,0.25
limited_access,0.3,low_tail,late,first_customer,2,0.41666666666666663,0.3333333333333333,0.5
limited_access,0.3,low_tail,late,both_use,2,0.5416666666666666,0.3333333333333333,0.75
limited_access,0.3,low_tail,late,d_to_e,2,0.26666666666666666,0.2,0.3333333333333333
limited_access,0.3,low_tail,late,firm_equal_resolved,2,0.3158730158730158,0.2428571428571428,0.3888888888888888
limited_access,0.5,all,early,domestic_use,2,0.8673054587688733,0.8536585365853658,0.8809523809523809
limited_access,0.5,all,early,customer_use,2,0.5664924506387921,0.5476190476190477,0.5853658536585366
limited_access,0.5,all,early,resolved,2,0.40969802555168405,0.4047619047619047,0.4146341463414634
limited_access,0.5,all,early,customer_success,2,0.1702898550724637,0.1666666666666666,0.1739130434782608
limited_access,0.5,all,early,first_customer,2,0.3858885017421603,0.3571428571428571,0.4146341463414634
limited_access,0.5,all,early,both_use,2,0.43379790940766544,0.4285714285714285,0.4390243902439024
limited_access,0.5,all,early,d_to_e,2,0.18060394889663176,0.1707317073170731,0.1904761904761904
limited_access,0.5,all,early,firm_equal_resolved,2,0.42509920634920634,0.4176587301587302,0.4325396825396825
limited_access,0.5,all,late,domestic_use,2,0.772093023255814,0.7441860465116279,0.8
limited_access,0.5,all,late,customer_use,2,0.604983388704319,0.5813953488372093,0.6285714285714286
limited_access,0.5,all,late,resolved,2,0.47009966777408635,0.4285714285714285,0.5116279069767442
limited_access,0.5,all,late,customer_success,2,0.3190909090909091,0.3181818181818182,0.32
limited_access,0.5,all,late,first_customer,2,0.40930232558139534,0.4,0.4186046511627907
limited_access,0.5,all,late,both_use,2,0.4029900332225913,0.3488372093023256,0.4571428571428571
limited_access,0.5,all,late,d_to_e,2,0.18405315614617934,0.1395348837209302,0.2285714285714285
limited_access,0.5,all,late,firm_equal_resolved,2,0.46772486772486777,0.4253968253968254,0.5100529100529101
limited_access,0.5,high,early,domestic_use,2,0.9069264069264069,0.9047619047619048,0.9090909090909092
limited_access,0.5,high,early,customer_use,2,0.5800865800865801,0.5238095238095238,0.6363636363636364
limited_access,0.5,high,early,resolved,2,0.39610389610389607,0.3636363636363636,0.4285714285714285
limited_access,0.5,high,early,customer_success,2,0.12662337662337658,0.0714285714285714,0.1818181818181818
limited_access,0.5,high,early,first_customer,2,0.41774891774891765,0.3809523809523809,0.4545454545454545
limited_access,0.5,high,early,both_use,2,0.48701298701298695,0.4285714285714285,0.5454545454545454
limited_access,0.5,high,early,d_to_e,2,0.16233766233766228,0.1428571428571428,0.1818181818181818
limited_access,0.5,high,early,firm_equal_resolved,2,0.3988095238095238,0.3630952380952381,0.4345238095238095
limited_access,0.5,high,late,domestic_use,2,0.6779411764705883,0.65,0.7058823529411765
limited_access,0.5,high,late,customer_use,2,0.6029411764705883,0.5,0.7058823529411765
limited_access,0.5,high,late,resolved,2,0.5352941176470588,0.4705882352941176,0.6
limited_access,0.5,high,late,customer_success,2,0.45,0.4,0.5
limited_access,0.5,high,late,first_customer,2,0.43529411764705883,0.4,0.4705882352941176
limited_access,0.5,high,late,both_use,2,0.3058823529411765,0.2,0.4117647058823529
limited_access,0.5,high,late,d_to_e,2,0.1676470588235294,0.1,0.2352941176470588
limited_access,0.5,high,late,firm_equal_resolved,2,0.5327380952380952,0.4666666666666666,0.5988095238095238
limited_access,0.5,high_tail,early,domestic_use,2,0.9333333333333333,0.8666666666666667,1.0
limited_access,0.5,high_tail,early,customer_use,2,0.6076923076923078,0.6,0.6153846153846154
limited_access,0.5,high_tail,early,resolved,2,0.3974358974358974,0.3333333333333333,0.4615384615384615
limited_access,0.5,high_tail,early,customer_success,2,0.11805555555555555,0.1111111111111111,0.125
limited_access,0.5,high_tail,early,first_customer,2,0.3923076923076923,0.3846153846153846,0.4
limited_access,0.5,high_tail,early,both_use,2,0.5410256410256411,0.4666666666666667,0.6153846153846154
limited_access,0.5,high_tail,early,d_to_e,2,0.21538461538461534,0.2,0.2307692307692307
limited_access,0.5,high_tail,early,firm_equal_resolved,2,0.39732142857142855,0.3303571428571428,0.4642857142857143
