variant,dependence_mean,seed,period,grouping,domestic_use,customer_use,resolved,customer_success,first_customer,both_use,d_to_e,firm_equal_resolved
main,0.9,0,early,halves,0.16190476190476188,-0.08809523809523812,-0.02619047619047621,0.022058823529411797,-0.17619047619047612,0.07380952380952382,0.088095238095238,-0.031746031746031855
main,0.9,0,early,tails,0.2692307692307693,-0.08241758241758246,0.18681318681318693,0.0699300699300699,-0.09890109890109888,0.18681318681318693,0.016483516483516508,0.18154761904761907
main,0.9,0,late,halves,-0.09565217391304348,-0.019565217391304346,0.2282608695652174,0.18823529411764706,0.07826086956521738,-0.11521739130434777,-0.010869565217391297,0.25608465608465614
main,0.9,0,late,tails,-0.1333333333333333,-0.06666666666666665,0.2666666666666666,0.3589743589743589,0.1333333333333333,-0.2,-0.1333333333333333,0.2966269841269842
main,0.9,1,early,halves,0.022727272727272707,0.018181818181818188,-0.2409090909090909,-0.041666666666666685,0.0,0.040909090909090895,0.018181818181818188,-0.23412698412698413
main,0.9,1,early,tails,-0.04761904761904767,0.080952380952381,-0.3095238095238096,-0.14685314685314677,0.033333333333333326,0.033333333333333326,0.047619047619047616,-0.3035714285714286
main,0.9,1,late,halves,-0.07516339869281041,-0.06862745098039225,0.14052287581699346,0.2615384615384615,-0.3137254901960784,-0.14379084967320266,0.24509803921568632,0.16507936507936505
main,0.9,1,late,tails,0.2222222222222222,-0.13888888888888884,0.1388888888888889,0.2987012987012987,-0.6388888888888888,0.08333333333333326,0.5,0.16428571428571437
narrow,0.1,0,early,halves,0.0071428571428571175,0.16904761904761906,0.02857142857142847,0.1965811965811966,0.1285714285714285,0.17619047619047612,0.040476190476190416,0.011904761904761807
narrow,0.1,0,early,tails,0.13736263736263754,0.19780219780219788,0.09890109890109888,0.07500000000000001,0.10439560439560441,0.3351648351648352,0.09340659340659352,0.10119047619047622
narrow,0.1,0,late,halves,-0.11304347826086958,-0.034782608695652084,-0.028260869565217395,-0.1,0.13260869565217398,-0.19130434782608696,-0.1239130434782608,-0.05251322751322751
narrow,0.1,0,late,tails,-0.13333333333333341,-0.13333333333333336,-0.06666666666666665,-0.1428571428571428,0.0,-0.3333333333333334,-0.1333333333333333,-0.09126984126984128
narrow,0.1,1,early,halves,0.054545454545454564,0.09999999999999998,-0.08181818181818185,-0.0340909090909091,-0.02272727272727279,0.15454545454545449,0.1272727272727272,-0.09523809523809529
narrow,0.1,1,early,tails,0.004761904761904634,0.24761904761904763,-0.08571428571428569,0.0,0.11904761904761912,0.2523809523809525,0.12857142857142861,-0.09523809523809518
narrow,0.1,1,late,halves,-0.12745098039215685,-0.019607843137254832,-0.32679738562091504,0.0,0.13725490196078427,-0.19934640522875824,-0.1568627450980392,-0.30079365079365084
narrow,0.1,1,late,tails,-0.05555555555555558,-0.2777777777777778,-0.1111111111111111,0.0,-0.08333333333333337,-0.5,-0.19444444444444448,-0.1178571428571428
narrow,0.3,0,early,halves,0.0071428571428571175,0.06904761904761902,0.07857142857142851,0.1398601398601398,0.07619047619047609,0.07619047619047609,-0.007142857142857201,0.05952380952380948
narrow,0.3,0,early,tails,0.13736263736263754,0.05494505494505497,0.24725274725274732,0.1,0.038461538461538436,0.1923076923076923,0.016483516483516508,0.2351190476190477
narrow,0.3,0,late,halves,-0.12608695652173918,-0.021739130434782594,0.10217391304347834,-0.0666666666666666,0.13913043478260873,-0.09782608695652167,-0.1608695652173913,0.0943121693121694
narrow,0.3,0,late,tails,-0.06666666666666665,-0.1333333333333333,0.06666666666666665,-0.07936507936507942,0.06666666666666671,-0.1333333333333333,-0.2,0.06646825396825401
narrow,0.3,1,early,halves,0.10454545454545461,0.08181818181818179,-0.18181818181818182,-0.1,-0.12727272727272732,0.18636363636363634,0.16363636363636358,-0.19246031746031744
narrow,0.3,1,early,tails,0.07619047619047614,0.09523809523809523,-0.22857142857142848,-0.125,-0.02380952380952378,0.17142857142857149,0.11904761904761912,-0.2410714285714286
narrow,0.3,1,late,halves,-0.18300653594771232,-0.016339869281045694,-0.49673202614379086,-0.1538461538461538,0.08496732026143794,-0.2516339869281046,-0.04575163398692811,-0.5063492063492065
narrow,0.3,1,late,tails,-0.05555555555555558,-0.2777777777777778,-0.3055555555555556,-0.2,-0.36111111111111116,-0.38888888888888895,0.08333333333333331,-0.34285714285714275
narrow,0.5,0,early,halves,0.05714285714285705,-0.030952380952380953,0.02857142857142847,0.0769230769230769,0.026190476190476097,0.026190476190476097,-0.05714285714285722,0.003968253968253954
narrow,0.5,0,early,tails,0.20879120879120894,-0.016483516483516425,0.1758241758241758,0.018181818181818216,-0.03296703296703296,0.1923076923076923,0.016483516483516508,0.1517857142857143
narrow,0.5,0,late,halves,-0.1760869565217391,-0.08260869565217399,0.17826086956521736,0.1507936507936507,0.10869565217391303,-0.2586956521739131,-0.14782608695652166,0.2019841269841271
narrow,0.5,0,late,tails,-0.1333333333333333,-0.13333333333333341,0.2666666666666666,0.33333333333333337,0.06666666666666665,-0.2666666666666667,-0.1333333333333333,0.31547619047619063
narrow,0.5,1,early,halves,0.0636363636363636,0.12727272727272732,-0.2272727272727273,-0.0416666666666666,0.009090909090909094,0.19090909090909092,0.11818181818181817,-0.24603174603174605
narrow,0.5,1,early,tails,0.014285714285714346,0.16190476190476188,-0.22857142857142848,-0.0340909090909091,0.10952380952380958,0.17619047619047623,0.05238095238095242,-0.25
narrow,0.5,1,late,halves,-0.009803921568627527,-0.1895424836601307,0.022875816993464027,0.2285714285714286,-0.08823529411764708,-0.2549019607843137,-0.10130718954248369,-0.025793650793650813
narrow,0.5,1,late,tails,0.13888888888888884,-0.4722222222222222,-0.02777777777777779,0.15909090909090912,-0.36111111111111116,-0.4166666666666667,-0.1111111111111111,-0.017857142857142794
narrow,0.7,0,early,halves,0.00952380952380949,-0.08571428571428574,-0.02142857142857152,0.016666666666666607,-0.07619047619047614,-0.07619047619047614,-0.009523809523809601,-0.023809523809523725
narrow,0.7,0,early,tails,0.13186813186813184,-0.01098901098901095,0.10439560439560441,-0.06060606060606061,-0.027472527472527486,0.1208791208791209,0.016483516483516508,0.11011904761904773
narrow,0.7,0,late,halves,-0.2630434782608696,0.18478260869565222,0.14130434782608692,0.09230769230769231,0.2521739130434783,-0.07826086956521738,-0.023913043478260815,0.18068783068783068
narrow,0.7,0,late,tails,-0.33333333333333337,0.19999999999999996,0.06666666666666665,0.2954545454545454,0.19999999999999996,-0.13333333333333341,0.0,0.12103174603174616
narrow,0.7,1,early,halves,0.0636363636363636,0.022727272727272707,-0.045454545454545525,0.2196078431372549,0.009090909090909094,0.08636363636363631,0.013636363636363613,-0.06746031746031744
narrow,0.7,1,early,tails,0.014285714285714346,0.014285714285714346,-0.02857142857142847,0.24242424242424243,0.10952380952380958,0.02857142857142858,-0.09523809523809518,-0.0535714285714286
narrow,0.7,1,late,halves,0.04575163398692805,-0.06862745098039225,0.2581699346405229,0.40512820512820513,-0.19934640522875824,-0.022875816993464082,0.130718954248366,0.2464285714285715
narrow,0.7,1,late,tails,0.02777777777777779,-0.2222222222222222,0.3333333333333333,0.5476190476190477,-0.5277777777777778,-0.19444444444444442,0.3055555555555556,0.3071428571428572
narrow,0.9,0,early,halves,0.16190476190476188,-0.13809523809523816,-0.02380952380952389,-0.020833333333333315,-0.2761904761904762,0.023809523809523836,0.138095238095238,-0.023809523809523947
narrow,0.9,0,early,tails,0.2692307692307693,-0.15384615384615385,0.18131868131868134,0.006493506493506496,-0.24175824175824168,0.11538461538461542,0.0879120879120879,0.193452380952381
narrow,0.9,0,late,halves,-0.2326086956521739,0.11086956521739133,0.08478260869565224,0.0,0.17173913043478262,-0.12173913043478257,0.026086956521739202,0.10529100529100521
narrow,0.9,0,late,tails,-0.33333333333333337,0.13333333333333341,0.06666666666666665,0.2,0.19999999999999996,-0.20000000000000007,0.0,0.07043650793650791
narrow,0.9,1,early,halves,0.022727272727272707,0.018181818181818188,-0.2409090909090909,-0.041666666666666685,0.0,0.040909090909090895,0.018181818181818188,-0.23412698412698413
narrow,0.9,1,early,tails,-0.04761904761904767,0.080952380952381,-0.3095238095238096,-0.14685314685314677,0.033333333333333326,0.033333333333333326,0.047619047619047616,-0.3035714285714286
narrow,0.9,1,late,halves,-0.013071895424836666,-0.013071895424836666,0.0326797385620915,0.32417582417582425,-0.25816993464052296,-0.02614379084967322,0.24509803921568632,0.028968253968254087
narrow,0.9,1,late,tails,0.2222222222222222,-0.13888888888888884,0.05555555555555558,0.2987012987012987,-0.6388888888888888,0.08333333333333326,0.5,0.06428571428571433
no_objective,0.1,0,early,halves,0.05714285714285705,0.16904761904761906,-0.06904761904761914,0.008547008547008489,0.1285714285714285,0.2261904761904761,0.040476190476190416,-0.08531746031746029
no_objective,0.1,0,early,tails,0.20879120879120894,0.19780219780219788,0.027472527472527486,-0.04999999999999999,0.10439560439560441,0.4065934065934066,0.09340659340659352,0.017857142857142794
no_objective,0.1,0,late,halves,-0.02608695652173909,-0.028260869565217395,0.07173913043478264,-0.0505050505050505,0.08913043478260868,-0.09782608695652167,-0.11739130434782599,0.08822751322751321
no_objective,0.1,0,late,tails,0.0,-0.1333333333333333,0.06666666666666665,-0.0833333333333334,-0.06666666666666671,-0.2,-0.06666666666666671,0.08234126984126988
no_objective,0.1,1,early,halves,0.054545454545454564,0.04999999999999999,-0.08181818181818185,-0.020202020202020207,-0.02272727272727279,0.1045454545454545,0.07727272727272722,-0.09523809523809529
no_objective,0.1,1,early,tails,0.004761904761904634,0.17619047619047623,-0.08571428571428569,0.0,0.11904761904761912,0.18095238095238098,0.05714285714285722,-0.09523809523809518
