scenario,population,metric,comparison,n,mean,low,high
cost_low,both_reachable,first_both,early_level,20,0.061226472552934307,0.04053011385478589,0.0839848223443847
cost_low,both_reachable,first_both,late_level,20,0.05739180606907427,0.035748458749973094,0.08488004965119328
cost_low,both_reachable,first_both,late_minus_early,20,-0.00383466648386004,-0.03726219888979197,0.03135593963794898
cost_low,both_reachable,no_submission,early_level,20,0.009059343434343434,0.0,0.019886363636363633
cost_low,both_reachable,no_submission,late_level,20,0.003229166666666664,0.0,0.008124999999999993
cost_low,both_reachable,no_submission,late_minus_early,20,-0.005830176767676769,-0.018293087121212123,0.0049652777777777725
cost_low,both_reachable,d_to_e,early_level,20,0.26107347547757853,0.22646466000552617,0.29658561045947424
cost_low,both_reachable,d_to_e,late_level,20,0.2887202450943382,0.25117207432612676,0.32510837320600244
cost_low,both_reachable,d_to_e,late_minus_early,20,0.027646769616759725,-0.022740239604302874,0.07953231309763543
cost_low,both_reachable,e_to_d,early_level,20,0.293078522247017,0.25327467100069473,0.33227327684568797
cost_low,both_reachable,e_to_d,late_level,20,0.2548066515101959,0.22057060196871806,0.28839541623473
cost_low,both_reachable,e_to_d,late_minus_early,20,-0.03827187073682116,-0.08917129643459121,0.01722629145628341
cost_low,both_reachable,resolved,early_level,20,0.46221588121729223,0.41243552091604635,0.5099873261777932
cost_low,both_reachable,resolved,late_level,20,0.4392586472836812,0.39740182311006733,0.47777516979002665
cost_low,both_reachable,resolved,late_minus_early,20,-0.02295723393361114,-0.08150355516963441,0.04137712873282089
cost_low,both_reachable,customer_minus_domestic,early_level,20,-0.039670956951112835,-0.08565730390893336,0.009514351766389774
cost_low,both_reachable,customer_minus_domestic,late_level,20,-0.08232494880658298,-0.14058051156624993,-0.025512533131882845
cost_low,both_reachable,customer_minus_domestic,late_minus_early,20,-0.04265399185547014,-0.10586240615973604,0.023219672142846294
customer_tight,all,domestic_use,early_level,20,0.7903167597278093,0.7633972044990485,0.8153582402526193
customer_tight,all,domestic_use,late_level,20,0.8000579085998023,0.7784603287149195,0.823537028285477
customer_tight,all,domestic_use,late_minus_early,20,0.00974114887199285,-0.02860113540027648,0.04954236047251155
customer_tight,all,customer_use,early_level,20,0.507548572627768,0.4650669080921237,0.5520277547665341
customer_tight,all,customer_use,late_level,20,0.49995751376889996,0.45322376729015945,0.5449184882844613
customer_tight,all,customer_use,late_minus_early,20,-0.007591058858868188,-0.03465671318831968,0.022056933484953835
customer_tight,all,first_d,early_level,20,0.6079004870660318,0.5714441092751685,0.6431678420349338
customer_tight,all,first_d,late_level,20,0.6294886153079704,0.598054992224975,0.6610295873185432
customer_tight,all,first_d,late_minus_early,20,0.02158812824193856,-0.019871355360367587,0.06211088934209469
customer_tight,all,first_e,early_level,20,0.33237693836665877,0.2940736848454058,0.3714576915471221
customer_tight,all,first_e,late_level,20,0.317093873585565,0.28213957295638914,0.3509348739097282
customer_tight,all,first_e,late_minus_early,20,-0.01528306478109373,-0.05209385198313035,0.018215227264275744
customer_tight,all,first_both,early_level,20,0.009653501875676387,0.0031947261663285978,0.017278158490867238
customer_tight,all,first_both,late_level,20,0.013044232898884057,0.005267092645726366,0.02117657487860975
customer_tight,all,first_both,late_minus_early,20,0.0033907310232076694,-0.004338507757784469,0.011525000429787784
customer_tight,all,no_submission,early_level,20,0.050069072691633035,0.03424670387821824,0.06702492531495857
customer_tight,all,no_submission,late_level,20,0.040373278207580514,0.02739787513842745,0.05520733477601208
customer_tight,all,no_submission,late_minus_early,20,-0.009695794484052505,-0.027267145222660893,0.007253308894388628
customer_tight,all,d_to_e,early_level,20,0.16551813238543284,0.14247142303736807,0.1903969802699567
customer_tight,all,d_to_e,late_level,20,0.16981940728445072,0.13554013837160273,0.20412667564462428
customer_tight,all,d_to_e,late_minus_early,20,0.004301274899017883,-0.030666518379424277,0.037836477818216155
customer_tight,all,e_to_d,early_level,20,0.17276277078610117,0.15034538313397586,0.19659413254204336
customer_tight,all,e_to_d,late_level,20,0.15752506039294784,0.13165958910750045,0.1840260274265208
customer_tight,all,e_to_d,late_minus_early,20,-0.01523771039315339,-0.04335218640495293,0.015180453798873316
customer_tight,all,resolved,early_level,20,0.3942967009842737,0.3630184381374382,0.4255116701920245
customer_tight,all,resolved,late_level,20,0.38768242076529946,0.34846218928057016,0.4289194706201799
customer_tight,all,resolved,late_minus_early,20,-0.006614280218974239,-0.0646382382128516,0.053345319644806016
customer_tight,all,customer_minus_domestic,early_level,20,-0.2827681871000413,-0.34334028027370067,-0.21883934825366644
customer_tight,all,customer_minus_domestic,late_level,20,-0.30010039483090234,-0.3543963203148347,-0.24407468535788188
customer_tight,all,customer_minus_domestic,late_minus_early,20,-0.017332207730861027,-0.07486771074093475,0.03768980429988953
customer_tight,both_reachable,domestic_use,early_level,20,0.7538588307346135,0.7219774698254352,0.7845469904447288
customer_tight,both_reachable,domestic_use,late_level,20,0.7637709049415264,0.727878990097074,0.7993597879733602
customer_tight,both_reachable,domestic_use,late_minus_early,20,0.009912074206912851,-0.041156408356306,0.06360564546296851
customer_tight,both_reachable,customer_use,early_level,20,0.7029354271607446,0.6727990596557476,0.7346724263732873
customer_tight,both_reachable,customer_use,late_level,20,0.6889161111475639,0.6543652017812334,0.721221976174505
customer_tight,both_reachable,customer_use,late_minus_early,20,-0.014019316013180688,-0.04854727811790384,0.021012790003448873
customer_tight,both_reachable,first_d,early_level,20,0.5008541279781908,0.46677272243562773,0.5359740161363568
customer_tight,both_reachable,first_d,late_level,20,0.5275962099401518,0.492146878296532,0.5648487009907174
customer_tight,both_reachable,first_d,late_minus_early,20,0.02674208196196093,-0.0204143833444316,0.07338913634909464
customer_tight,both_reachable,first_e,early_level,20,0.45982312999760533,0.42034616057954005,0.5005660801948449
customer_tight,both_reachable,first_e,late_level,20,0.4407229940040521,0.400828748969968,0.48053363584599856
customer_tight,both_reachable,first_e,late_minus_early,20,-0.01910013599355321,-0.06621959666170332,0.024790995506034814
customer_tight,both_reachable,first_both,early_level,20,0.013485704110704105,0.004315476190476189,0.024563269485144465
customer_tight,both_reachable,first_both,late_level,20,0.018914592352092342,0.007576760912698408,0.03247338338744587
customer_tight,both_reachable,first_both,late_minus_early,20,0.00542888824138824,-0.006804824226699223,0.019004720973470966
customer_tight,both_reachable,no_submission,early_level,20,0.025837037913499672,0.015891372946282983,0.035357103784694636
customer_tight,both_reachable,no_submission,late_level,20,0.012766203703703701,0.0034143518518518503,0.0252662037037037
customer_tight,both_reachable,no_submission,late_minus_early,20,-0.013070834209795967,-0.02831382079072295,0.003421109221533234
customer_tight,both_reachable,d_to_e,early_level,20,0.2296265930524352,0.2003650527177679,0.2600935344978401
customer_tight,both_reachable,d_to_e,late_level,20,0.22927852479141952,0.19068997634896878,0.27072793562588005
customer_tight,both_reachable,d_to_e,late_minus_early,20,-0.00034806826101571456,-0.049796946771154406,0.04968908618122451
customer_tight,both_reachable,e_to_d,early_level,20,0.23951899864571838,0.21329337866506182,0.2646449871095871
customer_tight,both_reachable,e_to_d,late_level,20,0.21726010264928203,0.1826190863097217,0.2507863914555775
customer_tight,both_reachable,e_to_d,late_minus_early,20,-0.022258895996436316,-0.06191337008277422,0.019861792253785527
customer_tight,both_reachable,resolved,early_level,20,0.43281145996355663,0.38863200521697566,0.4747393299997961
customer_tight,both_reachable,resolved,late_level,20,0.41526801631382515,0.37204213348491366,0.4627675668754533
customer_tight,both_reachable,resolved,late_minus_early,20,-0.01754344364973163,-0.08767665800076595,0.055506102642878086
customer_tight,both_reachable,customer_minus_domestic,early_level,20,-0.05092340357386878,-0.10090551493033109,0.0017544266761241743
customer_tight,both_reachable,customer_minus_domestic,late_level,20,-0.07485479379396229,-0.1336864141491175,-0.016281631123818658
customer_tight,both_reachable,customer_minus_domestic,late_minus_early,20,-0.023931390220093534,-0.09880926079480783,0.04757535619893873
domestic_tight,all,domestic_use,early_level,20,0.7704711966751283,0.7440238541520297,0.7954707845778556
domestic_tight,all,domestic_use,late_level,20,0.8072665858424845,0.7781803796660822,0.8332923368070136
domestic_tight,all,domestic_use,late_minus_early,20,0.036795389167356175,-0.0006967984009399402,0.07191237459722492
domestic_tight,all,customer_use,early_level,20,0.5156157235535075,0.46827235916256266,0.5633295055073924
domestic_tight,all,customer_use,late_level,20,0.5192029637756587,0.4774831538766886,0.5569289058311053
domestic_tight,all,customer_use,late_minus_early,20,0.0035872402221512555,-0.04423602005974677,0.052109187485169135
domestic_tight,all,first_d,early_level,20,0.6044488948717625,0.5667864714926335,0.641035140659523
domestic_tight,all,first_d,late_level,20,0.6580936202811297,0.6180407670537338,0.692824628612743
domestic_tight,all,first_d,late_minus_early,20,0.05364472540936712,-0.005581086618657507,0.10866970447894912
domestic_tight,all,first_e,early_level,20,0.33611683067080456,0.29515818197045873,0.3810842131585882
domestic_tight,all,first_e,late_level,20,0.279210623883477,0.24450404785488083,0.3175091535659448
domestic_tight,all,first_e,late_minus_early,20,-0.056906206787327517,-0.11134295446737053,-0.00042460396812014944
domestic_tight,all,first_both,early_level,20,0.007833086666079646,0.0027023876458955364,0.013405942142563448
domestic_tight,all,first_both,late_level,20,0.008427396483267154,0.0023255813953488337,0.016856104651162777
domestic_tight,all,first_both,late_minus_early,20,0.0005943098171875079,-0.0069212527815067934,0.009389409520991054
domestic_tight,all,no_submission,early_level,20,0.051601187791353295,0.03364232344765865,0.07364738770012468
