time,mean_belief_d,mean_belief_e,arriving_belief_d,arriving_belief_e,scenario,seed
56,0.49485971167336057,0.5123248184452109,,,no_social,4
57,0.49485971167336057,0.5123248184452109,,,no_social,4
58,0.49485971167336057,0.5123248184452109,,,no_social,4
59,0.49485971167336057,0.5123248184452109,,,no_social,4
60,0.49485971167336057,0.5123248184452109,,,no_social,4
61,0.49485971167336057,0.5123248184452109,,,no_social,4
62,0.49485971167336057,0.5123248184452109,,,no_social,4
63,0.49485971167336057,0.5123248184452109,,,no_social,4
64,0.49485971167336057,0.5123248184452109,,,no_social,4
65,0.49485971167336057,0.5123248184452109,,,no_social,4
0,0.49485971167336057,0.5123248184452109,0.5386679150148252,0.5101647220553485,no_outcomes,4
1,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
2,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
3,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
4,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
5,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
6,0.49485971167336057,0.5123248184452109,0.44633905855266,0.5148933596474914,no_outcomes,4
7,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
8,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
9,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
10,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
11,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
12,0.49485971167336057,0.5123248184452109,0.5521788422954842,0.5030171279116591,no_outcomes,4
13,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
14,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
15,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
16,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
17,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
18,0.49485971167336057,0.5123248184452109,0.49007084199052625,0.5148862806983918,no_outcomes,4
19,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
20,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
21,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
22,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
23,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
24,0.49485971167336057,0.5123248184452109,0.48672141446768885,0.47410247791569493,no_outcomes,4
25,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
26,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
27,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
28,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
29,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
30,0.49485971167336057,0.5123248184452109,0.4974562380132934,0.47616126248999563,no_outcomes,4
31,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
32,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
33,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
34,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
35,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
36,0.49485971167336057,0.5123248184452109,0.481969667519359,0.5181151416586864,no_outcomes,4
37,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
38,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
39,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
40,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
41,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
42,0.49485971167336057,0.5123248184452109,0.4969997769413234,0.5225975108751713,no_outcomes,4
43,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
44,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
45,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
46,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
47,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
48,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
49,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
50,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
51,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
52,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
53,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
54,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
55,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
56,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
57,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
58,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
59,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
60,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
61,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
62,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
63,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
64,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
65,0.49485971167336057,0.5123248184452109,,,no_outcomes,4
0,0.49485971167336057,0.5123248184452109,0.5386679150148252,0.5101647220553485,no_actions,4
1,0.49485971167336057,0.5123248184452109,,,no_actions,4
2,0.49485971167336057,0.5123248184452109,,,no_actions,4
3,0.49485971167336057,0.5123248184452109,,,no_actions,4
4,0.48111040930285515,0.49943775818457536,,,no_actions,4
5,0.45402578905627994,0.49943775818457536,,,no_actions,4
6,0.4338689154603887,0.49263229861915364,0.4041639837759271,0.4988441576326948,no_actions,4
7,0.4257289492336259,0.4872905254278399,,,no_actions,4
8,0.4257289492336259,0.48422085555684374,,,no_actions,4
9,0.42188529026993477,0.4634571183488913,,,no_actions,4
10,0.4097641153385692,0.45401132679144085,,,no_actions,4
11,0.43040987070795456,0.4399951511912549,,,no_actions,4
12,0.4256891375006867,0.4294233883982323,0.43840627482098604,0.38532359097027946,no_actions,4
13,0.43388722071029234,0.4294233883982323,,,no_actions,4
14,0.43388722071029234,0.4294233883982323,,,no_actions,4
15,0.4196043311143579,0.4313560091960505,,,no_actions,4
16,0.4054726196240248,0.4228892090319552,,,no_actions,4
17,0.4042723085451569,0.41726924188085024,,,no_actions,4
18,0.4017039543236418,0.41356968638018415,0.4344430863354291,0.39309544585477674,no_actions,4
19,0.40851821757588785,0.417731265227446,,,no_actions,4
20,0.40477464457552786,0.417731265227446,,,no_actions,4
21,0.3905540447972104,0.417731265227446,,,no_actions,4
22,0.40817810304242397,0.42168739347998735,,,no_actions,4
23,0.42756785081148435,0.4231932373477028,,,no_actions,4
24,0.4623265458210727,0.42638117938278625,0.44855410603334384,0.4118381442406895,no_actions,4
25,0.4816406809182169,0.4315417137164535,,,no_actions,4
26,0.46919652571112763,0.42905369883488914,,,no_actions,4
27,0.47066247326447075,0.4454177107711714,,,no_actions,4
28,0.46912034124640983,0.44906756499895956,,,no_actions,4
29,0.4516772014082039,0.47184947115755577,,,no_actions,4
30,0.45250521829824325,0.4814498593631614,0.49305573418168863,0.44585744184407233,no_actions,4
31,0.44961294953115805,0.48126196511765224,,,no_actions,4
32,0.4455062066772194,0.47439179928822395,,,no_actions,4
33,0.45261002081957147,0.4717667498052839,,,no_actions,4
34,0.4482638634705032,0.47570106697721026,,,no_actions,4
35,0.4472398408417123,0.4813025180354532,,,no_actions,4
36,0.4462721615222559,0.47626168375280714,0.48281474665315105,0.4486677505082173,no_actions,4
37,0.44940989362790495,0.47697044238208997,,,no_actions,4
38,0.45164010438472957,0.47697044238208997,,,no_actions,4
39,0.4532107558470036,0.47697044238208997,,,no_actions,4
40,0.4349829728558364,0.4765400454097178,,,no_actions,4
41,0.43249857937267205,0.4733582749884718,,,no_actions,4
42,0.4112155207426298,0.4733582749884718,0.39862591260028557,0.5442326895740558,no_actions,4
43,0.41074442467796224,0.48722657972779615,,,no_actions,4
44,0.41690496296467183,0.4944449150546481,,,no_actions,4
45,0.4098615946913361,0.4860735711624724,,,no_actions,4
46,0.41844254426002175,0.4860982402052223,,,no_actions,4
47,0.44211028647614065,0.49188001287234256,,,no_actions,4
48,0.448012309846917,0.489295268450845,,,no_actions,4
49,0.4425833293425883,0.48308228894668065,,,no_actions,4
50,0.44672765355649774,0.4881972618342226,,,no_actions,4
51,0.44557014682099255,0.48979213226058593,,,no_actions,4
52,0.45887020161788594,0.48350051427380064,,,no_actions,4
53,0.45718148332802044,0.48350051427380064,,,no_actions,4
54,0.46509019217541053,0.4913892697170174,,,no_actions,4
55,0.45656114116544466,0.4841497940797727,,,no_actions,4
56,0.45656114116544466,0.4841497940797727,,,no_actions,4
57,0.4680906938147694,0.4841497940797727,,,no_actions,4
58,0.49585700645515346,0.48968913380981605,,,no_actions,4
59,0.49716613440503327,0.49357424977314523,,,no_actions,4
60,0.5029082622493561,0.49357424977314523,,,no_actions,4
61,0.48179918004454586,0.4786070725650745,,,no_actions,4
62,0.4856513153910986,0.4723506829712801,,,no_actions,4
63,0.503215549689385,0.4904375479135042,,,no_actions,4
64,0.4975001467825969,0.4969231581863002,,,no_actions,4
65,0.466102222611424,0.48154662127231374,,,no_actions,4
0,0.49485971167336057,0.5123248184452109,0.5386679150148252,0.5101647220553485,network_ws,4
1,0.49485971167336057,0.5123248184452109,,,network_ws,4
2,0.49485971167336057,0.5123248184452109,,,network_ws,4
3,0.49485971167336057,0.5123248184452109,,,network_ws,4
4,0.47960101636268837,0.5037781261815404,,,network_ws,4
5,0.45002951143298936,0.5037781261815404,,,network_ws,4
6,0.4304234304422911,0.4949874074885817,0.4100895356186609,0.49141028311805474,network_ws,4
7,0.4254190032522053,0.4883202943918285,,,network_ws,4
8,0.4254190032522053,0.48055713613094475,,,network_ws,4
9,0.4214066065985824,0.45609962344236,,,network_ws,4
10,0.40376108915575687,0.4351089081116265,,,network_ws,4
11,0.4128873301853654,0.42338643953798355,,,network_ws,4
12,0.40866104361945793,0.412120305516429,0.4674938967735408,0.4408401799963008,network_ws,4
13,0.4160991962732378,0.412120305516429,,,network_ws,4
14,0.4063087116444192,0.412120305516429,,,network_ws,4
15,0.39477160177589626,0.40728009088731765,,,network_ws,4
16,0.3929113229346243,0.39747019205458295,,,network_ws,4
17,0.4036516767575432,0.3930961150843889,,,network_ws,4
18,0.4036516767575432,0.3930961150843889,0.38402399104233187,0.3919771482639705,network_ws,4
19,0.4032346686582637,0.3873773493707385,,,network_ws,4
20,0.40609899942147304,0.38466031750113255,,,network_ws,4
21,0.4019499313089879,0.38939949393474393,,,network_ws,4
22,0.41176793113979,0.38626210669378774,,,network_ws,4
23,0.4254351511776572,0.39041200670911247,,,network_ws,4
24,0.453643794352699,0.3964260852230224,0.4467871425136978,0.37899082134402606,network_ws,4
25,0.4563922729165462,0.3993129842840677,,,network_ws,4
26,0.45284531781333126,0.39943236587478864,,,network_ws,4
27,0.4428247961924053,0.4178130461635413,,,network_ws,4
28,0.4508131482498455,0.4264746850528235,,,network_ws,4
29,0.4319680919064517,0.4497912484099217,,,network_ws,4
30,0.44273822936497204,0.46524120272913355,0.47527200725542884,0.4659360902931935,network_ws,4
31,0.4365385468410323,0.45954735275592523,,,network_ws,4
32,0.43927405337631065,0.465559626532062,,,network_ws,4
33,0.4417156263662398,0.4573835461434071,,,network_ws,4
34,0.43512189078364955,0.4688051210151925,,,network_ws,4
35,0.42221724785661086,0.47240566180506627,,,network_ws,4
36,0.4215562258659888,0.46802223729364795,0.4042440290064702,0.4880053858880461,network_ws,4
37,0.43666865496774593,0.45587320891507194,,,network_ws,4
38,0.4414333148199288,0.4546323823534197,,,network_ws,4
39,0.4350656048715624,0.4569068431230137,,,network_ws,4
40,0.4263371453995482,0.4680907464036043,,,network_ws,4
41,0.41950630647151194,0.462395979136799,,,network_ws,4
42,0.41544658854598626,0.4571771403921305,0.4709419675354165,0.4950074425314703,network_ws,4
43,0.4194063532429217,0.45998116436084363,,,network_ws,4
44,0.42241806541737503,0.4586814170447757,,,network_ws,4
45,0.43289603424029804,0.4538636768343939,,,network_ws,4
46,0.4350482294832234,0.458252230045798,,,network_ws,4
47,0.45423386826697393,0.4584863119645007,,,network_ws,4
48,0.45307189275123855,0.4471133906779914,,,network_ws,4
49,0.46092991542849726,0.44966216495230094,,,network_ws,4
50,0.4681805260206748,0.43918171070484463,,,network_ws,4
51,0.46944468399376593,0.44683708808166095,,,network_ws,4
52,0.4767135832841677,0.44683708808166095,,,network_ws,4
53,0.48079105835616714,0.44683708808166095,,,network_ws,4
54,0.499746334887224,0.4533440473031515,,,network_ws,4
55,0.4905481226245532,0.4631963200483399,,,network_ws,4
56,0.487667028599103,0.46752293462222433,,,network_ws,4
57,0.49904764349356456,0.45011764822882383,,,network_ws,4
58,0.5012346773467028,0.4498912809378936,,,network_ws,4
59,0.51731304160885,0.4568952181183369,,,network_ws,4
60,0.5141241980591861,0.46402167144402046,,,network_ws,4
61,0.5032589181298085,0.45431173918159734,,,network_ws,4
62,0.5032589181298085,0.4617248682407803,,,network_ws,4
63,0.5089365497375757,0.46906604703764676,,,network_ws,4
64,0.5111387256435139,0.4750896489857622,,,network_ws,4
65,0.5016868167926549,0.46860130355715207,,,network_ws,4
0,0.49485971167336057,0.5123248184452109,0.5386679150148252,0.5101647220553485,network_ba,4
1,0.49485971167336057,0.5123248184452109,,,network_ba,4
2,0.49485971167336057,0.5123248184452109,,,network_ba,4
3,0.49485971167336057,0.5123248184452109,,,network_ba,4
4,0.4873860634204268,0.506442342837261,,,network_ba,4
5,0.4664118001923916,0.506442342837261,,,network_ba,4
6,0.44637831129893496,0.4911509797285672,0.4050887606234654,0.49775120508725545,network_ba,4
7,0.4432922318643273,0.488024514887193,,,network_ba,4
8,0.4432922318643273,0.4853410919053708,,,network_ba,4
9,0.4375203037808279,0.4585062787307956,,,network_ba,4
10,0.43075148988106116,0.4477659237019204,,,network_ba,4
11,0.436166597777729,0.4402544618235774,,,network_ba,4
12,0.43133801974643277,0.43140963067243043,0.5058451142861146,0.39579997324848976,network_ba,4
13,0.435435905470002,0.43140963067243043,,,network_ba,4
14,0.424111837093526,0.43140963067243043,,,network_ba,4
15,0.42000292261626504,0.42827999240437503,,,network_ba,4
16,0.40952123230941734,0.4225481587079154,,,network_ba,4
17,0.40946983022464606,0.420768488997133,,,network_ba,4
18,0.4238548076724993,0.4173206629597989,0.4474778429686743,0.38907130302520215,network_ba,4
19,0.4344539457391209,0.40927651121924913,,,network_ba,4
20,0.43686801108868506,0.40927651121924913,,,network_ba,4
21,0.4320526908088747,0.41277367340955956,,,network_ba,4
22,0.45033736608914005,0.40987651420912297,,,network_ba,4
23,0.46328356486933264,0.406601859572104,,,network_ba,4
24,0.49292009058181396,0.41257968540206114,0.5163892125923505,0.40646288881024245,network_ba,4
25,0.47602689611564625,0.4126302752671531,,,network_ba,4
26,0.47237447889352835,0.4109039581056969,,,network_ba,4
27,0.47056681925208965,0.43006011658490056,,,network_ba,4
28,0.47374205798921837,0.43650025167179934,,,network_ba,4
29,0.45823393176156624,0.44607974377320475,,,network_ba,4
30,0.4676934013037079,0.44900239947149273,0.43502737650128204,0.4017077455662648,network_ba,4
31,0.4558629478496255,0.4549335308061886,,,network_ba,4
32,0.458943352836347,0.4527032638098734,,,network_ba,4
33,0.4518738325943887,0.4436892973459542,,,network_ba,4
34,0.45472644374727367,0.4482840314305624,,,network_ba,4
35,0.4572680993958371,0.45212871170263047,,,network_ba,4
36,0.44285685063085073,0.454154089052007,0.4732144823463895,0.44343498578614876,network_ba,4
37,0.4423044020245726,0.46607391734147163,,,network_ba,4
38,0.4420391595263639,0.4598355457863935,,,network_ba,4
39,0.44178069352791904,0.46312230356131395,,,network_ba,4
40,0.42321657249095174,0.45621576833133065,,,network_ba,4
41,0.4147346804329742,0.44698920682877485,,,network_ba,4
42,0.40528733393962973,0.44698920682877485,0.41469364863150143,0.46442210419943164,network_ba,4
43,0.42138457752136843,0.4626723436159694,,,network_ba,4
44,0.42386244350250013,0.4667859265478036,,,network_ba,4
45,0.43332510473268776,0.4638544481814853,,,network_ba,4
46,0.45479784101764764,0.4651022205029768,,,network_ba,4
47,0.4652940798268757,0.4655358903829045,,,network_ba,4
48,0.44603519838781974,0.47028925398693544,,,network_ba,4
49,0.45481992502660185,0.4602985965166679,,,network_ba,4
50,0.4571235029382453,0.47805555671517513,,,network_ba,4
51,0.46326301482065085,0.48591689839001745,,,network_ba,4
52,0.4669909827828564,0.501783459768346,,,network_ba,4
53,0.46746171268209985,0.49927863467025446,,,network_ba,4
54,0.47274013120185043,0.4982796304075324,,,network_ba,4
55,0.4680678650543169,0.4982796304075324,,,network_ba,4
56,0.4680678650543169,0.5030283710540131,,,network_ba,4
57,0.4736768754310373,0.49977075846652214,,,network_ba,4
58,0.4821268658271631,0.5144463092271828,,,network_ba,4
59,0.4946257491528435,0.5299891404597108,,,network_ba,4
60,0.49169483159488553,0.5299891404597108,,,network_ba,4
61,0.48811770995269604,0.5181726872330085,,,network_ba,4
62,0.48811770995269604,0.5181726872330085,,,network_ba,4
63,0.4817473694111911,0.5221874204870122,,,network_ba,4
64,0.45836101796746787,0.525868099337569,,,network_ba,4
65,0.45817633179341427,0.5258321993077302,,,network_ba,4
0,0.49485971167336057,0.5123248184452109,0.5386679150148252,0.5101647220553485,domestic_tight,4
1,0.49485971167336057,0.5123248184452109,,,domestic_tight,4
2,0.49485971167336057,0.5123248184452109,,,domestic_tight,4
3,0.49485971167336057,0.5123248184452109,,,domestic_tight,4
4,0.48984606252919616,0.49943775818457536,,,domestic_tight,4
5,0.48984606252919616,0.49943775818457536,,,domestic_tight,4
6,0.4915916308502021,0.49263229861915364,0.4541128774332949,0.4988441576326948,domestic_tight,4
7,0.4860741930199063,0.4872905254278399,,,domestic_tight,4
8,0.4860741930199063,0.4872905254278399,,,domestic_tight,4
9,0.49174420710178174,0.4740760369426205,,,domestic_tight,4
10,0.49506322563149935,0.46953543898102795,,,domestic_tight,4
11,0.49506322563149935,0.4584344260479687,,,domestic_tight,4
12,0.4959511767705546,0.4532608532349729,0.5620524335941713,0.41607371346852134,domestic_tight,4
13,0.490952248793722,0.4532608532349729,,,domestic_tight,4
14,0.4813539492336259,0.4485265894302978,,,domestic_tight,4
15,0.4761352902699348,0.4410081015100129,,,domestic_tight,4
16,0.4695301133524391,0.4319024178120958,,,domestic_tight,4
17,0.4695301133524391,0.4286274345900194,,,domestic_tight,4
18,0.47078819096474595,0.4286274345900194,0.47127370436613736,0.39820681207095643,domestic_tight,4
19,0.46403270438523,0.4286274345900194,,,domestic_tight,4
20,0.46132715334275126,0.4236872771195705,,,domestic_tight,4
21,0.46132715334275126,0.41845644757479633,,,domestic_tight,4
22,0.4673130965264451,0.4183662035122668,,,domestic_tight,4
23,0.462384029985844,0.4198260558824943,,,domestic_tight,4
24,0.4547989771207522,0.42369852595652324,0.44577392342263,0.3993053143288287,domestic_tight,4
25,0.45696912596037415,0.42577129875838376,,,domestic_tight,4
26,0.45750713169119356,0.4295735477268268,,,domestic_tight,4
27,0.44715724017503183,0.4339665158585081,,,domestic_tight,4
28,0.4389588072289674,0.43380933570071095,,,domestic_tight,4
29,0.4389588072289674,0.4456412437412253,,,domestic_tight,4
30,0.4400765936617867,0.4492816749105387,0.4656346524705223,0.4179852320856516,domestic_tight,4
31,0.4435353139685631,0.4534095287675156,,,domestic_tight,4
32,0.4579117002124929,0.44685190607166014,,,domestic_tight,4
33,0.4618867563181618,0.44031269306923304,,,domestic_tight,4
34,0.47742018883790943,0.4513593103032524,,,domestic_tight,4
35,0.4758951106315232,0.4514761006070087,,,domestic_tight,4
36,0.46538718977595755,0.440026236025014,0.42452510655021725,0.4224072092409371,domestic_tight,4
37,0.4655008989268133,0.440026236025014,,,domestic_tight,4
38,0.4627904288586928,0.44450309157105916,,,domestic_tight,4
39,0.4554217362963348,0.4404551096219272,,,domestic_tight,4
40,0.44892510518689566,0.44701955733138493,,,domestic_tight,4
41,0.4452427305013617,0.4376037155294784,,,domestic_tight,4
42,0.4429058836384894,0.4376037155294784,0.4150674942601691,0.518715927843591,domestic_tight,4
43,0.43837404267670677,0.4498873942959636,,,domestic_tight,4
44,0.4400870868739079,0.4623548962011729,,,domestic_tight,4
45,0.4479542909898464,0.46249449256718184,,,domestic_tight,4
46,0.4476313387021801,0.47082750746247454,,,domestic_tight,4
47,0.44161736024617265,0.47976410088513455,,,domestic_tight,4
48,0.4401921260951754,0.4841017037938599,,,domestic_tight,4
49,0.44522432887103425,0.47517333191244904,,,domestic_tight,4
50,0.4365566028581082,0.48007585069681796,,,domestic_tight,4
51,0.4365566028581082,0.4889330183699278,,,domestic_tight,4
52,0.4347886366056529,0.49034358677465695,,,domestic_tight,4
53,0.4339891128323007,0.49051232459742783,,,domestic_tight,4
54,0.44340905789587853,0.5067508019053856,,,domestic_tight,4
55,0.43941675220421583,0.5067508019053856,,,domestic_tight,4
56,0.44243703323047384,0.5067508019053856,,,domestic_tight,4
57,0.45541429175466075,0.5117440861116609,,,domestic_tight,4
58,0.45990906962112044,0.5025010412568764,,,domestic_tight,4
59,0.4623062803476844,0.5125973604784577,,,domestic_tight,4
60,0.4695808774333972,0.5125973604784577,,,domestic_tight,4
61,0.47502174961665217,0.5070630591044355,,,domestic_tight,4
62,0.47113459509651623,0.4876616552154696,,,domestic_tight,4
63,0.4641431227778989,0.4978947664493964,,,domestic_tight,4
64,0.46474693904656433,0.494322547215324,,,domestic_tight,4
65,0.4695184041261645,0.48016180819658094,,,domestic_tight,4
0,0.49485971167336057,0.5123248184452109,0.5386679150148252,0.5101647220553485,customer_tight,4
1,0.49485971167336057,0.5123248184452109,,,customer_tight,4
