block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,domestic_use,customer_use,first_d_all,first_e_all,first_both_all,never_submitted,d_to_e_count,e_to_d_count,d_to_e_all,e_to_d_all,d_to_e_conditional,e_to_d_conditional,both_use,resolved_share
population_double,both,17,44,0,0,0,0,0,0,83,0,0,83,0,0,0,0,0,0,0,70,153,153,0,0,153,150,63,60,0.4117647058823529,0.4117647058823529,0.9803921568627451,0.8823529411764706,0.05228758169934641,0.06535947712418301,0.0,0.3333333333333333,5.733333333333333,0.2698412698412698,0.4126984126984127,0.4576271186440678,0.0,0.5333509392039304,0.5291453067496547,0.5424836601307189,0.5424836601307189,0.5873015873015873,6.0,6.0,4155,838,0.9803921568627451,0.4117647058823529,0.8823529411764706,0.05228758169934641,0.06535947712418301,0.0,45,5,0.29411764705882354,0.032679738562091505,0.3333333333333333,0.625,0.39215686274509803,0.45751633986928103
population_double,domestic_only,18,44,0,0,0,0,0,0,96,0,0,96,0,0,0,0,0,0,0,70,166,166,0,0,166,166,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5783132530120482,0.5783132530120482,,5.828571428571428,6.0,4728,901,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.42168674698795183
population_double,customer_only,18,44,0,0,0,0,0,0,128,0,25,103,0,0,0,0,0,0,0,38,141,166,0,0,141,0,141,0,0.8493975903614458,1.0,0.0,0.0,1.0,0.0,0.15060240963855423,,,0.2695035460992908,0.2695035460992908,0.5177304964539007,0.0,0.6347235845539423,0.5052429815637155,0.7710843373493976,0.7304964539007093,0.7304964539007093,5.394736842105263,6.0,5972,677,0.0,0.8493975903614458,0.0,0.8493975903614458,0.0,0.15060240963855423,0,0,0.0,0.0,,0.0,0.0,0.2289156626506024
population_double,both,18,44,0,0,0,0,0,0,83,0,0,83,0,0,0,0,0,0,0,83,166,166,0,0,166,163,96,93,0.5783132530120482,0.5783132530120482,0.9819277108433735,0.7710843373493976,0.1144578313253012,0.1144578313253012,0.0,0.453125,5.741379310344827,0.20833333333333334,0.3541666666666667,0.45263157894736844,0.0,0.6218167238292384,0.5021846514417315,0.5,0.5,0.6458333333333334,5.831325301204819,6.0,4219,974,0.9819277108433735,0.5783132530120482,0.7710843373493976,0.1144578313253012,0.1144578313253012,0.0,58,16,0.3493975903614458,0.0963855421686747,0.453125,0.8421052631578947,0.5602409638554217,0.5
population_double,domestic_only,19,44,0,0,0,0,0,0,99,0,0,99,0,0,0,0,0,0,0,66,165,165,0,0,165,165,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6,0.6,,5.924242424242424,6.0,4846,892,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.4
population_double,customer_only,19,44,0,0,0,0,0,0,117,0,23,94,0,0,0,0,0,0,0,48,142,165,0,0,142,0,142,0,0.8606060606060606,1.0,0.0,0.0,1.0,0.0,0.1393939393939394,,,0.3380281690140845,0.3380281690140845,0.5140845070422535,0.0,0.6050100486355187,0.5020741690941649,0.7090909090909091,0.6619718309859155,0.6619718309859155,5.458333333333333,6.0,5540,691,0.0,0.8606060606060606,0.0,0.8606060606060606,0.0,0.1393939393939394,0,0,0.0,0.0,,0.0,0.0,0.2909090909090909
population_double,both,19,44,0,0,0,0,0,0,78,0,0,78,0,0,0,0,0,0,0,87,165,165,0,0,165,163,98,96,0.593939393939394,0.593939393939394,0.9878787878787879,0.8484848484848485,0.07272727272727272,0.07878787878787878,0.0,0.5214285714285715,5.657534246575342,0.19387755102040816,0.3877551020408163,0.43956043956043955,0.0,0.5819526206318258,0.5036754005877165,0.4727272727272727,0.4727272727272727,0.6122448979591837,6.0,6.0,4032,997,0.9878787878787879,0.593939393939394,0.8484848484848485,0.07272727272727272,0.07878787878787878,0.0,73,10,0.44242424242424244,0.06060606060606061,0.5214285714285715,0.8333333333333334,0.5818181818181818,0.5272727272727272
horizon_double,domestic_only,0,89,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,69,69,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5652173913043478,0.5652173913043478,,5.3,5.0,3669,337,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.43478260869565216
horizon_double,customer_only,0,89,0,0,0,0,0,0,57,0,15,42,0,0,0,0,0,0,0,12,54,69,0,0,54,0,54,0,0.782608695652174,1.0,0.0,0.0,1.0,0.0,0.21739130434782608,,,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,0.5921700366960387,0.498969014777984,0.8260869565217391,0.7777777777777778,0.7777777777777778,3.5833333333333335,3.0,5173,226,0.0,0.782608695652174,0.0,0.782608695652174,0.0,0.21739130434782608,0,0,0.0,0.0,,0.0,0.0,0.17391304347826086
horizon_double,both,0,89,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0,69,69,37,37,0.5362318840579711,0.5362318840579711,1.0,0.8115942028985508,0.08695652173913043,0.10144927536231885,0.0,0.42857142857142855,4.833333333333333,0.24324324324324326,0.3783783783783784,0.5428571428571428,0.0,0.5517011759445715,0.4877425641858253,0.4782608695652174,0.4782608695652174,0.6216216216216216,5.638888888888889,6.0,3173,380,1.0,0.5362318840579711,0.8115942028985508,0.08695652173913043,0.10144927536231885,0.0,24,6,0.34782608695652173,0.08695652173913043,0.42857142857142855,1.0,0.5362318840579711,0.5217391304347826
horizon_double,domestic_only,1,89,0,0,0,0,0,0,51,0,0,51,0,0,0,0,0,0,0,30,81,81,0,0,81,81,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6296296296296297,0.6296296296296297,,5.833333333333333,6.0,4765,431,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.37037037037037035
horizon_double,customer_only,1,89,0,0,0,0,0,0,69,0,22,47,0,0,0,0,0,0,0,12,59,81,0,0,59,0,59,0,0.7283950617283951,1.0,0.0,0.0,1.0,0.0,0.2716049382716049,,,0.2033898305084746,0.2033898305084746,0.3898305084745763,0.0,0.5220420782292962,0.5012402233684919,0.8518518518518519,0.7966101694915254,0.7966101694915254,4.333333333333333,4.5,6266,249,0.0,0.7283950617283951,0.0,0.7283950617283951,0.0,0.2716049382716049,0,0,0.0,0.0,,0.0,0.0,0.14814814814814814
horizon_double,both,1,89,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,0,0,38,81,81,0,0,81,80,46,45,0.5679012345679012,0.5679012345679012,0.9876543209876543,0.7901234567901234,0.037037037037037035,0.1728395061728395,0.0,0.453125,5.793103448275862,0.21739130434782608,0.41304347826086957,0.3333333333333333,0.0,0.5140233236629493,0.4976785497791543,0.5308641975308642,0.5308641975308642,0.5869565217391305,6.105263157894737,6.0,4102,483,0.9876543209876543,0.5679012345679012,0.7901234567901234,0.037037037037037035,0.1728395061728395,0.0,29,2,0.35802469135802467,0.024691358024691357,0.453125,0.6666666666666666,0.5555555555555556,0.4691358024691358
horizon_double,domestic_only,2,89,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,0,0,32,75,75,0,0,75,75,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5733333333333334,0.5733333333333334,,5.4375,5.0,4044,388,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.4266666666666667
horizon_double,customer_only,2,89,0,0,0,0,0,0,66,0,28,38,0,0,0,0,0,0,0,9,47,75,0,0,47,0,47,0,0.6266666666666667,1.0,0.0,0.0,1.0,0.0,0.37333333333333335,,,0.19148936170212766,0.19148936170212766,0.46808510638297873,0.0,0.594924844510955,0.5153276188673266,0.88,0.8085106382978723,0.8085106382978723,4.888888888888889,5.0,5984,184,0.0,0.6266666666666667,0.0,0.6266666666666667,0.0,0.37333333333333335,0,0,0.0,0.0,,0.0,0.0,0.12
horizon_double,both,2,89,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,43,75,75,0,0,75,75,34,34,0.4533333333333333,0.4533333333333333,1.0,0.8133333333333334,0.05333333333333334,0.13333333333333333,0.0,0.32786885245901637,6.3,0.2647058823529412,0.4117647058823529,0.4117647058823529,0.0,0.5860731019981987,0.5101471284731961,0.4266666666666667,0.4266666666666667,0.5882352941176471,6.27906976744186,6.0,3150,430,1.0,0.4533333333333333,0.8133333333333334,0.05333333333333334,0.13333333333333333,0.0,20,4,0.26666666666666666,0.05333333333333334,0.32786885245901637,1.0,0.4533333333333333,0.5733333333333334
horizon_double,domestic_only,3,89,0,0,0,0,0,0,61,0,0,61,0,0,0,0,0,0,0,23,84,84,0,0,84,84,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7261904761904762,0.7261904761904762,,6.173913043478261,6.0,5632,451,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.27380952380952384
horizon_double,customer_only,3,89,0,0,0,0,0,0,72,0,28,44,0,0,0,0,0,0,0,12,56,84,0,0,56,0,56,0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,,,0.21428571428571427,0.21428571428571427,0.39285714285714285,0.0,0.5871028658581411,0.49034429592992035,0.8571428571428571,0.7857142857142857,0.7857142857142857,4.666666666666667,5.0,6538,229,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0,0,0.0,0.0,,0.0,0.0,0.14285714285714285
horizon_double,both,3,89,0,0,0,0,0,0,48,0,0,48,0,0,0,0,0,0,0,36,84,84,0,0,84,80,41,37,0.4880952380952381,0.4880952380952381,0.9523809523809523,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.0,0.4027777777777778,5.793103448275862,0.21951219512195122,0.34146341463414637,0.38461538461538464,0.0,0.5436672946779793,0.4865717995096368,0.5714285714285714,0.5714285714285714,0.6585365853658537,5.722222222222222,6.0,4526,482,0.9523809523809523,0.4880952380952381,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.0,29,2,0.34523809523809523,0.023809523809523808,0.4027777777777778,0.3333333333333333,0.44047619047619047,0.42857142857142855
horizon_double,domestic_only,4,89,0,0,0,0,0,0,52,0,0,52,0,0,0,0,0,0,0,30,82,82,0,0,82,82,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6341463414634146,0.6341463414634146,,5.9,6.0,4857,443,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.36585365853658536
