block,seed,channel,total,loss,gain,loss_resolved_other,loss_still_unresolved,net_share
neither,16,d,81,6,0,1,5,-0.07407407407407407
neither,16,e,81,30,0,13,17,-0.37037037037037035
neither,17,d,85,11,0,1,10,-0.12941176470588237
neither,17,e,85,29,0,11,18,-0.3411764705882353
neither,18,d,71,7,0,1,6,-0.09859154929577464
neither,18,e,71,40,0,16,24,-0.5633802816901409
neither,19,d,75,5,0,1,4,-0.06666666666666667
neither,19,e,75,41,0,19,22,-0.5466666666666666
network_ws,0,d,69,0,0,0,0,0.0
network_ws,0,e,69,18,0,16,2,-0.2608695652173913
network_ws,1,d,81,1,0,1,0,-0.012345679012345678
network_ws,1,e,81,11,1,10,1,-0.12345679012345678
network_ws,2,d,75,0,0,0,0,0.0
network_ws,2,e,75,14,0,12,2,-0.18666666666666668
network_ws,3,d,84,3,0,3,0,-0.03571428571428571
network_ws,3,e,84,17,0,12,5,-0.20238095238095238
network_ws,4,d,82,3,0,3,0,-0.036585365853658534
network_ws,4,e,82,9,0,7,2,-0.10975609756097561
network_ws,5,d,85,1,0,1,0,-0.011764705882352941
network_ws,5,e,85,14,0,11,3,-0.16470588235294117
network_ws,6,d,86,1,0,1,0,-0.011627906976744186
network_ws,6,e,86,15,0,11,4,-0.1744186046511628
network_ws,7,d,84,0,0,0,0,0.0
network_ws,7,e,84,16,0,10,6,-0.19047619047619047
network_ws,8,d,71,0,0,0,0,0.0
network_ws,8,e,71,14,0,12,2,-0.19718309859154928
network_ws,9,d,64,0,0,0,0,0.0
network_ws,9,e,64,9,0,8,1,-0.140625
network_ws,10,d,77,0,0,0,0,0.0
network_ws,10,e,77,10,0,10,0,-0.12987012987012986
network_ws,11,d,75,0,0,0,0,0.0
network_ws,11,e,75,8,0,5,3,-0.10666666666666667
network_ws,12,d,77,1,0,1,0,-0.012987012987012988
network_ws,12,e,77,16,0,13,3,-0.2077922077922078
network_ws,13,d,88,6,0,6,0,-0.06818181818181818
network_ws,13,e,88,19,0,18,1,-0.2159090909090909
network_ws,14,d,69,0,0,0,0,0.0
network_ws,14,e,69,19,0,17,2,-0.2753623188405797
network_ws,15,d,78,2,0,2,0,-0.02564102564102564
network_ws,15,e,78,12,1,10,2,-0.14102564102564102
network_ws,16,d,81,1,0,1,0,-0.012345679012345678
network_ws,16,e,81,12,0,9,3,-0.14814814814814814
network_ws,17,d,85,1,0,1,0,-0.011764705882352941
network_ws,17,e,85,16,0,12,4,-0.18823529411764706
network_ws,18,d,71,1,0,1,0,-0.014084507042253521
network_ws,18,e,71,12,1,11,1,-0.15492957746478872
network_ws,19,d,75,1,0,1,0,-0.013333333333333334
network_ws,19,e,75,19,0,15,4,-0.25333333333333335
network_ba,0,d,69,0,0,0,0,0.0
network_ba,0,e,69,17,1,15,2,-0.2318840579710145
network_ba,1,d,81,1,0,1,0,-0.012345679012345678
network_ba,1,e,81,7,0,7,0,-0.08641975308641975
network_ba,2,d,75,0,0,0,0,0.0
network_ba,2,e,75,15,1,13,2,-0.18666666666666668
network_ba,3,d,84,4,0,4,0,-0.047619047619047616
network_ba,3,e,84,20,0,12,8,-0.23809523809523808
network_ba,4,d,82,3,0,3,0,-0.036585365853658534
network_ba,4,e,82,8,0,7,1,-0.0975609756097561
network_ba,5,d,85,1,0,1,0,-0.011764705882352941
network_ba,5,e,85,15,0,11,4,-0.17647058823529413
network_ba,6,d,86,1,0,1,0,-0.011627906976744186
network_ba,6,e,86,17,0,15,2,-0.19767441860465115
network_ba,7,d,84,0,0,0,0,0.0
network_ba,7,e,84,13,0,10,3,-0.15476190476190477
network_ba,8,d,71,0,0,0,0,0.0
network_ba,8,e,71,15,0,13,2,-0.2112676056338028
network_ba,9,d,64,2,0,2,0,-0.03125
network_ba,9,e,64,10,0,8,2,-0.15625
network_ba,10,d,77,0,0,0,0,0.0
network_ba,10,e,77,10,0,9,1,-0.12987012987012986
network_ba,11,d,75,0,0,0,0,0.0
network_ba,11,e,75,6,0,6,0,-0.08
network_ba,12,d,77,1,0,1,0,-0.012987012987012988
network_ba,12,e,77,19,1,15,4,-0.23376623376623376
network_ba,13,d,88,6,0,6,0,-0.06818181818181818
network_ba,13,e,88,20,1,17,3,-0.2159090909090909
network_ba,14,d,69,1,0,1,0,-0.014492753623188406
network_ba,14,e,69,15,0,15,0,-0.21739130434782608
network_ba,15,d,78,2,0,2,0,-0.02564102564102564
network_ba,15,e,78,10,1,9,1,-0.11538461538461539
