scenario,contrast,metric,n,mean,low,high
information_r0.6_f1,shock_difference_in_changes,potential,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,blocked,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,prevented,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,mean_prevention,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,knowledge_share,2,0.0,0.0,0.0
none_r0.0_f0,late_minus_before,cases,2,-1.5,-10.0,7.0
none_r0.0_f0,late_minus_early_after,cases,2,3.0,3.0,3.0
none_r0.0_f0,late_minus_before,customer_users,2,1.0,0.0,2.0
none_r0.0_f0,late_minus_early_after,customer_users,2,-1.0,-2.0,0.0
none_r0.0_f0,late_minus_before,customer_employees,2,1.0,0.0,2.0
none_r0.0_f0,late_minus_early_after,customer_employees,2,0.0,-1.0,1.0
none_r0.0_f0,late_minus_before,domestic_use,2,-0.045132699544464305,-0.056397306397306446,-0.033868092691622165
none_r0.0_f0,late_minus_early_after,domestic_use,2,0.026418688317899175,0.013480392156862697,0.03935698447893565
none_r0.0_f0,late_minus_before,customer_use,2,0.0212418300653595,0.012626262626262597,0.0298573975044564
none_r0.0_f0,late_minus_early_after,customer_use,2,-0.02994842615538456,-0.05376940133037701,-0.006127450980392107
none_r0.0_f0,late_minus_before,both_use,2,0.010348583877995652,0.0042087542087542,0.016488413547237103
none_r0.0_f0,late_minus_early_after,both_use,2,-0.02466876440154775,-0.026053215077605302,-0.023284313725490197
none_r0.0_f0,late_minus_before,first_customer,2,0.0228015448603684,0.012626262626262597,0.032976827094474206
none_r0.0_f0,late_minus_early_after,first_customer,2,-0.029335681057345353,-0.05376940133037701,-0.004901960784313694
none_r0.0_f0,late_minus_before,d_to_e,2,-0.0015597147950088992,-0.0031194295900177985,0.0
none_r0.0_f0,late_minus_early_after,d_to_e,2,-0.0006127450980391996,-0.0012254901960783993,0.0
none_r0.0_f0,late_minus_before,resolved,2,-0.060383244206773615,-0.06060606060606061,-0.06016042780748662
none_r0.0_f0,late_minus_early_after,resolved,2,-0.03130434546324071,-0.0687361419068736,0.006127450980392191
none_r0.0_f0,late_minus_before,unresolved,2,0.0603832442067736,0.06016042780748654,0.06060606060606066
none_r0.0_f0,late_minus_early_after,unresolved,2,0.03130434546324068,-0.006127450980392246,0.0687361419068736
none_r0.0_f0,late_minus_before,potential,2,6.5,-8.0,21.0
none_r0.0_f0,late_minus_early_after,potential,2,2.5,0.0,5.0
none_r0.0_f0,late_minus_before,blocked,2,8.0,2.0,14.0
none_r0.0_f0,late_minus_early_after,blocked,2,-0.5,-3.0,2.0
none_r0.0_f0,late_minus_before,prevented,2,0.0,0.0,0.0
none_r0.0_f0,late_minus_early_after,prevented,2,0.0,0.0,0.0
none_r0.0_f0,late_minus_before,mean_prevention,2,0.0,0.0,0.0
none_r0.0_f0,late_minus_early_after,mean_prevention,2,0.0,0.0,0.0
none_r0.0_f0,late_minus_before,knowledge_share,2,0.0,0.0,0.0
none_r0.0_f0,late_minus_early_after,knowledge_share,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,cases,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,customer_users,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,customer_employees,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,domestic_use,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,customer_use,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,both_use,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,first_customer,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,d_to_e,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,resolved,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,unresolved,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,potential,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,blocked,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,prevented,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,mean_prevention,2,0.0,0.0,0.0
none_r0.0_f0,shock_difference_in_changes,knowledge_share,2,0.0,0.0,0.0
none_r0.0_f1,late_minus_before,cases,2,-2.0,-10.0,6.0
none_r0.0_f1,late_minus_early_after,cases,2,5.0,4.0,6.0
none_r0.0_f1,late_minus_before,customer_users,2,1.0,0.0,2.0
none_r0.0_f1,late_minus_early_after,customer_users,2,0.0,-1.0,1.0
none_r0.0_f1,late_minus_before,customer_employees,2,1.0,0.0,2.0
none_r0.0_f1,late_minus_early_after,customer_employees,2,0.0,-1.0,1.0
none_r0.0_f1,late_minus_before,domestic_use,2,-0.03728956228956232,-0.056397306397306446,-0.018181818181818188
none_r0.0_f1,late_minus_early_after,domestic_use,2,0.03571354275015598,0.03229665071770327,0.03913043478260869
none_r0.0_f1,late_minus_before,customer_use,2,0.022222222222222254,0.012626262626262597,0.03181818181818191
none_r0.0_f1,late_minus_early_after,customer_use,2,-0.01201893072602455,-0.0370813397129187,0.013043478260869601
none_r0.0_f1,late_minus_before,both_use,2,0.01074074074074075,0.0042087542087542,0.0172727272727273
none_r0.0_f1,late_minus_early_after,both_use,2,-0.01669128354483045,-0.029904306220095697,-0.0034782608695652015
none_r0.0_f1,late_minus_before,first_customer,2,0.0235858585858586,0.012626262626262597,0.0345454545454546
none_r0.0_f1,late_minus_early_after,first_customer,2,-0.011149365508633248,-0.0370813397129187,0.014782608695652205
none_r0.0_f1,late_minus_before,d_to_e,2,-0.0013636363636363499,-0.0027272727272726997,0.0
none_r0.0_f1,late_minus_early_after,d_to_e,2,-0.0008695652173913004,-0.0017391304347826007,0.0
none_r0.0_f1,late_minus_before,resolved,2,-0.058030303030303015,-0.06060606060606061,-0.05545454545454542
none_r0.0_f1,late_minus_early_after,resolved,2,-0.021096317869773257,-0.0430622009569378,0.0008695652173912882
none_r0.0_f1,late_minus_before,unresolved,2,0.05803030303030304,0.05545454545454542,0.06060606060606066
none_r0.0_f1,late_minus_early_after,unresolved,2,0.02109631786977323,-0.0008695652173913437,0.0430622009569378
none_r0.0_f1,late_minus_before,potential,2,6.5,-8.0,21.0
none_r0.0_f1,late_minus_early_after,potential,2,2.5,0.0,5.0
none_r0.0_f1,late_minus_before,blocked,2,9.0,2.0,16.0
none_r0.0_f1,late_minus_early_after,blocked,2,1.5,0.0,3.0
none_r0.0_f1,late_minus_before,prevented,2,-0.5,-1.0,0.0
none_r0.0_f1,late_minus_early_after,prevented,2,-4.0,-4.0,-4.0
none_r0.0_f1,late_minus_before,mean_prevention,2,-0.00042579342353025323,-0.06609294859456871,0.0652413617475082
none_r0.0_f1,late_minus_early_after,mean_prevention,2,-0.0913289637223413,-0.186725408124928,0.004067480680245407
none_r0.0_f1,late_minus_before,knowledge_share,2,0.0,0.0,0.0
none_r0.0_f1,late_minus_early_after,knowledge_share,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,cases,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,customer_users,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,customer_employees,2,0.0,0.0,0.0
