case_id,employee,firm,created,submitted,responded,resolved,status,attempts,channels,compensation,processing_time,dispute_duration,observed_pending_time
39:0,39,0,0,3.0,3.0,3.0,resolved,1,domestic,1.0,0.0,3.0,0.0
40:0,40,6,0,,,,unsubmitted,0,,0.0,,,
42:0,42,1,0,,,,unsubmitted,0,,0.0,,,
43:0,43,1,0,,,,unsubmitted,0,,0.0,,,
44:0,44,1,0,1.0,1.0,5.0,resolved,4,domestic,1.0,4.0,5.0,4.0
47:0,47,1,0,2.0,2.0,8.0,resolved,5,domestic,1.0,6.0,8.0,6.0
49:0,49,3,0,,,,unsubmitted,0,,0.0,,,
50:0,50,3,0,,,,unsubmitted,0,,0.0,,,
54:0,54,6,0,11.0,11.0,11.0,resolved,1,domestic,1.0,0.0,11.0,0.0
55:0,55,3,0,,,,unsubmitted,0,,0.0,,,
59:0,59,0,0,7.0,7.0,9.0,resolved,3,domestic,1.0,2.0,9.0,2.0
60:0,60,7,0,,,,unsubmitted,0,,0.0,,,
61:0,61,2,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
63:0,63,1,0,4.0,4.0,5.0,resolved,2,domestic,1.0,1.0,5.0,1.0
65:0,65,0,0,5.0,5.0,5.0,resolved,1,domestic,1.0,0.0,5.0,0.0
66:0,66,7,0,,,,unsubmitted,0,,0.0,,,
67:0,67,2,0,,,,unsubmitted,0,,0.0,,,
68:0,68,3,0,2.0,2.0,6.0,resolved,5,domestic,1.0,4.0,6.0,4.0
69:0,69,2,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
70:0,70,3,0,6.0,6.0,6.0,resolved,1,domestic,1.0,0.0,6.0,0.0
71:0,71,0,0,3.0,3.0,3.0,resolved,1,domestic,1.0,0.0,3.0,0.0
74:0,74,3,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
76:0,76,0,0,,,,unsubmitted,0,,0.0,,,
77:0,77,3,0,4.0,4.0,4.0,resolved,1,domestic,1.0,0.0,4.0,0.0
78:0,78,5,0,6.0,6.0,6.0,resolved,1,domestic,1.0,0.0,6.0,0.0
81:0,81,4,0,8.0,8.0,12.0,resolved,5,domestic,1.0,4.0,12.0,4.0
82:0,82,4,0,7.0,7.0,7.0,resolved,1,domestic,1.0,0.0,7.0,0.0
83:0,83,3,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
84:0,84,1,0,1.0,1.0,9.0,resolved,7,domestic,1.0,8.0,9.0,8.0
85:0,85,3,0,,,,unsubmitted,0,,0.0,,,
86:0,86,0,0,,,,unsubmitted,0,,0.0,,,
89:0,89,6,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
90:0,90,2,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
91:0,91,0,0,,,,unsubmitted,0,,0.0,,,
92:0,92,4,0,4.0,4.0,5.0,resolved,2,domestic,1.0,1.0,5.0,1.0
94:0,94,7,0,,,,unsubmitted,0,,0.0,,,
95:0,95,0,0,11.0,11.0,11.0,resolved,1,domestic,1.0,0.0,11.0,0.0
96:0,96,5,0,2.0,2.0,4.0,resolved,2,domestic,1.0,2.0,4.0,2.0
98:0,98,5,0,11.0,11.0,11.0,resolved,1,domestic,1.0,0.0,11.0,0.0
99:0,99,6,0,9.0,9.0,9.0,resolved,1,domestic,1.0,0.0,9.0,0.0
100:0,100,5,0,,,,unsubmitted,0,,0.0,,,
101:0,101,1,0,7.0,7.0,7.0,resolved,1,domestic,1.0,0.0,7.0,0.0
102:0,102,0,0,7.0,7.0,7.0,resolved,1,domestic,1.0,0.0,7.0,0.0
105:0,105,2,0,1.0,1.0,1.0,resolved,1,domestic,1.0,0.0,1.0,0.0
106:0,106,6,0,11.0,11.0,12.0,resolved,2,domestic,1.0,1.0,12.0,1.0
107:0,107,7,0,5.0,5.0,5.0,resolved,1,domestic,1.0,0.0,5.0,0.0
109:0,109,6,0,,,,unsubmitted,0,,0.0,,,
110:0,110,7,0,8.0,8.0,8.0,resolved,1,domestic,1.0,0.0,8.0,0.0
112:0,112,7,0,4.0,4.0,5.0,resolved,2,domestic,1.0,1.0,5.0,1.0
114:0,114,4,0,1.0,1.0,2.0,resolved,2,domestic,1.0,1.0,2.0,1.0
116:0,116,2,0,3.0,3.0,4.0,resolved,2,domestic,1.0,1.0,4.0,1.0
117:0,117,7,0,11.0,11.0,12.0,resolved,2,domestic,1.0,1.0,12.0,1.0
118:0,118,3,0,1.0,1.0,1.0,resolved,1,domestic,1.0,0.0,1.0,0.0
119:0,119,1,0,1.0,1.0,8.0,resolved,5,domestic,1.0,7.0,8.0,7.0
120:0,120,1,0,9.0,9.0,12.0,resolved,4,domestic,1.0,3.0,12.0,3.0
122:0,122,3,0,,,,unsubmitted,0,,0.0,,,
123:0,123,5,0,,,,unsubmitted,0,,0.0,,,
125:0,125,3,0,,,,unsubmitted,0,,0.0,,,
126:0,126,2,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
128:0,128,7,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
129:0,129,1,0,,,,unsubmitted,0,,0.0,,,
133:0,133,2,0,,,,unsubmitted,0,,0.0,,,
135:0,135,0,0,4.0,4.0,4.0,resolved,1,domestic,1.0,0.0,4.0,0.0
137:0,137,6,0,8.0,8.0,11.0,resolved,4,domestic,1.0,3.0,11.0,3.0
141:0,141,0,0,9.0,9.0,9.0,resolved,1,domestic,1.0,0.0,9.0,0.0
143:0,143,3,0,1.0,1.0,1.0,resolved,1,domestic,1.0,0.0,1.0,0.0
144:0,144,2,0,5.0,5.0,6.0,resolved,2,domestic,1.0,1.0,6.0,1.0
146:0,146,5,0,10.0,10.0,11.0,resolved,2,domestic,1.0,1.0,11.0,1.0
147:0,147,7,0,5.0,5.0,5.0,resolved,1,domestic,1.0,0.0,5.0,0.0
151:0,151,5,0,3.0,3.0,3.0,resolved,1,domestic,1.0,0.0,3.0,0.0
152:0,152,7,0,,,,unsubmitted,0,,0.0,,,
153:0,153,1,0,6.0,6.0,6.0,resolved,1,domestic,1.0,0.0,6.0,0.0
154:0,154,2,0,6.0,6.0,12.0,resolved,7,domestic,1.0,6.0,12.0,6.0
155:0,155,5,0,3.0,3.0,3.0,resolved,1,domestic,1.0,0.0,3.0,0.0
156:0,156,4,0,3.0,3.0,4.0,resolved,2,domestic,1.0,1.0,4.0,1.0
