time,case_id,employee,event
11,117:0,117,responded
11,117:0,117,attempted
12,120:0,120,attempted
12,120:0,120,resolved
12,9:0,9,attempted
12,154:0,154,attempted
12,154:0,154,resolved
12,81:0,81,attempted
12,81:0,81,resolved
12,106:0,106,attempted
12,106:0,106,resolved
12,117:0,117,attempted
12,117:0,117,resolved
13,9:0,9,attempted
13,9:0,9,resolved
