scenario,population,metric,contrast,n,mean,low,high
followup_12,all,e_to_d,late_minus_base,2,-0.025913621262458456,-0.028571428571428553,-0.023255813953488358
followup_12,all,resolved,late,2,0.4299003322259136,0.37142857142857144,0.4883720930232558
followup_12,all,resolved,change,2,0.05620695243497284,0.01428571428571429,0.09812819058423139
followup_12,all,resolved,late_minus_base,2,-0.04019933554817276,-0.057142857142857106,-0.023255813953488413
followup_12,both_reachable,domestic_use,late,2,0.6990740740740741,0.6944444444444444,0.7037037037037037
followup_12,both_reachable,domestic_use,change,2,-0.013242102396514188,-0.01504629629629628,-0.011437908496732097
followup_12,both_reachable,domestic_use,late_minus_base,2,-0.032407407407407385,-0.03703703703703698,-0.02777777777777779
followup_12,both_reachable,customer_use,late,2,0.7083333333333333,0.6388888888888888,0.7777777777777778
followup_12,both_reachable,customer_use,change,2,0.027267156862745057,-0.06699346405228768,0.12152777777777779
followup_12,both_reachable,customer_use,late_minus_base,2,-0.04629629629629628,-0.05555555555555558,-0.03703703703703698
followup_12,both_reachable,customer_minus_domestic,late,2,0.009259259259259245,-0.05555555555555555,0.07407407407407404
followup_12,both_reachable,customer_minus_domestic,change,2,0.040509259259259224,-0.055555555555555566,0.13657407407407401
followup_12,both_reachable,customer_minus_domestic,late_minus_base,2,-0.013888888888888888,-0.027777777777777776,0.0
followup_12,both_reachable,first_d,late,2,0.4583333333333333,0.4444444444444444,0.4722222222222222
followup_12,both_reachable,first_d,change,2,-0.027879901960784326,-0.08680555555555558,0.03104575163398693
followup_12,both_reachable,first_d,late_minus_base,2,0.0,0.0,0.0
followup_12,both_reachable,first_e,late,2,0.5092592592592593,0.5,0.5185185185185185
followup_12,both_reachable,first_e,change,2,0.024884259259259245,0.0,0.04976851851851849
followup_12,both_reachable,first_e,late_minus_base,2,0.0,0.0,0.0
followup_12,both_reachable,first_both,late,2,0.013888888888888883,0.0,0.027777777777777766
followup_12,both_reachable,first_both,change,2,0.013888888888888883,0.0,0.027777777777777766
followup_12,both_reachable,first_both,late_minus_base,2,0.0,0.0,0.0
followup_12,both_reachable,domestic_only,late,2,0.27314814814814814,0.18518518518518512,0.3611111111111111
followup_12,both_reachable,domestic_only,change,2,-0.016373910675381298,-0.15856481481481488,0.12581699346405228
followup_12,both_reachable,domestic_only,late_minus_base,2,0.046296296296296266,0.03703703703703701,0.055555555555555525
followup_12,both_reachable,customer_only,late,2,0.2824074074074074,0.2592592592592592,0.3055555555555556
followup_12,both_reachable,customer_only,change,2,0.024135348583878016,-0.02199074074074081,0.07026143790849684
followup_12,both_reachable,customer_only,late_minus_base,2,0.03240740740740741,0.02777777777777779,0.037037037037037035
followup_12,both_reachable,both_use,late,2,0.4259259259259259,0.33333333333333326,0.5185185185185185
followup_12,both_reachable,both_use,change,2,0.003131808278867082,-0.13725490196078433,0.1435185185185185
followup_12,both_reachable,both_use,late_minus_base,2,-0.07870370370370369,-0.08333333333333331,-0.07407407407407407
followup_12,both_reachable,no_submission,late,2,0.01851851851851851,0.0,0.03703703703703702
followup_12,both_reachable,no_submission,change,2,-0.010893246187363835,-0.05882352941176469,0.03703703703703702
followup_12,both_reachable,no_submission,late_minus_base,2,0.0,0.0,0.0
followup_12,both_reachable,d_to_e,late,2,0.18518518518518512,0.11111111111111108,0.2592592592592592
followup_12,both_reachable,d_to_e,change,2,-0.011505991285403097,-0.09477124183006538,0.07175925925925919
followup_12,both_reachable,d_to_e,late_minus_base,2,-0.04629629629629632,-0.05555555555555555,-0.03703703703703709
followup_12,both_reachable,e_to_d,late,2,0.2268518518518518,0.19444444444444445,0.2592592592592592
followup_12,both_reachable,e_to_d,change,2,0.0007489106753812563,-0.07026143790849668,0.07175925925925919
followup_12,both_reachable,e_to_d,late_minus_base,2,-0.0324074074074074,-0.037037037037037035,-0.027777777777777762
followup_12,both_reachable,resolved,late,2,0.4305555555555556,0.3333333333333333,0.5277777777777778
followup_12,both_reachable,resolved,change,2,0.06750408496732027,-0.010416666666666685,0.14542483660130723
followup_12,both_reachable,resolved,late_minus_base,2,-0.05092592592592593,-0.07407407407407407,-0.02777777777777779
followup_48,all,domestic_use,late,2,0.8239202657807309,0.7906976744186046,0.8571428571428571
followup_48,all,domestic_use,change,2,-0.06777543689058158,-0.11174134997163931,-0.023809523809523836
followup_48,all,domestic_use,late_minus_base,2,0.05182724252491688,0.046511627906976716,0.05714285714285705
followup_48,all,customer_use,late,2,0.604983388704319,0.5813953488372093,0.6285714285714286
followup_48,all,customer_use,change,2,-0.00970882964643599,-0.052750992626205306,0.033333333333333326
followup_48,all,customer_use,late_minus_base,2,0.0,0.0,0.0
followup_48,all,customer_minus_domestic,late,2,-0.21893687707641196,-0.22857142857142856,-0.20930232558139536
followup_48,all,customer_minus_domestic,change,2,0.058066607244145474,0.057142857142857134,0.058990357345433814
followup_48,all,customer_minus_domestic,late_minus_base,2,-0.05182724252491698,-0.05714285714285719,-0.04651162790697677
followup_48,all,first_d,late,2,0.5674418604651162,0.5348837209302325,0.6
followup_48,all,first_d,change,2,-0.046669637792723484,-0.05048213272830404,-0.04285714285714293
followup_48,all,first_d,late_minus_base,2,0.01428571428571429,0.0,0.02857142857142858
followup_48,all,first_e,late,2,0.40930232558139534,0.4,0.4186046511627907
followup_48,all,first_e,change,2,0.0234138238392351,0.003970504821327325,0.04285714285714287
followup_48,all,first_e,late_minus_base,2,0.0,0.0,0.0
followup_48,all,first_both,late,2,0.011627906976744186,0.0,0.023255813953488372
followup_48,all,first_both,change,2,0.011627906976744186,0.0,0.023255813953488372
followup_48,all,first_both,late_minus_base,2,0.0,0.0,0.0
followup_48,all,domestic_only,late,2,0.3833887043189369,0.37142857142857144,0.3953488372093023
followup_48,all,domestic_only,change,2,-0.0019190773303081887,-0.033333333333333326,0.02949517867271695
followup_48,all,domestic_only,late_minus_base,2,0.01428571428571429,0.0,0.02857142857142858
followup_48,all,customer_only,late,2,0.16445182724252488,0.1428571428571428,0.18604651162790695
followup_48,all,customer_only,change,2,0.0561475299138373,0.023809523809523753,0.08848553601815085
followup_48,all,customer_only,late_minus_base,2,-0.03754152823920266,-0.046511627906976744,-0.02857142857142858
followup_48,all,both_use,late,2,0.440531561461794,0.3953488372093023,0.4857142857142857
followup_48,all,both_use,change,2,-0.06585635956027336,-0.14123652864435626,0.009523809523809545
followup_48,all,both_use,late_minus_base,2,0.03754152823920265,0.02857142857142858,0.046511627906976716
followup_48,all,no_submission,late,2,0.011627906976744186,0.0,0.023255813953488372
