time,expected_wait_d,expected_wait_e,scenario,seed
22,2.807166477702192,2.8576814058956916,wait_no_outcomes,0
23,2.8434202059202063,2.8396396396396395,wait_no_outcomes,0
24,2.8717727567217364,2.8826044703595723,wait_no_outcomes,0
25,2.858476375046142,2.874640088593577,wait_no_outcomes,0
26,2.8587477954144616,2.8742592592592593,wait_no_outcomes,0
27,2.862293488824101,2.8804421768707478,wait_no_outcomes,0
28,2.8626763668430333,2.8698148148148146,wait_no_outcomes,0
29,2.889686673280423,2.887673611111111,wait_no_outcomes,0
30,2.898872180451128,2.889766081871345,wait_no_outcomes,0
31,2.868970458553792,2.85950176366843,wait_no_outcomes,0
32,2.850807574491785,2.883208020050125,wait_no_outcomes,0
33,2.853215654077723,2.887171592775041,wait_no_outcomes,0
34,2.8926977040816326,2.876785714285714,wait_no_outcomes,0
35,2.8792978208232447,2.9101694915254237,wait_no_outcomes,0
36,2.8831593406593403,2.864249084249084,wait_no_outcomes,0
37,2.8325585789871504,2.8892479213907785,wait_no_outcomes,0
38,2.8465608465608465,2.8820483749055175,wait_no_outcomes,0
39,2.87648401826484,2.8611056751467707,wait_no_outcomes,0
40,2.800509768009768,2.8187179487179486,wait_no_outcomes,0
41,2.8531629318394027,2.84546568627451,wait_no_outcomes,0
42,2.86049627669998,2.8626543209876543,wait_no_outcomes,0
43,2.8535638939119954,2.8178119349005426,wait_no_outcomes,0
44,2.8180079365079362,2.8202857142857143,wait_no_outcomes,0
45,2.849174107142857,2.8449999999999998,wait_no_outcomes,0
46,2.8211843711843714,2.824404761904762,wait_no_outcomes,0
47,2.837940917107584,2.842982069370958,wait_no_outcomes,0
48,2.8443098072562356,2.8600552721088435,wait_no_outcomes,0
49,2.8326793062904176,2.853123162845385,wait_no_outcomes,0
50,2.8425558495002936,2.859634038800705,wait_no_outcomes,0
51,2.8703262786596118,2.864263668430335,wait_no_outcomes,0
52,2.869955357142857,2.8637127976190473,wait_no_outcomes,0
53,2.886875,2.869441964285714,wait_no_outcomes,0
54,2.886875,2.881875,wait_no_outcomes,0
