scenario,seed,population,period,domestic_use,customer_use,customer_minus_domestic,first_d,first_e,first_both,domestic_only,customer_only,both_use,no_submission,d_to_e,e_to_d,resolved
grid_r0.4_c1.0,1,both_reachable,late,0.75,0.75,-1.1102230246251566e-17,0.35,0.65,0.0,0.25,0.25,0.5,0.0,0.1,0.4,0.4
grid_r0.4_c1.5,0,all,early,0.8780487804878049,0.19512195121951217,-0.6829268292682927,0.8048780487804879,0.1463414634146341,0.0,0.7560975609756098,0.07317073170731703,0.12195121951219508,0.04878048780487801,0.04878048780487801,0.07317073170731703,0.36585365853658536
grid_r0.4_c1.5,0,all,late,0.9069767441860465,0.2093023255813953,-0.6976744186046512,0.813953488372093,0.11627906976744182,0.0,0.7209302325581395,0.023255813953488365,0.18604651162790695,0.0697674418604651,0.09302325581395347,0.09302325581395347,0.4186046511627907
grid_r0.4_c1.5,0,both_reachable,early,0.7692307692307693,0.6153846153846154,-0.15384615384615385,0.5384615384615384,0.46153846153846156,0.0,0.38461538461538464,0.23076923076923073,0.38461538461538464,0.0,0.15384615384615377,0.23076923076923073,0.38461538461538464
grid_r0.4_c1.5,0,both_reachable,late,0.9230769230769231,0.6923076923076923,-0.23076923076923078,0.6153846153846154,0.38461538461538464,0.0,0.3076923076923077,0.07692307692307689,0.6153846153846154,0.0,0.3076923076923076,0.3076923076923077,0.38461538461538464
grid_r0.4_c1.5,1,all,early,0.9285714285714286,0.16666666666666666,-0.7619047619047619,0.8333333333333334,0.14285714285714285,0.0,0.8095238095238095,0.047619047619047616,0.119047619047619,0.023809523809523774,0.023809523809523784,0.09523809523809522,0.3333333333333333
grid_r0.4_c1.5,1,all,late,0.8571428571428571,0.2857142857142857,-0.5714285714285714,0.6571428571428571,0.2571428571428571,0.0,0.6285714285714286,0.057142857142857106,0.22857142857142856,0.08571428571428572,0.028571428571428567,0.2,0.34285714285714286
grid_r0.4_c1.5,1,both_reachable,early,0.8888888888888888,0.3888888888888889,-0.5,0.6666666666666666,0.3333333333333333,0.0,0.6111111111111112,0.1111111111111111,0.2777777777777778,0.0,0.05555555555555555,0.2222222222222222,0.4444444444444444
grid_r0.4_c1.5,1,both_reachable,late,0.85,0.5,-0.35000000000000003,0.5,0.45,0.0,0.45,0.1,0.39999999999999997,0.049999999999999996,0.05,0.35,0.45
grid_r0.7_c0.5,0,all,early,0.7804878048780488,0.5365853658536586,-0.2439024390243902,0.4878048780487805,0.4878048780487805,0.0,0.43902439024390244,0.19512195121951215,0.34146341463414637,0.024390243902438987,0.04878048780487803,0.2926829268292683,0.4634146341463415
grid_r0.7_c0.5,0,all,late,0.7209302325581395,0.6046511627906976,-0.11627906976744182,0.5581395348837209,0.3953488372093023,0.046511627906976744,0.3953488372093023,0.27906976744186046,0.3255813953488372,0.0,0.16279069767441862,0.11627906976744182,0.4418604651162791
grid_r0.7_c0.5,0,both_reachable,early,0.6923076923076923,0.8461538461538461,0.15384615384615383,0.2307692307692307,0.7692307692307693,0.0,0.15384615384615377,0.3076923076923077,0.5384615384615384,0.0,0.07692307692307689,0.46153846153846156,0.46153846153846156
grid_r0.7_c0.5,0,both_reachable,late,0.6,0.8666666666666667,0.2666666666666666,0.3666666666666666,0.5666666666666667,0.06666666666666667,0.1333333333333333,0.4,0.4666666666666667,0.0,0.2333333333333333,0.16666666666666663,0.4666666666666667
