case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,retired_at,scenario,seed
35:0,35,2,0,0.0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.6763492859050528,False,0.449602394594256,3.0,,remedy_supported,3.0,3.0,3.0,3.0,1,,objective_r0.6_f1_h96,8
18:1,18,1,1,1.0,1.0,4.0,3.0,6.0,,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d,resolved,0.28946718381769776,True,0.6,3.0,7.0,no_remedy,,6.0,6.0,6.0,0,,objective_r0.6_f1_h96,8
19:1,19,5,1,1.0,1.0,4.0,3.0,6.0,,6.0,,7.0,closed_unresolved,closed_unresolved,,,0.0,d,archived_unresolved,0.23877494264721344,True,0.4046480530839883,3.0,7.0,no_remedy,,,162.0,162.0,2,97.0,objective_r0.6_f1_h96,8
111:1,111,4,1,1.0,5.0,1.0,7.0,3.0,,3.0,,4.0,closed_unresolved,closed_unresolved,,,0.0,e,archived_unresolved,0.7636814179263458,True,0.5593429267840302,7.0,4.0,no_remedy,,,162.0,162.0,1,97.0,objective_r0.6_f1_h96,8
1:2,1,1,2,2.0,,2.0,,4.0,,4.0,,5.0,unused,successful,5.0,e,1.0,e,resolved,0.6089112227427,True,0.6,,5.0,,,3.0,3.0,3.0,0,,objective_r0.6_f1_h96,8
87:2,87,2,2,2.0,,2.0,,4.0,,,,,unused,closed_unresolved,,,0.0,e,archived_unresolved,0.7263752919746072,True,0.449602394594256,,4.0,,,,161.0,161.0,1,98.0,objective_r0.6_f1_h96,8
119:3,119,2,3,3.0,3.0,,5.0,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.744673822479994,True,0.449602394594256,6.0,,remedy_supported,6.0,3.0,3.0,3.0,1,,objective_r0.6_f1_h96,8
46:4,46,5,4,4.0,9.0,4.0,11.0,7.0,,7.0,12.0,8.0,closed_unresolved,closed_unresolved,,,0.0,e,archived_unresolved,0.8941158996911422,True,0.4046480530839883,12.0,8.0,remedy_supported,12.0,,159.0,159.0,2,100.0,objective_r0.6_f1_h96,8
68:4,68,2,4,10.0,10.0,,12.0,,,,13.0,,successful,unused,13.0,d,1.0,d,resolved,0.9033661889908224,False,0.449602394594256,13.0,,remedy_supported,13.0,3.0,3.0,9.0,1,,objective_r0.6_f1_h96,8
113:4,113,3,4,4.0,4.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.6617371411095336,False,0.4463873497952859,7.0,,remedy_supported,7.0,3.0,3.0,3.0,-1,,objective_r0.6_f1_h96,8
15:5,15,5,5,5.0,5.0,,7.0,,,,8.0,,successful,unused,8.0,d,1.0,d,resolved,0.6860218074456768,True,0.4046480530839883,8.0,,remedy_supported,8.0,3.0,3.0,3.0,2,,objective_r0.6_f1_h96,8
