scenario,seed,period,rho,feedback,cases,employees,domestic_users,customer_users,customer_employees,domestic_employees,domestic_use,customer_use,both_use,first_customer,d_to_e,resolved,unresolved,potential,blocked,prevented,mean_prevention,knowledge_share
objective_r0.6_f1_h96,9,before,0.6,True,42,38,31,19,19,28,0.7380952380952381,0.4523809523809524,0.2619047619047619,0.35714285714285715,0.09523809523809523,0.3333333333333333,0.6666666666666666,89,20,27,0.5045081789422523,1.0
objective_r0.6_f1_h96,9,early_after,0.6,True,22,22,15,14,14,15,0.6818181818181818,0.6363636363636364,0.3181818181818182,0.5,0.13636363636363635,0.5454545454545454,0.45454545454545453,65,30,13,0.4667343294455282,1.0
objective_r0.6_f1_h96,9,late_after,0.6,True,27,26,21,15,14,20,0.7777777777777778,0.5555555555555556,0.37037037037037035,0.37037037037037035,0.18518518518518517,0.5555555555555556,0.4444444444444444,71,20,24,0.52481566404745,1.0
none_r0.0_f0,10,before,0.0,False,39,36,31,0,0,28,0.7948717948717948,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,57,18,0,0.0,0.1666666666666667
none_r0.0_f0,10,early_after,0.0,False,46,46,34,2,2,34,0.7391304347826086,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.30434782608695654,0.6956521739130435,78,32,0,0.0,0.1666666666666667
none_r0.0_f0,10,late_after,0.0,False,40,38,33,1,1,31,0.825,0.025,0.0,0.025,0.0,0.275,0.725,60,20,0,0.0,0.1666666666666667
none_r0.0_f1,10,before,0.0,True,39,36,31,0,0,28,0.7948717948717948,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,57,18,0,0.0,0.1666666666666667
none_r0.0_f1,10,early_after,0.0,True,45,45,33,2,2,33,0.7333333333333333,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.3111111111111111,0.6888888888888889,78,31,2,0.06263824389087301,0.1666666666666667
none_r0.0_f1,10,late_after,0.0,True,38,36,31,1,1,29,0.8157894736842105,0.02631578947368421,0.0,0.02631578947368421,0.0,0.2631578947368421,0.7368421052631579,60,20,2,0.09612964055498231,0.1666666666666667
none_r0.6_f0,10,before,0.6,False,42,37,39,10,9,34,0.9285714285714286,0.23809523809523808,0.16666666666666666,0.16666666666666666,0.07142857142857142,0.5,0.5,57,15,0,0.0,1.0
none_r0.6_f0,10,early_after,0.6,False,48,46,44,11,11,42,0.9166666666666666,0.22916666666666666,0.16666666666666666,0.14583333333333334,0.08333333333333333,0.4375,0.5625,78,30,0,0.0,1.0
none_r0.6_f0,10,late_after,0.6,False,42,41,37,15,15,37,0.8809523809523809,0.35714285714285715,0.2857142857142857,0.16666666666666666,0.14285714285714285,0.2619047619047619,0.7380952380952381,60,18,0,0.0,1.0
none_r0.6_f1,10,before,0.6,True,37,35,35,8,8,33,0.9459459459459459,0.21621621621621623,0.16216216216216217,0.13513513513513514,0.08108108108108109,0.43243243243243246,0.5675675675675675,57,16,4,0.1635093191129193,1.0
none_r0.6_f1,10,early_after,0.6,True,41,40,39,8,8,38,0.9512195121951219,0.1951219512195122,0.17073170731707318,0.14634146341463414,0.04878048780487805,0.3902439024390244,0.6097560975609756,78,23,14,0.243332498940894,1.0
none_r0.6_f1,10,late_after,0.6,True,36,34,36,11,11,34,1.0,0.3055555555555556,0.3055555555555556,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.6666666666666666,60,19,5,0.197954165983801,1.0
objective_r0.0_f0,10,before,0.0,False,39,36,31,0,0,28,0.7948717948717948,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,57,18,0,0.0,0.1666666666666667
objective_r0.0_f0,10,early_after,0.0,False,47,47,35,3,3,35,0.7446808510638298,0.06382978723404255,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.3191489361702128,0.6808510638297872,78,31,0,0.0,0.1666666666666667
objective_r0.0_f0,10,late_after,0.0,False,41,39,34,2,2,32,0.8292682926829268,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.2926829268292683,0.7073170731707317,60,19,0,0.0,0.1666666666666667
objective_r0.0_f1,10,before,0.0,True,39,36,31,0,0,28,0.7948717948717948,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,57,18,0,0.0,0.1666666666666667
objective_r0.0_f1,10,early_after,0.0,True,44,44,32,3,3,32,0.7272727272727273,0.06818181818181818,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.3181818181818182,0.6818181818181818,78,30,4,0.11017702893716626,0.1666666666666667
objective_r0.0_f1,10,late_after,0.0,True,36,34,29,2,2,27,0.8055555555555556,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.2777777777777778,0.7222222222222222,60,18,6,0.21882314239463713,0.1666666666666667
