time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,mean_belief_d,mean_belief_e,informed_share,disputed_share,block,arm,seed
1,0,0,0,0,0,0,5,5,0,0,4,4,0,0,0,1,0,0,5,5,4,1,0.447479446485868,0.451172748634774,0.0,0.20833333333333334,main,network_notice,1
2,3,3,3,3,0,0,8,4,0,4,4,3,1,1,0,0,0,0,8,8,4,1,0.447479446485868,0.451172748634774,0.0,0.3333333333333333,main,network_notice,1
3,0,0,0,1,2,3,8,6,0,2,4,4,0,0,0,2,0,0,8,8,7,1,0.43662412823416547,0.43887561695142646,0.0,0.3333333333333333,main,network_notice,1
4,0,0,0,0,0,0,8,4,0,4,2,1,1,1,0,2,0,0,8,8,4,2,0.45319391349212457,0.43887561695142646,0.08333333333333333,0.3333333333333333,main,network_notice,1
5,0,0,0,0,0,0,7,0,0,7,0,0,0,0,1,0,1,1,8,8,4,2,0.48315323339224014,0.43887561695142646,0.25,0.3333333333333333,main,network_notice,1
6,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,1,8,8,1,2,0.5104847360167001,0.43909263663303905,0.3333333333333333,0.2916666666666667,main,network_notice,1
7,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,1,8,8,0,0,0.5551910925767601,0.43909263663303905,0.5,0.2916666666666667,main,network_notice,1
8,1,1,1,1,0,0,8,1,0,7,1,1,0,0,0,0,0,1,9,9,0,0,0.6235827312821384,0.43909263663303905,0.6666666666666666,0.3333333333333333,main,network_notice,1
9,0,0,0,0,0,0,8,1,0,7,1,1,0,0,0,0,0,1,9,9,1,0,0.7041461131525347,0.451172748634774,0.9166666666666666,0.3333333333333333,main,network_notice,1
10,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,1,9,9,1,0,0.7041461131525347,0.451172748634774,0.9166666666666666,0.3333333333333333,main,network_notice,1
11,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,1,9,9,1,0,0.7003582648994237,0.451172748634774,0.9583333333333334,0.3333333333333333,main,network_notice,1
12,1,1,1,1,0,0,9,1,0,8,1,1,0,0,0,0,0,1,10,10,0,0,0.7003582648994237,0.451172748634774,0.9583333333333334,0.375,main,network_notice,1
13,0,0,0,0,0,0,9,1,0,8,1,1,0,0,0,0,0,1,10,10,1,0,0.7003582648994237,0.451172748634774,0.9583333333333334,0.375,main,network_notice,1
14,1,1,1,1,0,0,10,2,0,8,2,1,1,1,0,0,0,1,11,11,1,0,0.7158127798192013,0.451172748634774,0.9583333333333334,0.4166666666666667,main,network_notice,1
15,0,0,0,0,0,0,9,1,0,8,1,1,0,0,1,0,1,2,11,11,2,0,0.7158127798192013,0.451172748634774,0.9583333333333334,0.4166666666666667,main,network_notice,1
16,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,2,11,11,1,0,0.7261758307387124,0.451172748634774,0.9583333333333334,0.375,main,network_notice,1
17,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,2,11,11,1,0,0.7080216364602383,0.451172748634774,0.9583333333333334,0.375,main,network_notice,1
