block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,t0_first_e,t0_first_both,t0_first_count,pre_first_e,pre_first_both,pre_first_count,post_first_e,post_first_both,post_first_count,pre_domestic_cohort_count,pre_domestic_later_e,post_customer_submissions,post_mean_belief_d,final_belief_d,final_informed
network_ws,immediate,0,17,1,1,1,1,0,0,9,2,0,7,2,1,1,1,0,0,1,9,14,18,1,2,18,17,12,11,0.6666666666666666,0.6666666666666666,0.9444444444444444,0.6111111111111112,0.1111111111111111,0.2777777777777778,0.0,0.45454545454545453,3.0,0.4166666666666667,0.5,0.6666666666666666,0.25,0.6016478881391897,0.4971380148562566,0.5,0.5,0.5,3.6666666666666665,3.0,146,61,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.0,0.2222222222222222,9,4,0.25,6,0.6953227346595676,0.7217320622663957,1.0
network_ws,immediate,1,17,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,2,11,11,1,0,11,11,3,3,0.2727272727272727,0.2727272727272727,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.2,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,0.8181818181818182,0.8181818181818182,1.0,3.0,3.0,142,31,0.2,0.0,5,0.125,0.0,8,0.0,0.0,3,7,0.0,0,0.7104699542518295,0.7197609817360769,1.0
network_ws,network_notice,0,17,1,1,1,1,0,0,9,2,0,7,2,1,1,1,0,0,1,9,14,18,1,2,18,17,12,11,0.6666666666666666,0.6666666666666666,0.9444444444444444,0.6111111111111112,0.1111111111111111,0.2777777777777778,0.0,0.45454545454545453,3.0,0.4166666666666667,0.5,0.6666666666666666,0.25,0.6016478881391897,0.4971380148562566,0.5,0.5,0.5,3.6666666666666665,3.0,146,61,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.0,0.2222222222222222,9,4,0.25,6,0.6314894013262342,0.7217320622663957,1.0
network_ws,network_notice,1,17,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,2,11,11,1,0,11,11,3,3,0.2727272727272727,0.2727272727272727,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.2,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,0.8181818181818182,0.8181818181818182,1.0,3.0,3.0,142,31,0.2,0.0,5,0.125,0.0,8,0.0,0.0,3,7,0.0,0,0.6528699542518295,0.7197609817360769,1.0
network_ba,unchanged,0,17,0,0,0,0,0,0,11,2,0,9,1,1,0,0,0,1,1,6,14,17,1,3,17,13,14,10,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.0,0.625,3.0,0.35714285714285715,0.35714285714285715,0.6428571428571429,0.21428571428571427,0.6082641924080098,0.49040401273393425,0.6470588235294118,0.6470588235294118,0.6428571428571429,4.0,3.0,160,59,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.5,0.0,8,4,0.25,8,0.4207221616050026,0.4367490581253664,0.0
network_ba,unchanged,1,17,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,1,11,11,1,0,11,11,3,3,0.2727272727272727,0.2727272727272727,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.2,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,0.9090909090909091,0.9090909090909091,1.0,3.0,3.0,155,30,0.2,0.0,5,0.125,0.0,8,0.0,0.0,3,7,0.0,0,0.43438386798056555,0.4471066379289268,0.0
network_ba,no_notice,0,17,1,1,1,1,0,0,11,3,0,8,2,2,0,0,0,1,1,7,14,18,1,3,18,14,14,10,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5,0.3333333333333333,0.16666666666666666,0.0,0.5555555555555556,3.0,0.35714285714285715,0.35714285714285715,0.6428571428571429,0.21428571428571427,0.6082641924080098,0.49040401273393425,0.6111111111111112,0.6111111111111112,0.6428571428571429,3.857142857142857,3.0,156,61,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.4444444444444444,0.0,9,4,0.25,8,0.42468809420180553,0.4367490581253664,0.0
network_ba,no_notice,1,17,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,2,11,11,1,0,11,11,3,3,0.2727272727272727,0.2727272727272727,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.2,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,0.8181818181818182,0.8181818181818182,1.0,3.0,3.0,142,31,0.2,0.0,5,0.125,0.0,8,0.0,0.0,3,7,0.0,0,0.43792880726024563,0.4471066379289268,0.0
network_ba,immediate,0,17,1,1,1,1,0,0,10,2,0,8,2,1,1,1,0,0,1,8,14,18,1,2,18,17,12,11,0.6666666666666666,0.6666666666666666,0.9444444444444444,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.0,0.5,3.0,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.25,0.6016478881391897,0.4971380148562566,0.5555555555555556,0.5555555555555556,0.5833333333333334,3.75,3.0,157,63,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.0,0.1111111111111111,9,4,0.25,6,0.6927738394515733,0.719251261319695,1.0
network_ba,immediate,1,17,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,2,11,11,1,0,11,11,3,3,0.2727272727272727,0.2727272727272727,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.2,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,0.8181818181818182,0.8181818181818182,1.0,3.0,3.0,142,31,0.2,0.0,5,0.125,0.0,8,0.0,0.0,3,7,0.0,0,0.7077538072602456,0.7148566379289267,1.0
