scenario,seed,time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
delayed,14,49,0,0,0,0,8,0,0,85,85,93,8,8,8,0,0,0,0,85,0.08602150537634409,0.0,5.247058823529412,1.0,0.0,0.0
delayed,15,49,0,0,0,0,81,0,0,16,16,97,81,81,81,0,0,0,0,16,0.8350515463917526,0.0,4.5,1.0,0.0,0.0
delayed,16,49,0,0,0,0,19,0,0,66,66,85,19,19,19,0,0,0,0,66,0.2235294117647059,0.0,4.9393939393939394,1.0,0.0,0.0
delayed,17,49,0,0,0,0,8,0,0,88,88,96,8,8,8,0,0,0,0,88,0.08333333333333333,0.0,5.534090909090909,1.0,0.0,0.0
delayed,18,49,0,0,0,0,14,0,0,73,73,87,14,14,14,0,0,0,0,73,0.16091954022988506,0.0,5.109589041095891,1.0,0.0,0.0
delayed,19,49,0,0,0,0,0,0,0,102,102,102,0,0,0,0,0,0,0,102,0.0,0.0,5.392156862745098,1.0,0.0,0.0
delay_2,0,49,0,0,0,0,24,0,0,77,77,101,24,24,24,0,0,0,0,77,0.2376237623762376,0.0,2.961038961038961,1.0,0.0,0.0
delay_2,1,49,0,0,0,0,42,0,0,42,42,84,42,42,42,0,0,0,0,42,0.5,0.0,2.9761904761904763,1.0,0.0,0.0
delay_2,2,49,0,0,0,0,3,0,0,89,89,92,3,3,3,0,0,0,0,89,0.03260869565217391,0.0,3.1235955056179776,1.0,0.0,0.0
delay_2,3,49,0,0,0,0,83,0,0,6,6,89,83,83,83,0,0,0,0,6,0.9325842696629213,0.0,3.6666666666666665,1.0,0.0,0.0
delay_2,4,49,0,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,3.909090909090909,1.0,0.0,0.0
delay_2,5,49,0,0,0,0,2,0,0,94,94,96,2,2,2,0,0,0,0,94,0.020833333333333332,0.0,3.393617021276596,1.0,0.0,0.0
delay_2,6,49,0,0,0,0,8,0,0,86,86,94,8,8,8,0,0,0,0,86,0.0851063829787234,0.0,3.744186046511628,1.0,0.0,0.0
delay_2,7,49,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0,80,0.13978494623655913,0.0,3.6375,1.0,0.0,0.0
delay_2,8,49,0,0,0,0,6,0,0,93,93,99,6,6,6,0,0,0,0,93,0.06060606060606061,0.0,2.827956989247312,1.0,0.0,0.0
delay_2,9,49,0,0,0,0,6,0,0,96,96,102,6,6,6,0,0,0,0,96,0.058823529411764705,0.0,3.1145833333333335,1.0,0.0,0.0
delay_2,10,49,0,0,0,0,11,0,0,86,86,97,11,11,11,0,0,0,0,86,0.1134020618556701,0.0,3.046511627906977,1.0,0.0,0.0
delay_2,11,49,0,0,0,0,9,0,0,76,76,85,9,9,9,0,0,0,0,76,0.10588235294117647,0.0,3.1710526315789473,1.0,0.0,0.0
delay_2,12,49,0,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,3.463917525773196,1.0,0.0,0.0
delay_2,13,49,0,0,0,0,3,0,0,93,93,96,3,3,3,0,0,0,0,93,0.03125,0.0,4.139784946236559,1.0,0.0,0.0
delay_2,14,49,0,0,0,0,11,0,0,82,82,93,11,11,11,0,0,0,0,82,0.11827956989247312,0.0,3.1707317073170733,1.0,0.0,0.0
delay_2,15,49,0,0,0,0,81,0,0,16,16,97,81,81,81,0,0,0,0,16,0.8350515463917526,0.0,2.875,1.0,0.0,0.0
delay_2,16,49,0,0,0,0,34,0,0,51,51,85,34,34,34,0,0,0,0,51,0.4,0.0,2.9411764705882355,1.0,0.0,0.0
delay_2,17,49,0,0,0,0,9,0,0,87,87,96,9,9,9,0,0,0,0,87,0.09375,0.0,3.0689655172413794,1.0,0.0,0.0
delay_2,18,49,0,0,0,0,20,0,0,67,67,87,20,20,20,0,0,0,0,67,0.22988505747126436,0.0,3.253731343283582,1.0,0.0,0.0
delay_2,19,49,0,0,0,0,9,0,0,93,93,102,9,9,9,0,0,0,0,93,0.08823529411764706,0.0,3.204301075268817,1.0,0.0,0.0
delay_8,0,49,0,0,0,0,3,0,0,98,98,101,3,3,3,0,0,0,0,98,0.0297029702970297,0.0,9.36734693877551,1.0,0.0,0.0
delay_8,1,49,0,0,0,0,8,0,0,76,76,84,8,8,8,0,0,0,0,76,0.09523809523809523,0.0,8.763157894736842,1.0,0.0,0.0
delay_8,2,49,0,0,0,0,3,0,0,89,89,92,3,3,3,0,0,0,0,89,0.03260869565217391,0.0,9.393258426966293,1.0,0.0,0.0
delay_8,3,49,0,0,0,0,83,0,0,6,6,89,83,83,83,0,0,0,0,6,0.9325842696629213,0.0,8.166666666666666,1.0,0.0,0.0
delay_8,4,49,0,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,9.797979797979798,1.0,0.0,0.0
delay_8,5,49,0,0,0,0,1,0,0,95,95,96,1,1,1,0,0,0,0,95,0.010416666666666666,0.0,9.25263157894737,1.0,0.0,0.0
