scenario,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds
new_on_prevention,5,44,1,1,1,1,0,0,52,2,0,50,2,0,0,75,102,127,1,0,127,118,74,65,0.5826771653543307,0.5826771653543307,0.9291338582677166,0.7637795275590551,0.15748031496062992,0.07874015748031496,0.0,0.4536082474226804,5.5,0.35135135135135137,0.6216216216216216,0.5454545454545454,0.24242424242424243,0.5566727058690819,0.5134582318087745,0.4094488188976378,0.4094488188976378,0.3783783783783784,5.533333333333333,5.0,2358,713
new_on_prevention,6,44,0,0,0,0,0,0,51,3,0,48,3,0,1,73,103,124,4,1,124,118,69,63,0.5564516129032258,0.5564516129032258,0.9516129032258065,0.8225806451612904,0.12096774193548387,0.056451612903225805,0.0,0.46078431372549017,5.680851063829787,0.34782608695652173,0.5507246376811594,0.6190476190476191,0.3968253968253968,0.5776357664183344,0.5714375754369533,0.4112903225806452,0.4112903225806452,0.4492753623188406,5.63013698630137,5.0,2285,722
new_on_prevention,7,44,2,2,2,2,1,1,63,5,0,58,4,2,0,64,102,127,3,2,127,126,61,60,0.48031496062992124,0.48031496062992124,0.9921259842519685,0.84251968503937,0.03937007874015748,0.11811023622047244,0.0,0.38317757009345793,6.341463414634147,0.2786885245901639,0.5409836065573771,0.58,0.32,0.6007948644379081,0.5543011333673875,0.49606299212598426,0.49606299212598426,0.45901639344262296,5.65625,5.0,2693,710
new_on_prevention,8,44,1,1,1,1,0,0,51,2,0,49,2,0,0,50,87,101,1,0,101,101,40,40,0.39603960396039606,0.39603960396039606,1.0,0.9108910891089109,0.019801980198019802,0.06930693069306931,0.0,0.33695652173913043,5.387096774193548,0.15,0.425,0.5428571428571428,0.5142857142857142,0.5320223388142692,0.5496219569953806,0.504950495049505,0.504950495049505,0.575,5.92,6.0,2308,582
new_on_prevention,9,44,0,0,0,0,0,0,48,3,0,45,3,0,1,67,90,115,4,0,115,115,45,45,0.391304347826087,0.391304347826087,1.0,0.8869565217391304,0.043478260869565216,0.06956521739130435,0.0,0.3137254901960784,5.03125,0.2222222222222222,0.5111111111111111,0.7297297297297297,0.5135135135135135,0.5603347590827763,0.3055949143310612,0.41739130434782606,0.41739130434782606,0.4888888888888889,4.7164179104477615,4.0,1831,556
new_on_prevention,10,44,0,0,0,0,1,1,52,3,0,49,1,2,2,59,95,111,3,1,111,110,39,38,0.35135135135135137,0.35135135135135137,0.990990990990991,0.8828828828828829,0.05405405405405406,0.06306306306306306,0.0,0.2653061224489796,5.961538461538462,0.20512820512820512,0.4358974358974359,0.5,0.4411764705882353,0.6229215478876337,0.338998547315973,0.46846846846846846,0.46846846846846846,0.5641025641025641,5.864406779661017,5.0,2284,626
new_on_prevention,11,44,2,2,2,3,1,1,51,3,0,48,3,1,0,65,96,116,0,1,116,114,52,50,0.4482758620689655,0.4482758620689655,0.9827586206896551,0.7931034482758621,0.11206896551724138,0.09482758620689655,0.0,0.30434782608695654,4.964285714285714,0.3269230769230769,0.5961538461538461,0.5333333333333333,0.28888888888888886,0.6427417674511714,0.7183528964018582,0.4396551724137931,0.4396551724137931,0.40384615384615385,5.384615384615385,5.0,2238,596
new_on_prevention,12,44,0,0,0,0,0,0,47,0,0,47,0,0,2,61,91,108,2,1,108,107,58,57,0.5370370370370371,0.5370370370370371,0.9907407407407407,0.8796296296296297,0.05555555555555555,0.06481481481481481,0.0,0.47368421052631576,5.733333333333333,0.29310344827586204,0.5,0.6274509803921569,0.45098039215686275,0.5739039954959727,0.545448607788414,0.4351851851851852,0.4351851851851852,0.5,6.032786885245901,6.0,2152,647
new_on_prevention,13,44,2,2,2,2,0,0,54,5,0,49,4,1,0,76,104,130,3,1,130,119,76,65,0.5846153846153846,0.5846153846153846,0.9153846153846154,0.7923076923076923,0.16153846153846155,0.046153846153846156,0.0,0.47572815533980584,5.653061224489796,0.3157894736842105,0.5789473684210527,0.6875,0.40625,0.6106890634335231,0.6129964150546653,0.4153846153846154,0.4153846153846154,0.42105263157894735,5.434210526315789,5.0,2409,760
new_on_prevention,14,44,0,0,0,0,0,0,57,2,0,55,2,0,0,54,93,111,3,1,111,110,56,55,0.5045045045045045,0.5045045045045045,0.990990990990991,0.8828828828828829,0.07207207207207207,0.04504504504504504,0.0,0.4387755102040816,5.1395348837209305,0.17857142857142858,0.4642857142857143,0.4,0.4,0.5930346915055128,0.5362095331506694,0.5135135135135135,0.5135135135135135,0.5357142857142857,5.203703703703703,5.0,2245,584
