treatment,control,metric,mean_difference,sd_difference,n
domestic_0.75_help_on,domestic_0.75_help_off,customer_share_all_cases,4.5787545787545625e-05,0.0040134443470010535,20
domestic_0.75_help_on,domestic_0.75_help_off,customer_share_submitted,4.5787545787545625e-05,0.0040134443470010535,20
domestic_0.75_help_on,domestic_0.75_help_off,domestic_share_submitted,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,first_domestic_share,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,first_customer_share,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,first_both_share,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,no_submission_share,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,domestic_then_customer_share,6.493506493506496e-05,0.0044287327861111635,20
domestic_0.75_help_on,domestic_0.75_help_off,mean_escalation_time,0.00010020087439444048,0.03904749490712579,20
domestic_0.75_help_on,domestic_0.75_help_off,external_path_trigger_rate,0.05507641422253319,0.0377772774869911,20
domestic_0.75_help_on,domestic_0.75_help_off,external_user_case_resolution_rate,0.05433632638602783,0.04020010045830274,20
domestic_0.75_help_on,domestic_0.75_help_off,customer_intervention_rate,0.13525572815006445,0.07248722264518337,20
domestic_0.75_help_on,domestic_0.75_help_off,material_at_customer_review_share,0.0017424450549450576,0.014881285122927872,20
domestic_0.75_help_on,domestic_0.75_help_off,external_user_mean_merit,0.00019300898637328868,0.0009647535443441112,20
domestic_0.75_help_on,domestic_0.75_help_off,external_user_mean_dependence,5.015606327594679e-05,0.0023908270274293868,20
domestic_0.75_help_on,domestic_0.75_help_off,unresolved_fraction,-0.02183354754267716,0.015258341729616947,20
domestic_0.75_help_on,domestic_0.75_help_off,submitted_unresolved_fraction,-0.02183354754267716,0.015258341729616947,20
domestic_0.75_help_on,domestic_0.75_help_off,external_user_unresolved_fraction,-0.05433632638602785,0.040200100458302745,20
domestic_0.75_help_on,domestic_0.75_help_off,mean_processing_time,0.119267225157633,0.10093431734960136,20
domestic_0.75_help_on,domestic_0.75_help_off,median_processing_time,0.15,0.3284733426658931,20
domestic_0.75_help_on,domestic_0.75_help_off,unresolved_case_rounds,-61.7,45.665949539765634,20
domestic_0.75_help_on,domestic_0.75_help_off,pending_case_rounds,4.75,3.596416344962828,20
domestic_0.95_help_on,domestic_0.95_help_off,time,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,new_disputes,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,new_complaints,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,new_complainants,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,new_domestic,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,new_customer,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,new_additional_channel,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,unresolved,-1.05,1.2763022245616642,20
domestic_0.95_help_on,domestic_0.95_help_off,pending,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,unsubmitted,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,closed_unresolved,-1.05,1.2763022245616642,20
domestic_0.95_help_on,domestic_0.95_help_off,pending_domestic,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,pending_customer,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,new_resolved,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,cumulative_resolved,1.05,1.2763022245616642,20
domestic_0.95_help_on,domestic_0.95_help_off,cumulative_complainants,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,total_cases,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,visible_domestic,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,visible_customer,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,unique_submitted_cases,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,unique_domestic_cases,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,unique_customer_cases,-0.05,0.22360679774997894,20
domestic_0.95_help_on,domestic_0.95_help_off,multi_cases,-0.05,0.22360679774997894,20
domestic_0.95_help_on,domestic_0.95_help_off,customer_share_all_cases,-0.0005681818181818177,0.0025409863380679407,20
domestic_0.95_help_on,domestic_0.95_help_off,customer_share_submitted,-0.0005681818181818177,0.0025409863380679407,20
