block,comparison,metric,n,mean_difference,sd_difference,se_difference,ci_low,ci_high
network_ba,both - customer_only,resolved_share,2,0.19642857142857142,0.07576144084141581,0.05357142857142857,0.14285714285714285,0.25
network_ba,both - customer_only,d_to_e_all,2,0.3794642857142857,0.27147849634840665,0.1919642857142857,0.1875,0.5714285714285714
network_ba,both - customer_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
network_ba,both - customer_only,both_use,2,0.48214285714285715,0.3282995769794685,0.23214285714285712,0.25,0.7142857142857143
population_double,both - domestic_only,domestic_use,2,-0.017241379310344807,0.024382992454708506,0.017241379310344807,-0.03448275862068961,0.0
population_double,both - domestic_only,customer_use,2,0.3718390804597701,0.08696600642179378,0.061494252873563214,0.3103448275862069,0.43333333333333335
population_double,both - domestic_only,resolved_share,2,0.11724137931034481,0.11703836378260092,0.08275862068965513,0.03448275862068967,0.19999999999999996
population_double,both - domestic_only,d_to_e_all,2,0.23563218390804597,0.13817029057668168,0.09770114942528733,0.13793103448275862,0.3333333333333333
population_double,both - domestic_only,e_to_d_all,2,0.05057471264367816,0.022757459624394634,0.016091954022988506,0.034482758620689655,0.06666666666666667
population_double,both - domestic_only,both_use,2,0.3545977011494253,0.11134899887650232,0.07873563218390804,0.27586206896551724,0.43333333333333335
population_double,both - customer_only,domestic_use,2,0.9827586206896552,0.024382992454708506,0.017241379310344807,0.9655172413793104,1.0
population_double,both - customer_only,customer_use,2,-0.22011494252873562,0.01869362754860982,0.013218390804597661,-0.23333333333333328,-0.20689655172413796
population_double,both - customer_only,resolved_share,2,0.31896551724137934,0.2560214207744396,0.1810344827586207,0.13793103448275862,0.5
population_double,both - customer_only,d_to_e_all,2,0.23563218390804597,0.13817029057668168,0.09770114942528733,0.13793103448275862,0.3333333333333333
population_double,both - customer_only,e_to_d_all,2,0.05057471264367816,0.022757459624394634,0.016091954022988506,0.034482758620689655,0.06666666666666667
population_double,both - customer_only,both_use,2,0.3545977011494253,0.11134899887650232,0.07873563218390804,0.27586206896551724,0.43333333333333335
horizon_double,both - domestic_only,domestic_use,2,-0.0357142857142857,0.05050762722761051,0.03571428571428569,-0.0714285714285714,0.0
horizon_double,both - domestic_only,customer_use,2,0.5178571428571428,0.37880720420707903,0.26785714285714285,0.25,0.7857142857142857
horizon_double,both - domestic_only,resolved_share,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
horizon_double,both - domestic_only,d_to_e_all,2,0.3794642857142857,0.27147849634840665,0.1919642857142857,0.1875,0.5714285714285714
horizon_double,both - domestic_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
horizon_double,both - domestic_only,both_use,2,0.48214285714285715,0.3282995769794685,0.23214285714285712,0.25,0.7142857142857143
horizon_double,both - customer_only,domestic_use,2,0.9642857142857143,0.05050762722761051,0.03571428571428569,0.9285714285714286,1.0
