scenario,population,metric,contrast,n,mean,low,high
followup_48,both_reachable,customer_minus_domestic,late_minus_base,20,-0.004682266420169637,-0.024208819401964544,0.014631892831237595
followup_48,both_reachable,first_d,late,20,0.5355838334332101,0.49867226137661663,0.5748492116615639
followup_48,both_reachable,first_d,change,20,0.01915341373976573,-0.035365970099651096,0.07722000834242417
followup_48,both_reachable,first_d,late_minus_base,20,0.005914351851851851,0.0,0.012772858796296258
followup_48,both_reachable,first_e,late,20,0.438043661756785,0.39509759758539653,0.4816914374938403
followup_48,both_reachable,first_e,change,20,-0.029088825550177538,-0.08472705454972589,0.020686928747842552
followup_48,both_reachable,first_e,late_minus_base,20,0.0,0.0,0.0
followup_48,both_reachable,first_both,late,20,0.01952065295815295,0.006350615530303025,0.034185763888888866
followup_48,both_reachable,first_both,change,20,0.006034948847448847,-0.007806140618640619,0.02233368281024531
followup_48,both_reachable,first_both,late_minus_base,20,0.0,0.0,0.0
followup_48,both_reachable,domestic_only,late,20,0.28697775856967533,0.257388218255134,0.31744871993898033
followup_48,both_reachable,domestic_only,change,20,0.037342456385129355,0.0022211719424804436,0.07247832397281707
followup_48,both_reachable,domestic_only,late_minus_base,20,-0.020047737297737303,-0.04227694870351121,-0.0012109898359898375
followup_48,both_reachable,customer_only,late,20,0.19466951126764867,0.16214003498096363,0.23167886618305525
followup_48,both_reachable,customer_only,change,20,0.0222994933490209,-0.026204487080295703,0.06996676849698735
followup_48,both_reachable,customer_only,late_minus_base,20,-0.02473000371790695,-0.035835790754943996,-0.013143934694337929
followup_48,both_reachable,both_use,late,20,0.5115008783108241,0.4801909437897815,0.5423694661371267
followup_48,both_reachable,both_use,change,20,-0.06354241269711322,-0.1278280710268681,-0.003514003966094821
followup_48,both_reachable,both_use,late_minus_base,20,0.0506920928674961,0.028507594460417042,0.07628502723941231
followup_48,both_reachable,no_submission,late,20,0.006851851851851852,0.0,0.018703703703703705
followup_48,both_reachable,no_submission,change,20,0.0039004629629629645,-0.0057291666666666645,0.01575231481481482
followup_48,both_reachable,no_submission,late_minus_base,20,-0.0059143518518518495,-0.0130324074074074,0.0
followup_48,both_reachable,d_to_e,late,20,0.2486060748635348,0.207450413086743,0.2923812866185242
followup_48,both_reachable,d_to_e,change,20,-0.018189042645363633,-0.07010240279887224,0.03517941081399661
followup_48,both_reachable,d_to_e,late_minus_base,20,0.02596208914958915,0.010919230769230773,0.045549194386694365
followup_48,both_reachable,e_to_d,late,20,0.24337415048913633,0.2076431234515806,0.2799115551390388
followup_48,both_reachable,e_to_d,change,20,-0.05138831889919841,-0.08694798955166708,-0.01605103892162852
followup_48,both_reachable,e_to_d,late_minus_base,20,0.024730003717906957,0.013011469534050189,0.03609450316335398
followup_48,both_reachable,resolved,late,20,0.4478532558377918,0.4080426749052826,0.49050482272454826
followup_48,both_reachable,resolved,change,20,-0.05041432660042959,-0.11151853475635007,0.017221061576411262
followup_48,both_reachable,resolved,late_minus_base,20,0.03548152434442758,0.021565832482163136,0.05180488530770789
grid_r0.4_c0.5,all,domestic_use,late,20,0.8205365320528621,0.8049920977974835,0.8351075052633347
grid_r0.4_c0.5,all,domestic_use,change,20,0.0005981406611206275,-0.02294742954431424,0.024138146837096496
grid_r0.4_c0.5,all,domestic_use,late_minus_base,20,0.01547727294121563,-0.008000682969877958,0.03907127994256018
grid_r0.4_c0.5,all,customer_use,late,20,0.39402243808346404,0.36561833319011683,0.4215434121497134
grid_r0.4_c0.5,all,customer_use,change,20,0.04484939642113328,0.006962200211333862,0.08222407811081012
grid_r0.4_c0.5,all,customer_use,late_minus_base,20,-0.096867760632706,-0.13995920092105713,-0.053397487094453924
grid_r0.4_c0.5,all,customer_minus_domestic,late,20,-0.4265140939693978,-0.46308020779861087,-0.3936846260231426
grid_r0.4_c0.5,all,customer_minus_domestic,change,20,0.04425125576001267,0.006653819420675559,0.08374131979098005
grid_r0.4_c0.5,all,customer_minus_domestic,late_minus_base,20,-0.11234503357392163,-0.16689211796898842,-0.05718440543314701
grid_r0.4_c0.5,all,first_d,late,20,0.6104765397695269,0.5804242786699562,0.6416169656718331
grid_r0.4_c0.5,all,first_d,change,20,-0.013738456579508895,-0.047829774530829317,0.020030920154834934
grid_r0.4_c0.5,all,first_d,late_minus_base,20,-0.02271016790492415,-0.0691413180949371,0.023323343323136222
grid_r0.4_c0.5,all,first_e,late,20,0.2833424519485864,0.2553712474444658,0.3100018703798143
grid_r0.4_c0.5,all,first_e,change,20,0.03418877601556416,-0.0008943440421489075,0.07267983658323571
grid_r0.4_c0.5,all,first_e,late_minus_base,20,-0.031216119968172407,-0.07726973336486037,0.015730788469784655
grid_r0.4_c0.5,all,first_both,late,20,0.04413454650971256,0.0319333844575165,0.05687571456109167
grid_r0.4_c0.5,all,first_both,change,20,-0.004167538899151802,-0.026913989409168976,0.019851711929941864
grid_r0.4_c0.5,all,first_both,late_minus_base,20,0.0310903136108285,0.019036590054682157,0.04375287101761626
grid_r0.4_c0.5,all,domestic_only,late,20,0.5439311001443619,0.5146466486920702,0.573010568609501
grid_r0.4_c0.5,all,domestic_only,change,20,-0.028566615884229853,-0.05921782239621307,0.0017793730377052488
grid_r0.4_c0.5,all,domestic_only,late_minus_base,20,0.07403178637043797,0.031699977438454735,0.11438428927063353
grid_r0.4_c0.5,all,customer_only,late,20,0.11741700617496395,0.10446143220814272,0.13131557850099573
grid_r0.4_c0.5,all,customer_only,change,20,0.015684639875782835,-0.005321297010711726,0.03659649691992248
grid_r0.4_c0.5,all,customer_only,late_minus_base,20,-0.038313247203483634,-0.06169473547490049,-0.015191360000009844
grid_r0.4_c0.5,all,both_use,late,20,0.27660543190850007,0.25323490555178185,0.3011164064105684
grid_r0.4_c0.5,all,both_use,change,20,0.029164756545350473,-0.010323210390288197,0.06907066939037239
grid_r0.4_c0.5,all,both_use,late_minus_base,20,-0.05855451342922237,-0.09084785759483166,-0.02196140010045268
grid_r0.4_c0.5,all,no_submission,late,20,0.062046461772174134,0.04600092344167559,0.07937298583987791
grid_r0.4_c0.5,all,no_submission,change,20,-0.016282780536903442,-0.0408794196260957,0.005279880476090092
grid_r0.4_c0.5,all,no_submission,late_minus_base,20,0.022835974262268032,0.002441682973841401,0.04333820389802732
grid_r0.4_c0.5,all,d_to_e,late,20,0.06654543962516503,0.05006400167338808,0.0822213719230973
grid_r0.4_c0.5,all,d_to_e,change,20,0.014828159304720933,-0.004240982968219822,0.03533712300731565
grid_r0.4_c0.5,all,d_to_e,late_minus_base,20,-0.09674195427536211,-0.12843907573645752,-0.06319047594847023
grid_r0.4_c0.5,all,e_to_d,late,20,0.16592544577362245,0.14477291079398635,0.18698824300640274
grid_r0.4_c0.5,all,e_to_d,change,20,0.018504136139781323,-0.019063383228178552,0.05456222085125855
grid_r0.4_c0.5,all,e_to_d,late_minus_base,20,0.007097127235311251,-0.027288243012895598,0.04025624958230395
grid_r0.4_c0.5,all,resolved,late,20,0.3528018353274533,0.3209867474414411,0.38312467455979327
grid_r0.4_c0.5,all,resolved,change,20,-0.02260466584163081,-0.07070541352785957,0.02617543518712826
grid_r0.4_c0.5,all,resolved,late_minus_base,20,-0.027763739096563666,-0.06782129555368527,0.011494502485221741
grid_r0.4_c0.5,both_reachable,domestic_use,late,20,0.7271233580418026,0.6964361697335116,0.75779918098589
grid_r0.4_c0.5,both_reachable,domestic_use,change,20,0.005803844222288829,-0.055589714677783814,0.05846269138059331
grid_r0.4_c0.5,both_reachable,domestic_use,late_minus_base,20,-0.040710923268938014,-0.07254740156977738,-0.009108851089368935
grid_r0.4_c0.5,both_reachable,customer_use,late,20,0.91092349186238,0.8866256594864227,0.9323294961087374
grid_r0.4_c0.5,both_reachable,customer_use,change,20,-0.019983587169699037,-0.05582328906529672,0.017208881820578774
grid_r0.4_c0.5,both_reachable,customer_use,late_minus_base,20,0.23071519143349634,0.1950642869379299,0.26440069387897003
grid_r0.4_c0.5,both_reachable,customer_minus_domestic,late,20,0.18380013382057733,0.1372962138317292,0.22667043243886312
grid_r0.4_c0.5,both_reachable,customer_minus_domestic,change,20,-0.025787431391987848,-0.08829155459287162,0.03861044646358113
grid_r0.4_c0.5,both_reachable,customer_minus_domestic,late_minus_base,20,0.2714261147024343,0.21765383290573678,0.33002363684755415
grid_r0.4_c0.5,both_reachable,first_d,late,20,0.24413814067283574,0.19625614293687046,0.2897298166951447
grid_r0.4_c0.5,both_reachable,first_d,change,20,0.04132185973155486,-0.007856998714771024,0.09446166892967228
grid_r0.4_c0.5,both_reachable,first_d,late_minus_base,20,-0.28553134090852256,-0.3501691156473397,-0.22893607689996542
grid_r0.4_c0.5,both_reachable,first_e,late,20,0.6527622236892495,0.614587696802009,0.6921118950687721
grid_r0.4_c0.5,both_reachable,first_e,change,20,-0.009817210765184933,-0.08055993767584325,0.05888205573521349
grid_r0.4_c0.5,both_reachable,first_e,late_minus_base,20,0.21471856193246447,0.1643370688446389,0.2730719090149436
grid_r0.4_c0.5,both_reachable,first_both,late,20,0.10309963563791466,0.07422302270140346,0.1339742167963223
grid_r0.4_c0.5,both_reachable,first_both,change,20,-0.03150464896636992,-0.09974549697387983,0.03191267540401634
grid_r0.4_c0.5,both_reachable,first_both,late_minus_base,20,0.08357898267976172,0.05503011783580123,0.11152838666109187
grid_r0.4_c0.5,both_reachable,domestic_only,late,20,0.08907650813761998,0.06774722895554476,0.11218857433094077
grid_r0.4_c0.5,both_reachable,domestic_only,change,20,0.019983587169699026,-0.017887330194782423,0.05448368508435895
grid_r0.4_c0.5,both_reachable,domestic_only,late_minus_base,20,-0.2179489877297926,-0.2556928207430171,-0.18031315301813275
grid_r0.4_c0.5,both_reachable,customer_only,late,20,0.27287664195819733,0.24354099312126345,0.3021295991482717
