case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,scenario,seed
7:0,7,0,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,successful,6.0,e,1.0,d,resolved,0.9575445931624209,True,0.4,2.0,6.0,no_remedy,,6.0,6.0,6.0,baseline,2
8:0,8,2,0,0,0.0,3.0,2.0,5.0,2.0,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.4536536007614193,True,0.5817281038838394,2.0,5.0,no_remedy,,,24.0,24.0,baseline,2
10:0,10,0,0,0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3218825191221515,False,0.4,2.0,,no_remedy,,,24.0,24.0,baseline,2
12:0,12,2,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,successful,6.0,e,1.0,d,resolved,0.7227504452626674,True,0.5817281038838394,2.0,6.0,no_remedy,,6.0,6.0,6.0,baseline,2
13:0,13,2,0,0,0.0,3.0,2.0,,2.0,,3.0,,successful,cancelled_by_resolution,3.0,d,1.0,d,resolved,0.22905620500685364,True,0.5817281038838394,3.0,3.0,remedy_supported,3.0,3.0,3.0,3.0,baseline,2
14:0,14,1,0,0,0.0,,2.0,,2.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7317413157213022,False,0.5182718961161606,2.0,,no_remedy,,,24.0,24.0,baseline,2
15:0,15,1,0,0,0.0,,2.0,,2.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.709716205722446,False,0.5182718961161606,2.0,,no_remedy,,,24.0,24.0,baseline,2
16:0,16,1,0,0,0.0,,2.0,,2.0,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.974139919448221,False,0.5182718961161606,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,2
17:0,17,1,0,0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8297624587782464,False,0.5182718961161606,3.0,,no_remedy,,,24.0,24.0,baseline,2
19:0,19,2,0,0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.5141639843063954,True,0.5817281038838394,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,2
22:0,22,1,0,0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.20850688560310085,False,0.5182718961161606,3.0,,no_remedy,,,24.0,24.0,baseline,2
23:0,23,0,0,0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.5383331289359714,True,0.4,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,2
24:0,24,1,0,0,0.0,,3.0,,3.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.24741079360109852,False,0.5182718961161606,3.0,,no_remedy,,,24.0,24.0,baseline,2
25:0,25,0,0,0,0.0,4.0,3.0,6.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.533690199829786,True,0.4,3.0,6.0,no_remedy,,,24.0,24.0,baseline,2
26:0,26,1,0,0,0.0,,3.0,,3.0,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.9044611980635902,False,0.5182718961161606,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,2
27:0,27,2,0,0,0.0,4.0,3.0,6.0,3.0,6.0,,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6530449032180452,True,0.5817281038838394,3.0,7.0,no_remedy,,,24.0,24.0,baseline,2
28:0,28,2,0,0,0.0,,3.0,,3.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6861860407486395,False,0.5817281038838394,3.0,,no_remedy,,,24.0,24.0,baseline,2
29:0,29,0,0,0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.8383173382143398,True,0.4,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,2
30:0,30,0,0,0,4.0,0.0,6.0,2.0,,2.0,7.0,3.0,successful,closed_unresolved,7.0,d,1.0,e,resolved,0.7317888030576476,True,0.4,7.0,3.0,remedy_supported,7.0,7.0,7.0,7.0,baseline,2
31:0,31,2,0,0,0.0,4.0,3.0,6.0,3.0,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d,resolved,0.7638936744209863,True,0.5817281038838394,3.0,7.0,no_remedy,,7.0,7.0,7.0,baseline,2
32:0,32,2,0,0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5368122504177425,False,0.5817281038838394,3.0,,no_remedy,,,24.0,24.0,baseline,2
33:0,33,0,0,0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.20563152796513276,True,0.4,5.0,,remedy_supported,5.0,5.0,5.0,5.0,baseline,2
34:0,34,1,0,0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.42188028570399266,False,0.5182718961161606,4.0,,no_remedy,,,24.0,24.0,baseline,2
35:0,35,2,0,0,0.0,5.0,4.0,7.0,4.0,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.29820740742323965,True,0.5817281038838394,4.0,7.0,no_remedy,,,24.0,24.0,baseline,2
11:3,11,1,3,3,3.0,,5.0,,5.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.43672744219710896,False,0.5182718961161606,5.0,,no_remedy,,,21.0,21.0,baseline,2
23:10,23,0,10,10,10.0,13.0,12.0,15.0,12.0,15.0,,16.0,closed_unresolved,successful,16.0,e,1.0,d,resolved,0.5383331289359714,True,0.4,12.0,16.0,no_remedy,,6.0,6.0,6.0,baseline,2
33:13,33,0,13,13,13.0,16.0,15.0,18.0,15.0,18.0,,19.0,closed_unresolved,successful,19.0,e,1.0,d,resolved,0.20563152796513276,True,0.4,15.0,19.0,no_remedy,,6.0,6.0,6.0,baseline,2
33:22,33,0,22,22,22.0,,24.0,,24.0,,25.0,,awaiting_implementation,unused,,,0.0,d,pending,0.20563152796513276,True,0.4,,,remedy_supported,,,2.0,2.0,baseline,2
29:24,29,0,24,24,24.0,,,,,,,,submitted,unused,,,0.0,d,pending,0.8383173382143398,True,0.4,,,,,,0.0,0.0,baseline,2
0:0,0,2,0,0,0.0,3.0,2.0,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5777072716774585,True,0.4,2.0,5.0,no_remedy,,,24.0,24.0,baseline,3
