time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,scenario,seed
2,0,0,0,0,0,0,28,21,0,7,21,15,6,6,0,2,0,0,28,28,27,3,implementation_zero_effect,5
3,0,0,0,1,3,4,28,9,0,19,6,4,2,2,0,3,0,0,28,28,27,3,implementation_zero_effect,5
4,0,0,0,0,7,7,28,11,0,17,1,1,0,0,0,10,0,0,28,28,6,3,implementation_zero_effect,5
5,0,0,0,0,2,2,28,12,0,16,0,0,0,0,0,12,0,0,28,28,1,10,implementation_zero_effect,5
6,1,1,1,1,1,1,26,8,0,18,1,1,0,0,0,7,3,3,29,29,1,12,implementation_zero_effect,5
7,0,0,0,0,1,1,25,5,0,20,1,1,0,0,0,4,1,4,29,29,1,10,implementation_zero_effect,5
8,0,0,0,0,0,0,23,2,0,21,0,0,0,0,0,2,2,6,29,29,1,4,implementation_zero_effect,5
9,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,1,7,29,29,1,2,implementation_zero_effect,5
10,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,7,29,29,0,1,implementation_zero_effect,5
11,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,7,29,29,0,0,implementation_zero_effect,5
12,2,2,2,2,0,0,24,2,0,22,2,2,0,0,0,0,0,7,30,31,0,0,implementation_zero_effect,5
13,0,0,0,0,0,0,24,2,0,22,2,2,0,0,0,0,0,7,30,31,2,0,implementation_zero_effect,5
14,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,7,30,31,2,0,implementation_zero_effect,5
15,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,7,30,31,2,0,implementation_zero_effect,5
16,1,1,1,1,0,0,25,1,0,24,1,1,0,0,0,0,0,7,31,32,0,0,implementation_zero_effect,5
