axis,level,mode,period,population,metric,mean,low,high,n
delay,0.0,full,early,all,standardized_no_material_score,0.24768195462792794,0.24111698714543273,0.25373478136446515,20
delay,0.0,full,early,all,mechanical_material_increment,0.0024334650480497553,0.0008567110668118572,0.004304585971693931,20
delay,0.0,full,early,all,mean_customer_merit,0.6053304606854214,0.5766503059389695,0.6311923969780292,20
delay,0.0,full,early,all,mean_customer_dependence,0.4990111041083279,0.4927414371669164,0.5052804541553801,20
delay,0.0,full,early,both_reachable,domestic_use,0.7404875844322554,0.6982920509273384,0.7821043406860347,20
delay,0.0,full,early,both_reachable,customer_use,0.7080126135080718,0.6764757841824693,0.7382336027674103,20
delay,0.0,full,early,both_reachable,first_d,0.47683015698730824,0.43884686930812705,0.5169023283192246,20
delay,0.0,full,early,both_reachable,first_e,0.48747446200481087,0.44281302393138083,0.5312113979131177,20
delay,0.0,full,early,both_reachable,first_both,0.012283781033781022,0.004006410256410251,0.022578792735042704,20
delay,0.0,full,early,both_reachable,neither,0.02341159997409996,0.007709668803418793,0.04405869593369591,20
delay,0.0,full,early,both_reachable,d_to_e,0.20825437046947978,0.17699740367922495,0.2399336320778776,20
delay,0.0,full,early,both_reachable,e_to_d,0.2513736464111663,0.22592127552857139,0.27890484673317534,20
delay,0.0,full,early,both_reachable,both_use,0.4719117979144271,0.43957467808846634,0.5023631112617846,20
delay,0.0,full,early,both_reachable,resolved,0.4499588656045135,0.40857033459977427,0.48653962464504297,20
delay,0.0,full,early,both_reachable,unresolved,0.5500411343954866,0.5134603753549569,0.5914296654002256,20
delay,0.0,full,early,both_reachable,customer_route_success,0.2563417372269673,0.20872801077402764,0.3021194234824155,20
delay,0.0,full,early,both_reachable,customer_only_resolution,0.2563417372269673,0.20872801077402764,0.3021194234824155,20
delay,0.0,full,early,both_reachable,joint_resolution,0.0,0.0,0.0,20
delay,0.0,full,early,both_reachable,customer_user_any_resolution,0.4045770958898567,0.3562461813707523,0.4483935195827863,20
delay,0.0,full,early,both_reachable,customer_unresolved,0.5954229041101432,0.5516064804172137,0.6437538186292476,20
