time,employee,initial_dispute,informed,prior_d,p_d,p_e,success_d,failure_d,has_dispute,case_id,first_unsubmitted
2,10,False,False,0.3747509926299424,0.3747509926299423,0.32494758391717055,0.0,0.0,False,,False
2,11,False,False,0.4365050838387813,0.4365050838387813,0.38958936470723315,0.0,0.0,False,,False
2,12,False,False,0.49438455480871246,0.4943845548087124,0.5969068951668594,0.0,0.0,False,,False
2,13,False,False,0.36852883912597545,0.3685288391259754,0.47771754327097865,0.0,0.0,False,,False
2,14,False,False,0.5274656736356903,0.5274656736356903,0.2666736866494753,0.0,0.0,False,,False
2,15,True,False,0.6009231943614537,0.6009231943614537,0.47006056998838386,0.0,0.0,True,15:0,False
2,16,False,False,0.4382109202493441,0.4382109202493441,0.40961789544902205,0.0,0.0,False,,False
2,17,True,False,0.4937842401883934,0.4937842401883934,0.4940366936275521,0.0,0.0,True,17:0,False
2,18,False,False,0.2255495974185324,0.2255495974185324,0.415852365145589,0.0,0.0,False,,False
2,19,False,False,0.4253222967075862,0.42532229670758614,0.4820570177910964,0.0,0.0,False,,False
2,20,True,False,0.5264950221095083,0.5264950221095083,0.6126383028244748,0.0,0.0,True,20:0,False
2,21,False,False,0.3518338180470433,0.3518338180470433,0.5804287398778933,0.0,0.0,False,,False
2,22,False,False,0.40538716148526593,0.40538716148526593,0.458730651686604,0.0,0.0,False,,False
2,23,False,False,0.5820953853960631,0.5820953853960631,0.45952067232538657,0.0,0.0,False,,False
3,0,False,False,0.44299443211746453,0.4429944321174645,0.4629173598498328,0.0,0.0,False,,False
3,1,False,False,0.5346280060038413,0.48116520540345714,0.6054011115602114,0.0,1.0,True,1:2,False
3,2,True,False,0.27197079496082843,0.24477371546474558,0.4214793456781595,0.0,1.0,True,2:0,False
3,3,False,False,0.5612846419844832,0.5051561777860348,0.6128679237523356,0.0,1.0,False,,False
3,4,True,False,0.4734939162452191,0.4261445246206972,0.6434168944540841,0.0,1.0,True,4:0,False
3,5,True,False,0.4311328982886555,0.38801960845978994,0.3671833131463172,0.0,1.0,True,5:0,False
3,6,False,False,0.46472024073120677,0.4182482166580861,0.4175754694948071,0.0,1.0,False,,False
3,7,True,False,0.4368540343874118,0.3931686309486706,0.36285187506581434,0.0,1.0,True,7:0,False
