scenario,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds
no_customer,8,44,0,0,0,0,0,0,36,0,0,36,0,0,0,35,71,71,0,0,71,71,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5070422535211268,0.5070422535211268,,6.085714285714285,6.0,1833,396
no_customer,9,44,0,0,0,0,0,0,35,0,0,35,0,0,0,29,64,64,0,0,64,64,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.546875,0.546875,,4.827586206896552,5.0,1715,333
no_customer,10,44,0,0,0,0,0,0,40,0,0,40,0,0,0,37,77,77,0,0,77,77,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5194805194805194,0.5194805194805194,,5.648648648648648,5.0,2009,449
no_customer,11,44,0,0,0,0,0,0,43,0,0,43,0,0,0,32,75,75,0,0,75,75,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5733333333333334,0.5733333333333334,,5.875,6.0,2123,429
no_customer,12,44,0,0,0,0,0,0,45,0,0,45,0,0,0,32,77,77,0,0,77,77,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5844155844155844,0.5844155844155844,,6.21875,6.0,2224,448
no_customer,13,44,0,0,0,0,0,0,51,0,0,51,0,0,0,37,88,88,0,0,88,88,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5795454545454546,0.5795454545454546,,6.5675675675675675,7.0,2538,550
no_customer,14,44,0,0,0,0,0,0,39,0,0,39,0,0,0,30,69,69,0,0,69,69,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5652173913043478,0.5652173913043478,,5.233333333333333,5.0,1912,374
no_customer,15,44,0,0,0,0,0,0,40,0,0,40,0,0,0,38,78,78,0,0,78,78,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5128205128205128,0.5128205128205128,,5.7105263157894735,5.0,2017,462
no_customer,16,44,0,0,0,0,0,0,45,0,0,45,0,0,0,36,81,81,0,0,81,81,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5555555555555556,0.5555555555555556,,5.722222222222222,5.5,2231,486
no_customer,17,44,0,0,0,0,0,0,45,0,0,45,0,0,0,40,85,85,0,0,85,85,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5294117647058824,0.5294117647058824,,6.325,6.5,2278,521
no_customer,18,44,0,0,0,0,0,0,40,0,0,40,0,0,0,31,71,71,0,0,71,71,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5633802816901409,0.5633802816901409,,5.451612903225806,5.0,1969,392
no_customer,19,44,0,0,0,0,0,0,40,0,0,40,0,0,0,35,75,75,0,0,75,75,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5333333333333333,0.5333333333333333,,5.485714285714286,5.0,1992,432
no_firm_response,0,44,0,0,0,0,0,0,69,69,0,0,69,31,0,0,69,69,69,31,69,69,53,53,0.7681159420289855,0.7681159420289855,1.0,0.8115942028985508,0.08695652173913043,0.10144927536231885,0.0,0.7142857142857143,8.025,0.0,0.0,0.5849056603773585,0.3584905660377358,0.5902115673175938,0.497062769773795,1.0,1.0,1.0,,,3105,3100
no_firm_response,1,44,0,0,0,0,0,0,81,81,0,0,81,32,0,0,81,81,81,32,81,81,60,60,0.7407407407407407,0.7407407407407407,1.0,0.7901234567901234,0.037037037037037035,0.1728395061728395,0.0,0.671875,9.790697674418604,0.0,0.0,0.5333333333333333,0.38333333333333336,0.5362755250357057,0.5004302212740227,1.0,1.0,1.0,,,3645,3643
no_firm_response,2,44,0,0,0,0,0,0,75,75,0,0,75,30,0,0,75,75,75,30,75,75,52,52,0.6933333333333334,0.6933333333333334,1.0,0.8133333333333334,0.05333333333333334,0.13333333333333333,0.0,0.6229508196721312,10.105263157894736,0.0,0.0,0.5769230769230769,0.4807692307692308,0.6099175624185975,0.5146695606517393,1.0,1.0,1.0,,,3375,3372
