treatment,control,metric,mean_difference,sd_difference,n,se_difference
domestic_0.75_help_on,domestic_0.75_help_off,cumulative_complainants,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,total_cases,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,visible_domestic,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,visible_customer,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,unique_submitted_cases,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,unique_domestic_cases,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,unique_customer_cases,0.45,0.6863327411532598,20,0.15346866644024562
domestic_0.75_help_on,domestic_0.75_help_off,multi_cases,0.45,0.6863327411532598,20,0.15346866644024562
domestic_0.75_help_on,domestic_0.75_help_off,customer_share_all_cases,0.005461557851548729,0.008437234216115379,20,0.0018866229249321139
domestic_0.75_help_on,domestic_0.75_help_off,customer_share_submitted,0.005461557851548729,0.008437234216115379,20,0.0018866229249321139
domestic_0.75_help_on,domestic_0.75_help_off,domestic_share_submitted,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,first_domestic_share,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,first_customer_share,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,first_both_share,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,no_submission_share,0.0,0.0,20,0.0
domestic_0.75_help_on,domestic_0.75_help_off,domestic_then_customer_share,0.006473651027788349,0.010015283870504016,20,0.002239485554840418
domestic_0.75_help_on,domestic_0.75_help_off,mean_escalation_time,0.04250687307575864,0.09270358401785429,20,0.020729151562178527
domestic_0.75_help_on,domestic_0.75_help_off,external_path_trigger_rate,0.04664234222532773,0.02714095248234903,20,0.006068901472462409
domestic_0.75_help_on,domestic_0.75_help_off,external_user_case_resolution_rate,0.04352577222332703,0.041172477175965866,20,0.009206445776751825
domestic_0.75_help_on,domestic_0.75_help_off,customer_intervention_rate,0.10759142818151361,0.05853321121601765,20,0.013088423922036858
domestic_0.75_help_on,domestic_0.75_help_off,material_at_customer_review_share,-0.0012348971917126306,0.015301753646399227,20,0.003421576132830395
domestic_0.75_help_on,domestic_0.75_help_off,external_user_mean_merit,-0.0009393224990552785,0.0028409212374152413,20,0.0006352493005583298
domestic_0.75_help_on,domestic_0.75_help_off,external_user_mean_dependence,-0.00021475113750483722,0.000998485840636359,20,0.00022326822142339206
domestic_0.75_help_on,domestic_0.75_help_off,unresolved_fraction,-0.021990483869032237,0.022042788820996043,20,0.00492891742174196
domestic_0.75_help_on,domestic_0.75_help_off,submitted_unresolved_fraction,-0.021990483869032237,0.022042788820996043,20,0.00492891742174196
domestic_0.75_help_on,domestic_0.75_help_off,external_user_unresolved_fraction,-0.04352577222332703,0.04117247717596587,20,0.009206445776751825
domestic_0.75_help_on,domestic_0.75_help_off,mean_processing_time,0.13372554224043903,0.12197123379176465,20,0.027273597005790517
domestic_0.75_help_on,domestic_0.75_help_off,median_processing_time,0.125,0.31933318682925255,20,0.07140507132218492
domestic_0.75_help_on,domestic_0.75_help_off,unresolved_case_rounds,-61.5,63.73671172136692,20,14.251962007128407
domestic_0.75_help_on,domestic_0.75_help_off,pending_case_rounds,5.6,4.235190917215322,20,0.9470174788583143
domestic_0.95_help_on,domestic_0.95_help_off,time,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,new_disputes,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,new_complaints,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,new_complainants,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,new_domestic,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,new_customer,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,new_additional_channel,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,unresolved,-0.85,0.8750939799154205,20,0.19567696257917158
domestic_0.95_help_on,domestic_0.95_help_off,pending,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,unsubmitted,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,closed_unresolved,-0.85,0.8750939799154205,20,0.19567696257917158
domestic_0.95_help_on,domestic_0.95_help_off,pending_domestic,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,pending_customer,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,new_resolved,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,cumulative_resolved,0.85,0.8750939799154205,20,0.19567696257917158
domestic_0.95_help_on,domestic_0.95_help_off,cumulative_complainants,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,total_cases,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,visible_domestic,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,visible_customer,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,unique_submitted_cases,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,unique_domestic_cases,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,unique_customer_cases,0.1,0.30779350562554625,20,0.06882472016116853
domestic_0.95_help_on,domestic_0.95_help_off,multi_cases,0.1,0.30779350562554625,20,0.06882472016116853
domestic_0.95_help_on,domestic_0.95_help_off,customer_share_all_cases,0.0012583095916429254,0.0038737611173284858,20,0.0008661993186942032
domestic_0.95_help_on,domestic_0.95_help_off,customer_share_submitted,0.0012583095916429254,0.0038737611173284858,20,0.0008661993186942032
domestic_0.95_help_on,domestic_0.95_help_off,domestic_share_submitted,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,first_domestic_share,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,first_customer_share,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,first_both_share,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,no_submission_share,0.0,0.0,20,0.0
domestic_0.95_help_on,domestic_0.95_help_off,domestic_then_customer_share,0.0015625,0.00480927352539916,20,0.0010753862525182583
domestic_0.95_help_on,domestic_0.95_help_off,mean_escalation_time,0.00693840579710141,0.022262724224223072,20,0.004978096472969405
domestic_0.95_help_on,domestic_0.95_help_off,external_path_trigger_rate,0.02438995203966453,0.025109914315917897,20,0.005614747531958755
domestic_0.95_help_on,domestic_0.95_help_off,external_user_case_resolution_rate,0.02552793212501304,0.025730007937637727,20,0.005753404681016713
