time,employee,initial_dispute,informed,prior_d,p_d,p_e,success_d,failure_d,has_dispute,case_id,first_unsubmitted
7,107,True,False,0.4201272085917144,0.4321081273029572,0.36248204688665864,1.0,1.0,True,107:0,False
7,108,True,False,0.5725893694144539,0.5725893694144539,0.5801760444086993,0.0,0.0,True,108:0,False
7,109,False,False,0.32758648506716226,0.394827836560446,0.40929658819410975,1.0,0.0,False,,False
7,110,False,False,0.605263470417597,0.5447371233758372,0.3628832202282303,0.0,1.0,False,,False
7,111,False,False,0.48968690350447025,0.48968690350447025,0.48249741418436287,0.0,0.0,False,,False
7,112,False,False,0.5948930726439826,0.5948930726439826,0.5747899891492501,0.0,0.0,False,,False
7,113,False,False,0.22884265054638275,0.22884265054638275,0.6284695094835074,0.0,0.0,False,,False
7,114,False,False,0.5489907481731999,0.5489907481731999,0.46727290263422994,0.0,0.0,False,,False
7,115,False,False,0.5102801736753794,0.5102801736753794,0.507367710522417,0.0,0.0,False,,False
7,116,False,False,0.26855633359703723,0.26855633359703723,0.6004846884198249,0.0,0.0,True,116:1,False
7,117,True,False,0.4362276374207189,0.37079349180761106,0.31861268573099333,0.0,2.0,True,117:0,False
7,118,True,False,0.6019538127860573,0.5417584315074515,0.3257052711190269,0.0,1.0,True,118:0,False
7,119,False,False,0.31707123577678975,0.31707123577678975,0.3209264069285234,0.0,0.0,False,,False
8,0,False,False,0.5449269699863759,0.4904342729877383,0.5289382254531476,0.0,1.0,True,0:8,True
8,1,False,False,0.229650571145668,0.2066855140311012,0.49241394850894327,0.0,1.0,False,,False
8,2,False,False,0.3835229892299272,0.3835229892299272,0.40225852811673773,0.0,0.0,False,,False
8,3,False,False,0.48164500673943544,0.48164500673943544,0.4521072526391082,0.0,0.0,True,3:7,False
8,4,False,False,0.5290599141965837,0.4761539227769253,0.5837298166693512,0.0,1.0,False,,False
8,5,True,False,0.32352023428589693,0.32352023428589693,0.24229559868353484,0.0,0.0,False,,False
8,6,True,False,0.4256081333859838,0.4256081333859838,0.5586571827756612,0.0,0.0,False,,False
8,7,False,False,0.47950150221007826,0.47950150221007826,0.5941831448229777,0.0,0.0,False,,False
8,8,True,False,0.28224487806266674,0.25402039025640005,0.2850905974333642,0.0,1.0,True,8:0,False
8,9,False,False,0.39295530254059297,0.39295530254059297,0.3784804803428497,0.0,0.0,False,,False
8,10,False,False,0.38884317409271774,0.3888431740927177,0.5882886561200341,0.0,0.0,False,,False
8,11,True,False,0.5171465332961911,0.465431879966572,0.34031343863475266,0.0,1.0,False,,False
8,12,True,False,0.6037817987812786,0.6037817987812786,0.48527716350699646,0.0,0.0,True,12:0,False
8,13,False,False,0.6035157570750574,0.6035157570750574,0.4544718928499205,0.0,0.0,False,,False
8,14,False,False,0.3457709441751927,0.36890530254891374,0.3555265841987329,1.0,1.0,False,,False
8,15,False,False,0.4415402376273212,0.4415402376273212,0.3286559056559303,0.0,0.0,False,,False
8,16,False,False,0.5313353420972462,0.5313353420972462,0.35549804760622816,0.0,0.0,False,,False
8,17,True,False,0.3919935126913222,0.3919935126913222,0.5734977925998279,0.0,0.0,False,,False
8,18,False,False,0.27532729345925583,0.2753272934592558,0.37160827691603027,0.0,0.0,False,,False
8,19,False,False,0.5851883343647291,0.5851883343647291,0.445278758799319,0.0,0.0,True,19:8,True
8,20,False,False,0.4795092762977207,0.4315583486679486,0.4718195611743685,0.0,1.0,False,,False
8,21,True,False,0.37033345407654616,0.3703334540765461,0.3888658766492516,0.0,0.0,False,,False
8,22,False,False,0.3849099051021683,0.3849099051021683,0.535445661904109,0.0,0.0,False,,False
8,23,False,False,0.30456311745256526,0.30456311745256526,0.5499531516909228,0.0,0.0,True,23:4,False
8,24,True,False,0.5284423983588717,0.5284423983588717,0.45353700770345673,0.0,0.0,True,24:5,False
8,25,False,False,0.34455800528695235,0.3101022047582571,0.5725955588746616,0.0,1.0,False,,False
8,26,False,False,0.3707695329771381,0.37076953297713805,0.6543720545311795,0.0,0.0,False,,False
8,27,False,False,0.5525893067107659,0.49733037603968927,0.6392206064589001,0.0,1.0,False,,False
8,28,False,False,0.5415047507093064,0.5415047507093064,0.6127124022570802,0.0,0.0,True,28:1,False
8,29,False,False,0.4498161470086547,0.4048345323077892,0.3014162605878366,0.0,1.0,True,29:8,True
8,30,True,False,0.4713152525564188,0.4241837273007769,0.44052028950007993,0.0,1.0,True,30:0,False
8,31,False,False,0.499231730984955,0.42434697133721166,0.5962232349389468,0.0,2.0,False,,False
8,32,False,False,0.39954422228146735,0.3995442222814673,0.45821567198064017,0.0,0.0,False,,False
