time,customer,eligible,reviewed,eligible_left,nominal_capacity,oldest_eligible_age
47,5,0,0,0,0,0
48,0,0,0,0,4,0
48,1,0,0,0,4,0
48,2,0,0,0,4,0
48,3,0,0,0,0,0
48,4,0,0,0,0,0
48,5,0,0,0,0,0
49,0,0,0,0,4,0
49,1,3,3,0,4,2
49,2,1,1,0,4,2
49,3,0,0,0,0,0
49,4,0,0,0,0,0
49,5,0,0,0,0,0
50,0,0,0,0,4,0
50,1,0,0,0,4,0
50,2,0,0,0,4,0
50,3,0,0,0,0,0
50,4,0,0,0,0,0
50,5,0,0,0,0,0
51,0,0,0,0,4,0
51,1,0,0,0,4,0
51,2,1,1,0,4,2
51,3,0,0,0,0,0
51,4,0,0,0,0,0
51,5,0,0,0,0,0
52,0,1,1,0,4,2
52,1,0,0,0,4,0
52,2,0,0,0,4,0
52,3,0,0,0,0,0
52,4,0,0,0,0,0
52,5,0,0,0,0,0
53,0,0,0,0,4,0
53,1,0,0,0,4,0
53,2,1,1,0,4,2
53,3,0,0,0,0,0
53,4,0,0,0,0,0
53,5,0,0,0,0,0
54,0,0,0,0,4,0
54,1,1,1,0,4,2
54,2,0,0,0,4,0
54,3,0,0,0,0,0
54,4,0,0,0,0,0
54,5,0,0,0,0,0
55,0,0,0,0,4,0
55,1,1,1,0,4,2
55,2,0,0,0,4,0
55,3,0,0,0,0,0
55,4,0,0,0,0,0
55,5,0,0,0,0,0
56,0,2,2,0,4,2
56,1,0,0,0,4,0
56,2,0,0,0,4,0
56,3,0,0,0,0,0
56,4,0,0,0,0,0
56,5,0,0,0,0,0
57,0,0,0,0,4,0
57,1,0,0,0,4,0
57,2,0,0,0,4,0
57,3,0,0,0,0,0
57,4,0,0,0,0,0
57,5,0,0,0,0,0
58,0,1,1,0,4,2
58,1,0,0,0,4,0
58,2,1,1,0,4,2
58,3,0,0,0,0,0
58,4,0,0,0,0,0
58,5,0,0,0,0,0
59,0,1,1,0,4,2
59,1,1,1,0,4,2
59,2,0,0,0,4,0
59,3,0,0,0,0,0
59,4,0,0,0,0,0
59,5,0,0,0,0,0
60,0,1,1,0,4,2
60,1,0,0,0,4,0
60,2,0,0,0,4,0
60,3,0,0,0,0,0
60,4,0,0,0,0,0
60,5,0,0,0,0,0
61,0,0,0,0,4,0
61,1,0,0,0,4,0
61,2,0,0,0,4,0
61,3,0,0,0,0,0
61,4,0,0,0,0,0
61,5,0,0,0,0,0
62,0,0,0,0,4,0
62,1,1,1,0,4,2
62,2,0,0,0,4,0
62,3,0,0,0,0,0
62,4,0,0,0,0,0
62,5,0,0,0,0,0
63,0,0,0,0,4,0
63,1,1,1,0,4,2
63,2,0,0,0,4,0
63,3,0,0,0,0,0
63,4,0,0,0,0,0
63,5,0,0,0,0,0
64,0,0,0,0,4,0
64,1,0,0,0,4,0
64,2,0,0,0,4,0
64,3,0,0,0,0,0
64,4,0,0,0,0,0
64,5,0,0,0,0,0
65,0,0,0,0,4,0
65,1,0,0,0,4,0
65,2,0,0,0,4,0
65,3,0,0,0,0,0
65,4,0,0,0,0,0
65,5,0,0,0,0,0
