time,customer,eligible,reviewed,eligible_left,nominal_capacity,oldest_eligible_age,seed,pooled,active_customers,arm
11,0,0,0,0,2,0,0,False,6,customer_only
11,1,0,0,0,2,0,0,False,6,customer_only
11,2,0,0,0,2,0,0,False,6,customer_only
11,3,0,0,0,2,0,0,False,6,customer_only
11,4,0,0,0,2,0,0,False,6,customer_only
11,5,0,0,0,2,0,0,False,6,customer_only
12,0,0,0,0,2,0,0,False,6,customer_only
12,1,0,0,0,2,0,0,False,6,customer_only
12,2,0,0,0,2,0,0,False,6,customer_only
12,3,0,0,0,2,0,0,False,6,customer_only
12,4,0,0,0,2,0,0,False,6,customer_only
12,5,0,0,0,2,0,0,False,6,customer_only
13,0,0,0,0,2,0,0,False,6,customer_only
13,1,0,0,0,2,0,0,False,6,customer_only
13,2,0,0,0,2,0,0,False,6,customer_only
13,3,0,0,0,2,0,0,False,6,customer_only
13,4,0,0,0,2,0,0,False,6,customer_only
13,5,0,0,0,2,0,0,False,6,customer_only
14,0,0,0,0,2,0,0,False,6,customer_only
14,1,0,0,0,2,0,0,False,6,customer_only
14,2,0,0,0,2,0,0,False,6,customer_only
14,3,0,0,0,2,0,0,False,6,customer_only
14,4,0,0,0,2,0,0,False,6,customer_only
14,5,0,0,0,2,0,0,False,6,customer_only
15,0,0,0,0,2,0,0,False,6,customer_only
15,1,0,0,0,2,0,0,False,6,customer_only
15,2,0,0,0,2,0,0,False,6,customer_only
15,3,0,0,0,2,0,0,False,6,customer_only
15,4,0,0,0,2,0,0,False,6,customer_only
15,5,0,0,0,2,0,0,False,6,customer_only
16,0,0,0,0,2,0,0,False,6,customer_only
16,1,0,0,0,2,0,0,False,6,customer_only
16,2,0,0,0,2,0,0,False,6,customer_only
16,3,0,0,0,2,0,0,False,6,customer_only
16,4,0,0,0,2,0,0,False,6,customer_only
16,5,0,0,0,2,0,0,False,6,customer_only
17,0,0,0,0,2,0,0,False,6,customer_only
17,1,0,0,0,2,0,0,False,6,customer_only
17,2,0,0,0,2,0,0,False,6,customer_only
17,3,0,0,0,2,0,0,False,6,customer_only
17,4,0,0,0,2,0,0,False,6,customer_only
17,5,0,0,0,2,0,0,False,6,customer_only
18,0,0,0,0,2,0,0,False,6,customer_only
18,1,0,0,0,2,0,0,False,6,customer_only
18,2,0,0,0,2,0,0,False,6,customer_only
18,3,0,0,0,2,0,0,False,6,customer_only
18,4,0,0,0,2,0,0,False,6,customer_only
18,5,0,0,0,2,0,0,False,6,customer_only
