case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,seed,pooled,active_customers,arm
15:0,15,3,0,0.0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.9636525868444654,True,0.40760183202748823,3.0,,remedy_supported,3.0,3.0,3.0,3.0,1,0,False,6,domestic_only
16:0,16,3,0,0.0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4722846063408406,True,0.40760183202748823,2.0,,no_remedy,,,44.0,44.0,1,0,False,6,domestic_only
17:0,17,5,0,0.0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.47358953296039524,True,0.506188904761806,4.0,,remedy_supported,4.0,4.0,4.0,4.0,5,0,False,6,domestic_only
19:0,19,4,0,0.0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7665179959059183,True,0.4162920712285151,3.0,,no_remedy,,,44.0,44.0,4,0,False,6,domestic_only
20:0,20,4,0,0.0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3300545909333682,True,0.4162920712285151,3.0,,no_remedy,,,44.0,44.0,4,0,False,6,domestic_only
21:0,21,4,0,0.0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.8922244628158189,True,0.4162920712285151,4.0,,remedy_supported,4.0,4.0,4.0,4.0,4,0,False,6,domestic_only
22:0,22,3,0,0.0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.8932192284287896,True,0.40760183202748823,4.0,,remedy_supported,4.0,4.0,4.0,4.0,1,0,False,6,domestic_only
24:0,24,3,0,0.0,0.0,,3.0,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.40228009063611153,True,0.40760183202748823,4.0,,remedy_supported,4.0,4.0,4.0,4.0,1,0,False,6,domestic_only
27:0,27,2,0,0.0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.23505082056970572,True,0.6,3.0,,no_remedy,,,44.0,44.0,0,0,False,6,domestic_only
30:0,30,0,0,0.0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.812423584071269,True,0.47042565019858995,3.0,,no_remedy,,,44.0,44.0,2,0,False,6,domestic_only
31:0,31,3,0,0.0,0.0,,3.0,,,,4.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9469976583411543,True,0.40760183202748823,4.0,,remedy_supported,4.0,,44.0,44.0,1,0,False,6,domestic_only
35:0,35,5,0,0.0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.24004808460833615,True,0.506188904761806,3.0,,no_remedy,,,44.0,44.0,5,0,False,6,domestic_only
37:0,37,5,0,0.0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9605148714067651,True,0.506188904761806,3.0,,no_remedy,,,44.0,44.0,5,0,False,6,domestic_only
39:0,39,3,0,0.0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.29980267696089175,True,0.40760183202748823,3.0,,no_remedy,,,44.0,44.0,1,0,False,6,domestic_only
42:0,42,2,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5181381035783981,True,0.6,4.0,,no_remedy,,,44.0,44.0,0,0,False,6,domestic_only
45:0,45,0,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9062133005588473,True,0.47042565019858995,5.0,,remedy_supported,5.0,5.0,5.0,5.0,2,0,False,6,domestic_only
46:0,46,2,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6022381767052344,True,0.6,4.0,,no_remedy,,,44.0,44.0,0,0,False,6,domestic_only
49:0,49,2,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5966172958732835,True,0.6,4.0,,no_remedy,,,44.0,44.0,0,0,False,6,domestic_only
50:0,50,5,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9418125466328746,True,0.506188904761806,5.0,,remedy_supported,5.0,5.0,5.0,5.0,5,0,False,6,domestic_only
52:0,52,1,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9696043638289182,True,0.5994915417836008,4.0,,no_remedy,,,44.0,44.0,3,0,False,6,domestic_only
54:0,54,3,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9312490218410299,True,0.40760183202748823,4.0,,no_remedy,,,44.0,44.0,1,0,False,6,domestic_only
57:0,57,3,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.5835548832989768,True,0.40760183202748823,5.0,,remedy_supported,5.0,5.0,5.0,5.0,1,0,False,6,domestic_only
58:0,58,0,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6648866098493449,True,0.47042565019858995,4.0,,no_remedy,,,44.0,44.0,2,0,False,6,domestic_only
59:0,59,2,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.6943385467328902,True,0.6,5.0,,remedy_supported,5.0,5.0,5.0,5.0,0,0,False,6,domestic_only
60:0,60,2,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.6451244971410584,True,0.6,5.0,,remedy_supported,5.0,5.0,5.0,5.0,0,0,False,6,domestic_only
61:0,61,0,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9596398737119458,True,0.47042565019858995,5.0,,remedy_supported,5.0,5.0,5.0,5.0,2,0,False,6,domestic_only
62:0,62,1,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5080031486909644,True,0.5994915417836008,5.0,,no_remedy,,,44.0,44.0,3,0,False,6,domestic_only
68:0,68,5,0,0.0,0.0,,5.0,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.6434450740162051,True,0.506188904761806,6.0,,remedy_supported,6.0,6.0,6.0,6.0,5,0,False,6,domestic_only
69:0,69,0,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9149858922629852,True,0.47042565019858995,5.0,,no_remedy,,,44.0,44.0,2,0,False,6,domestic_only
70:0,70,1,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8472291736018014,True,0.5994915417836008,5.0,,no_remedy,,,44.0,44.0,3,0,False,6,domestic_only
71:0,71,0,0,0.0,0.0,,5.0,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.5421108680144316,True,0.47042565019858995,6.0,,remedy_supported,6.0,6.0,6.0,6.0,2,0,False,6,domestic_only
73:0,73,5,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4398843340243584,True,0.506188904761806,5.0,,no_remedy,,,44.0,44.0,5,0,False,6,domestic_only
75:0,75,3,0,0.0,0.0,,5.0,,,,6.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.38056012843572185,True,0.40760183202748823,6.0,,remedy_supported,6.0,,44.0,44.0,1,0,False,6,domestic_only
76:0,76,2,0,0.0,0.0,,5.0,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.6959689137536169,True,0.6,6.0,,remedy_supported,6.0,6.0,6.0,6.0,0,0,False,6,domestic_only
77:0,77,5,0,0.0,0.0,,5.0,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.2708541504726042,True,0.506188904761806,6.0,,remedy_supported,6.0,6.0,6.0,6.0,5,0,False,6,domestic_only
78:0,78,4,0,0.0,0.0,,5.0,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.873517646547888,True,0.4162920712285151,6.0,,remedy_supported,6.0,6.0,6.0,6.0,4,0,False,6,domestic_only
79:0,79,0,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.45041942962650766,True,0.47042565019858995,5.0,,no_remedy,,,44.0,44.0,2,0,False,6,domestic_only
82:0,82,4,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.2545469766510456,True,0.4162920712285151,5.0,,no_remedy,,,44.0,44.0,4,0,False,6,domestic_only
83:0,83,5,0,0.0,0.0,,6.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5415892646915648,True,0.506188904761806,6.0,,no_remedy,,,44.0,44.0,5,0,False,6,domestic_only
85:0,85,2,0,0.0,0.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.31254583059964214,True,0.6,7.0,,remedy_supported,7.0,7.0,7.0,7.0,0,0,False,6,domestic_only
88:0,88,4,0,0.0,0.0,,6.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.27828789082103156,True,0.4162920712285151,6.0,,no_remedy,,,44.0,44.0,4,0,False,6,domestic_only
89:0,89,4,0,0.0,0.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.5989296546636256,True,0.4162920712285151,7.0,,remedy_supported,7.0,7.0,7.0,7.0,4,0,False,6,domestic_only
90:0,90,5,0,0.0,0.0,,6.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6178074463153476,True,0.506188904761806,6.0,,no_remedy,,,44.0,44.0,5,0,False,6,domestic_only
91:0,91,5,0,0.0,0.0,,6.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4788570711031347,True,0.506188904761806,6.0,,no_remedy,,,44.0,44.0,5,0,False,6,domestic_only
92:0,92,4,0,0.0,0.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.5847470334629051,True,0.4162920712285151,7.0,,remedy_supported,7.0,7.0,7.0,7.0,4,0,False,6,domestic_only
99:0,99,3,0,0.0,0.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.6970744005175319,True,0.40760183202748823,7.0,,remedy_supported,7.0,7.0,7.0,7.0,1,0,False,6,domestic_only
100:0,100,1,0,0.0,0.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.3437810370402954,True,0.5994915417836008,7.0,,remedy_supported,7.0,7.0,7.0,7.0,3,0,False,6,domestic_only
101:0,101,1,0,0.0,0.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.6530162742182607,True,0.5994915417836008,7.0,,remedy_supported,7.0,7.0,7.0,7.0,3,0,False,6,domestic_only
102:0,102,3,0,0.0,0.0,,6.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.22262950080139038,True,0.40760183202748823,6.0,,no_remedy,,,44.0,44.0,1,0,False,6,domestic_only
103:0,103,5,0,0.0,0.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.7324613089902952,True,0.506188904761806,7.0,,remedy_supported,7.0,7.0,7.0,7.0,5,0,False,6,domestic_only
104:0,104,5,0,0.0,0.0,,7.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5808246765612821,True,0.506188904761806,7.0,,no_remedy,,,44.0,44.0,5,0,False,6,domestic_only
106:0,106,5,0,0.0,0.0,,7.0,,,,8.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9872708237055297,True,0.506188904761806,8.0,,remedy_supported,8.0,,44.0,44.0,5,0,False,6,domestic_only
107:0,107,0,0,0.0,0.0,,7.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9241244578930374,True,0.47042565019858995,7.0,,no_remedy,,,44.0,44.0,2,0,False,6,domestic_only
108:0,108,4,0,0.0,0.0,,7.0,,,,8.0,,successful,unused,8.0,d,1.0,d,resolved,0.28682579742600656,True,0.4162920712285151,8.0,,remedy_supported,8.0,8.0,8.0,8.0,4,0,False,6,domestic_only
111:0,111,0,0,0.0,0.0,,7.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5766195370648515,True,0.47042565019858995,7.0,,no_remedy,,,44.0,44.0,2,0,False,6,domestic_only
112:0,112,2,0,0.0,0.0,,7.0,,,,8.0,,successful,unused,8.0,d,1.0,d,resolved,0.9471728508869972,True,0.6,8.0,,remedy_supported,8.0,8.0,8.0,8.0,0,0,False,6,domestic_only
113:0,113,4,0,0.0,0.0,,7.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7321578856744935,True,0.4162920712285151,7.0,,no_remedy,,,44.0,44.0,4,0,False,6,domestic_only
117:0,117,2,0,0.0,0.0,,7.0,,,,8.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4520993418102399,True,0.6,8.0,,remedy_supported,8.0,,44.0,44.0,0,0,False,6,domestic_only
118:0,118,0,0,0.0,0.0,,7.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3424592674749437,True,0.47042565019858995,7.0,,no_remedy,,,44.0,44.0,2,0,False,6,domestic_only
0:0,0,0,0,0.0,,0.0,,2.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.992760059691461,True,0.47042565019858995,,2.0,,,,44.0,44.0,2,0,False,6,customer_only
1:0,1,5,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.42403633705529986,True,0.506188904761806,,3.0,,,3.0,3.0,3.0,5,0,False,6,customer_only
3:0,3,4,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.21223919630908938,True,0.4162920712285151,,3.0,,,3.0,3.0,3.0,4,0,False,6,customer_only
5:0,5,0,0,5.0,,5.0,,8.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.4851427568135255,True,0.47042565019858995,,8.0,,,,39.0,44.0,2,0,False,6,customer_only
6:0,6,1,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.9052472326700784,True,0.5994915417836008,,3.0,,,3.0,3.0,3.0,3,0,False,6,customer_only
7:0,7,0,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.43136060466874526,True,0.47042565019858995,,3.0,,,3.0,3.0,3.0,2,0,False,6,customer_only
8:0,8,0,0,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.3960478194003253,True,0.47042565019858995,,,,,,,44.0,2,0,False,6,customer_only
10:0,10,1,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.6438525166688605,True,0.5994915417836008,,3.0,,,3.0,3.0,3.0,3,0,False,6,customer_only
11:0,11,0,0,0.0,,0.0,,3.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.3068491472644639,True,0.47042565019858995,,3.0,,,,44.0,44.0,2,0,False,6,customer_only
12:0,12,5,0,0.0,,0.0,,2.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5273082560727348,True,0.506188904761806,,2.0,,,,44.0,44.0,5,0,False,6,customer_only
15:0,15,3,0,1.0,,1.0,,6.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.9636525868444654,True,0.40760183202748823,,6.0,,,,43.0,44.0,1,0,False,6,customer_only
16:0,16,3,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.4722846063408406,True,0.40760183202748823,,3.0,,,3.0,3.0,3.0,1,0,False,6,customer_only
17:0,17,5,0,0.0,,0.0,,3.0,,3.0,,4.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.47358953296039524,True,0.506188904761806,,4.0,,,,44.0,44.0,5,0,False,6,customer_only
19:0,19,4,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.7665179959059183,True,0.4162920712285151,,3.0,,,,44.0,44.0,4,0,False,6,customer_only
20:0,20,4,0,0.0,,0.0,,3.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.3300545909333682,True,0.4162920712285151,,3.0,,,,44.0,44.0,4,0,False,6,customer_only
21:0,21,4,0,0.0,,0.0,,3.0,,3.0,,4.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.8922244628158189,True,0.4162920712285151,,4.0,,,,44.0,44.0,4,0,False,6,customer_only
22:0,22,3,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8932192284287896,True,0.40760183202748823,,3.0,,,3.0,3.0,3.0,1,0,False,6,customer_only
24:0,24,3,0,0.0,,0.0,,3.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.40228009063611153,True,0.40760183202748823,,3.0,,,,44.0,44.0,1,0,False,6,customer_only
27:0,27,2,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.23505082056970572,True,0.6,,3.0,,,3.0,3.0,3.0,0,0,False,6,customer_only
30:0,30,0,0,0.0,,0.0,,3.0,,3.0,,4.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.812423584071269,True,0.47042565019858995,,4.0,,,,44.0,44.0,2,0,False,6,customer_only
31:0,31,3,0,0.0,,0.0,,3.0,,3.0,,4.0,unused,successful,4.0,e,1.0,e,resolved,0.9469976583411543,True,0.40760183202748823,,4.0,,,4.0,4.0,4.0,1,0,False,6,customer_only
35:0,35,5,0,0.0,,0.0,,3.0,,3.0,,4.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.24004808460833615,True,0.506188904761806,,4.0,,,,44.0,44.0,5,0,False,6,customer_only
37:0,37,5,0,0.0,,0.0,,4.0,,4.0,,5.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.9605148714067651,True,0.506188904761806,,5.0,,,,44.0,44.0,5,0,False,6,customer_only
39:0,39,3,0,0.0,,0.0,,4.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.29980267696089175,True,0.40760183202748823,,4.0,,,,44.0,44.0,1,0,False,6,customer_only
42:0,42,2,0,0.0,,0.0,,2.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5181381035783981,True,0.6,,2.0,,,,44.0,44.0,0,0,False,6,customer_only
45:0,45,0,0,0.0,,0.0,,4.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.9062133005588473,True,0.47042565019858995,,4.0,,,,44.0,44.0,2,0,False,6,customer_only
46:0,46,2,0,0.0,,0.0,,3.0,,3.0,,4.0,unused,successful,4.0,e,1.0,e,resolved,0.6022381767052344,True,0.6,,4.0,,,4.0,4.0,4.0,0,0,False,6,customer_only
49:0,49,2,0,0.0,,0.0,,3.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5966172958732835,True,0.6,,3.0,,,,44.0,44.0,0,0,False,6,customer_only
50:0,50,5,0,0.0,,0.0,,4.0,,4.0,,5.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.9418125466328746,True,0.506188904761806,,5.0,,,,44.0,44.0,5,0,False,6,customer_only
52:0,52,1,0,0.0,,0.0,,3.0,,3.0,,4.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.9696043638289182,True,0.5994915417836008,,4.0,,,,44.0,44.0,3,0,False,6,customer_only
54:0,54,3,0,0.0,,0.0,,4.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.9312490218410299,True,0.40760183202748823,,4.0,,,,44.0,44.0,1,0,False,6,customer_only
57:0,57,3,0,0.0,,0.0,,5.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5835548832989768,True,0.40760183202748823,,5.0,,,,44.0,44.0,1,0,False,6,customer_only
58:0,58,0,0,0.0,,0.0,,4.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.6648866098493449,True,0.47042565019858995,,4.0,,,,44.0,44.0,2,0,False,6,customer_only
59:0,59,2,0,0.0,,0.0,,4.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.6943385467328902,True,0.6,,4.0,,,,44.0,44.0,0,0,False,6,customer_only
60:0,60,2,0,0.0,,0.0,,4.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.6451244971410584,True,0.6,,4.0,,,,44.0,44.0,0,0,False,6,customer_only
61:0,61,0,0,0.0,,0.0,,5.0,,5.0,,6.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.9596398737119458,True,0.47042565019858995,,6.0,,,,44.0,44.0,2,0,False,6,customer_only
62:0,62,1,0,0.0,,0.0,,3.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5080031486909644,True,0.5994915417836008,,3.0,,,,44.0,44.0,3,0,False,6,customer_only
68:0,68,5,0,0.0,,0.0,,5.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.6434450740162051,True,0.506188904761806,,5.0,,,,44.0,44.0,5,0,False,6,customer_only
69:0,69,0,0,0.0,,0.0,,5.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.9149858922629852,True,0.47042565019858995,,5.0,,,,44.0,44.0,2,0,False,6,customer_only
70:0,70,1,0,0.0,,0.0,,4.0,,4.0,,5.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.8472291736018014,True,0.5994915417836008,,5.0,,,,44.0,44.0,3,0,False,6,customer_only
71:0,71,0,0,0.0,,0.0,,6.0,,6.0,,7.0,unused,successful,7.0,e,1.0,e,resolved,0.5421108680144316,True,0.47042565019858995,,7.0,,,7.0,7.0,7.0,2,0,False,6,customer_only
73:0,73,5,0,0.0,,0.0,,5.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.4398843340243584,True,0.506188904761806,,5.0,,,,44.0,44.0,5,0,False,6,customer_only
75:0,75,3,0,0.0,,0.0,,5.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.38056012843572185,True,0.40760183202748823,,5.0,,,,44.0,44.0,1,0,False,6,customer_only
76:0,76,2,0,1.0,,1.0,,6.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.6959689137536169,True,0.6,,6.0,,,,43.0,44.0,0,0,False,6,customer_only
77:0,77,5,0,0.0,,0.0,,6.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.2708541504726042,True,0.506188904761806,,6.0,,,,44.0,44.0,5,0,False,6,customer_only
78:0,78,4,0,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.873517646547888,True,0.4162920712285151,,,,,,,44.0,4,0,False,6,customer_only
79:0,79,0,0,0.0,,0.0,,6.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.45041942962650766,True,0.47042565019858995,,6.0,,,,44.0,44.0,2,0,False,6,customer_only
82:0,82,4,0,0.0,,0.0,,4.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.2545469766510456,True,0.4162920712285151,,4.0,,,,44.0,44.0,4,0,False,6,customer_only
83:0,83,5,0,0.0,,0.0,,6.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5415892646915648,True,0.506188904761806,,6.0,,,,44.0,44.0,5,0,False,6,customer_only
85:0,85,2,0,0.0,,0.0,,5.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.31254583059964214,True,0.6,,5.0,,,,44.0,44.0,0,0,False,6,customer_only
88:0,88,4,0,0.0,,0.0,,4.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.27828789082103156,True,0.4162920712285151,,4.0,,,,44.0,44.0,4,0,False,6,customer_only
89:0,89,4,0,0.0,,0.0,,5.0,,5.0,,6.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5989296546636256,True,0.4162920712285151,,6.0,,,,44.0,44.0,4,0,False,6,customer_only
90:0,90,5,0,0.0,,0.0,,7.0,,7.0,,8.0,unused,successful,8.0,e,1.0,e,resolved,0.6178074463153476,True,0.506188904761806,,8.0,,,8.0,8.0,8.0,5,0,False,6,customer_only
91:0,91,5,0,0.0,,0.0,,7.0,,7.0,,8.0,unused,successful,8.0,e,1.0,e,resolved,0.4788570711031347,True,0.506188904761806,,8.0,,,8.0,8.0,8.0,5,0,False,6,customer_only
92:0,92,4,0,0.0,,0.0,,5.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5847470334629051,True,0.4162920712285151,,5.0,,,,44.0,44.0,4,0,False,6,customer_only
99:0,99,3,0,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.6970744005175319,True,0.40760183202748823,,,,,,,44.0,1,0,False,6,customer_only
100:0,100,1,0,0.0,,0.0,,4.0,,4.0,,5.0,unused,successful,5.0,e,1.0,e,resolved,0.3437810370402954,True,0.5994915417836008,,5.0,,,5.0,5.0,5.0,3,0,False,6,customer_only
