axis,level,mode,period,population,metric,mean,low,high,n
delay,0.0,objective,late,all,both_use,0.440531561461794,0.3953488372093023,0.4857142857142857,2
delay,0.0,objective,late,all,resolved,0.4262458471760797,0.3953488372093023,0.4571428571428571,2
delay,0.0,objective,late,all,unresolved,0.5737541528239203,0.5428571428571428,0.6046511627906976,2
delay,0.0,objective,late,all,customer_route_success,0.2386363636363636,0.2272727272727272,0.25,2
delay,0.0,objective,late,all,customer_only_resolution,0.2386363636363636,0.2272727272727272,0.25,2
delay,0.0,objective,late,all,joint_resolution,0.0,0.0,0.0,2
delay,0.0,objective,late,all,customer_user_any_resolution,0.32575757575757575,0.3181818181818182,0.3333333333333333,2
delay,0.0,objective,late,all,customer_unresolved,0.6742424242424242,0.6666666666666666,0.6818181818181818,2
delay,0.0,objective,late,all,material_at_review,0.043560606060606,0.0416666666666666,0.0454545454545454,2
delay,0.0,objective,late,all,standardized_no_material_score,0.2496255906986487,0.245782744624588,0.2534684367727094,2
delay,0.0,objective,late,all,mechanical_material_increment,0.00768367883851875,0.0073708687769917,0.0079964889000458,2
delay,0.0,objective,late,all,mean_customer_merit,0.6224372618991476,0.6129992004972431,0.631875323301052,2
delay,0.0,objective,late,all,mean_customer_dependence,0.4922578028059131,0.488038709208253,0.4964768964035732,2
delay,0.0,objective,late,both_reachable,domestic_use,0.8101851851851851,0.8055555555555556,0.8148148148148148,2
delay,0.0,objective,late,both_reachable,customer_use,0.7407407407407407,0.6666666666666666,0.8148148148148148,2
delay,0.0,objective,late,both_reachable,first_d,0.5601851851851851,0.4814814814814814,0.6388888888888888,2
delay,0.0,objective,late,both_reachable,first_e,0.42592592592592593,0.3333333333333333,0.5185185185185185,2
delay,0.0,objective,late,both_reachable,first_both,0.01388888888888885,0.0,0.0277777777777777,2
delay,0.0,objective,late,both_reachable,neither,0.0,0.0,0.0,2
delay,0.0,objective,late,both_reachable,d_to_e,0.30092592592592593,0.2962962962962963,0.3055555555555556,2
delay,0.0,objective,late,both_reachable,e_to_d,0.2361111111111111,0.1388888888888889,0.3333333333333333,2
delay,0.0,objective,late,both_reachable,both_use,0.5509259259259259,0.4722222222222222,0.6296296296296297,2
delay,0.0,objective,late,both_reachable,resolved,0.4305555555555556,0.4166666666666667,0.4444444444444444,2
delay,0.0,objective,late,both_reachable,unresolved,0.5694444444444444,0.5555555555555556,0.5833333333333334,2
delay,0.0,objective,late,both_reachable,customer_route_success,0.2386363636363636,0.2272727272727272,0.25,2
delay,0.0,objective,late,both_reachable,customer_only_resolution,0.2386363636363636,0.2272727272727272,0.25,2
delay,0.0,objective,late,both_reachable,joint_resolution,0.0,0.0,0.0,2
delay,0.0,objective,late,both_reachable,customer_user_any_resolution,0.32575757575757575,0.3181818181818182,0.3333333333333333,2
delay,0.0,objective,late,both_reachable,customer_unresolved,0.6742424242424242,0.6666666666666666,0.6818181818181818,2
delay,0.0,objective,late,both_reachable,material_at_review,0.043560606060606,0.0416666666666666,0.0454545454545454,2
delay,0.0,objective,late,both_reachable,standardized_no_material_score,0.2496255906986487,0.245782744624588,0.2534684367727094,2
delay,0.0,objective,late,both_reachable,mechanical_material_increment,0.00768367883851875,0.0073708687769917,0.0079964889000458,2
delay,0.0,objective,late,both_reachable,mean_customer_merit,0.6224372618991476,0.6129992004972431,0.631875323301052,2
delay,0.0,objective,late,both_reachable,mean_customer_dependence,0.4922578028059131,0.488038709208253,0.4964768964035732,2
