time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,cumulative_domestic_share,cumulative_customer_share,new_d_to_e,new_e_to_d,scenario,seed
0,71,53,53,0,53,0,71,53,18,0,0,0,0,0,0,53,0,0,53,71,0,0,0.0,0.7464788732394366,0.0,0.0,customer_only,18
1,0,3,3,0,3,0,71,56,15,0,0,0,0,0,0,56,0,0,56,71,0,53,0.0,0.7887323943661971,0.0,0.0,customer_only,18
2,0,0,0,0,0,0,71,48,15,8,0,0,0,0,0,48,0,0,56,71,0,56,0.0,0.7887323943661971,0.0,0.0,customer_only,18
3,0,0,0,0,0,0,68,40,15,13,0,0,0,0,0,40,3,3,56,71,0,56,0.0,0.7887323943661971,0.0,0.0,customer_only,18
4,0,0,0,0,0,0,63,25,15,23,0,0,0,0,0,25,5,8,56,71,0,40,0.0,0.7887323943661971,0.0,0.0,customer_only,18
5,0,1,1,0,1,0,60,12,14,34,0,0,0,0,0,12,3,11,57,71,0,25,0.0,0.8028169014084507,0.0,0.0,customer_only,18
6,0,0,0,0,0,0,60,2,14,44,0,0,0,0,0,2,0,11,57,71,0,12,0.0,0.8028169014084507,0.0,0.0,customer_only,18
7,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,1,12,57,71,0,2,0.0,0.8028169014084507,0.0,0.0,customer_only,18
8,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,1,0.0,0.8028169014084507,0.0,0.0,customer_only,18
9,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
10,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
11,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
12,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
13,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
14,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
15,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
16,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
17,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
18,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
19,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
20,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
21,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
22,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
23,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
24,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
